coverage_cell_id,source_id,reference_year,regulation,building_type,construction_period,modelled_dwelling_count,modelled_dwelling_share,dwelling_count_rank_desc,cumulative_modelled_dwelling_share_desc,published_energy_bin_count,positive_energy_bin_count,zero_energy_bin_count,minimum_positive_energy_bin_kwh_m2_year,maximum_positive_energy_bin_kwh_m2_year,minimum_positive_bin_dwelling_count,maximum_bin_dwelling_count,evidence_status,source_evidence_status,notes
COVCELL-B02-01,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,FAMILY_HOUSE,1919 előtt,180063,0.039351237709773,8,0.826172748312313,59,59,0,10,590,1,12812,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-02,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,FAMILY_HOUSE,1919–1945,323452,0.070687684530977,6,0.732715225130524,59,59,0,10,590,1,22636,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-03,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,FAMILY_HOUSE,1946–1960,426466,0.093200518380433,4,0.589943375897932,59,58,1,20,590,2,32064,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-04,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,FAMILY_HOUSE,1961–1980,902651,0.197266701487612,1,0.197266701487612,59,59,0,10,590,10,57447,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-05,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,FAMILY_HOUSE,1981–2000,653177,0.142746279877355,3,0.496742857517500,59,59,0,10,590,30,29106,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-06,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,FAMILY_HOUSE,2001–2010,247579,0.054106285472017,7,0.786821510602541,59,59,0,10,590,3,21976,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-07,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,FAMILY_HOUSE,2011–2015,45682,0.009983412700321,15,0.995160398532275,59,59,0,10,590,1,3871,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-08,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,FAMILY_HOUSE,2016–2022,102240,0.022343682730195,13,0.971424387919900,59,51,8,10,510,1,15472,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-09,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,MULTI_DWELLING,1919 előtt,166073,0.036293842156218,9,0.862466590468531,59,48,11,120,590,9,12234,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-10,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,MULTI_DWELLING,1919–1945,120196,0.026267813863836,12,0.949080705189705,59,47,12,130,590,1,7847,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-11,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,MULTI_DWELLING,1946–1960,122326,0.026733307254048,11,0.922812891325869,59,50,9,100,590,1,10079,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-12,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,MULTI_DWELLING,1961–1980,717163,0.156729876152533,2,0.353996577640145,59,55,4,50,590,3,86959,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-13,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,MULTI_DWELLING,1981–2000,329842,0.072084164701614,5,0.662027540599547,59,54,5,40,590,1,38396,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-14,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,MULTI_DWELLING,2001–2010,153806,0.033612993603290,10,0.896079584071821,59,47,12,30,560,1,33217,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-15,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,MULTI_DWELLING,2011–2015,22145,0.004839601467725,16,1.000000000000000,59,49,10,20,590,1,4884,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
COVCELL-B02-16,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,MULTI_DWELLING,2016–2022,62929,0.013752597912055,14,0.985176985831955,59,51,8,10,560,1,11000,DER,MODELLED,Shares and bin diagnostics are derived from KSH-modelled dwelling counts; no extra archetype dimensions are joined.
