building_group,wbl_construction_period_code,candidate_type_ids,candidate_count,status,residual_gap,notes
FAMILY_HOUSE,Y_LT1919,"1;2;3",3,SET_IDENTIFIED_PERIOD_OVERLAP,WITHIN_CANDIDATE_TYPE_ALLOCATION;WBL_WALL_TECHNOLOGY_BRIDGE_FOR_TIGHTENING,"Period-overlap candidate set only; no wall-code or floor-area promotion."
FAMILY_HOUSE,Y1919-1945,"1;2;3;4",4,SET_IDENTIFIED_PERIOD_OVERLAP,WITHIN_CANDIDATE_TYPE_ALLOCATION;WBL_WALL_TECHNOLOGY_BRIDGE_FOR_TIGHTENING,"Period-overlap candidate set only; no wall-code or floor-area promotion."
FAMILY_HOUSE,Y1946-1960,"1;2;4;5;6",5,SET_IDENTIFIED_PERIOD_OVERLAP,WITHIN_CANDIDATE_TYPE_ALLOCATION;WBL_WALL_TECHNOLOGY_BRIDGE_FOR_TIGHTENING,"Period-overlap candidate set only; no wall-code or floor-area promotion."
FAMILY_HOUSE,Y1961-1980,"1;2;5;6;7;8",6,SET_IDENTIFIED_PERIOD_OVERLAP,WITHIN_CANDIDATE_TYPE_ALLOCATION;WBL_WALL_TECHNOLOGY_BRIDGE_FOR_TIGHTENING,"Period-overlap candidate set only; no wall-code or floor-area promotion."
FAMILY_HOUSE,Y1981-2000,"1;2;7;8;9;10",6,SET_IDENTIFIED_PERIOD_OVERLAP,WITHIN_CANDIDATE_TYPE_ALLOCATION;WBL_WALL_TECHNOLOGY_BRIDGE_FOR_TIGHTENING,"Period-overlap candidate set only; no wall-code or floor-area promotion."
FAMILY_HOUSE,Y2001-2010,"1;2;9;10;11;12",6,SET_IDENTIFIED_PERIOD_OVERLAP,WITHIN_CANDIDATE_TYPE_ALLOCATION;WBL_WALL_TECHNOLOGY_BRIDGE_FOR_TIGHTENING,"Period-overlap candidate set only; no wall-code or floor-area promotion."
FAMILY_HOUSE,Y_GE2011,"1;2;11;12",4,SET_IDENTIFIED_PERIOD_OVERLAP,WITHIN_CANDIDATE_TYPE_ALLOCATION;WBL_WALL_TECHNOLOGY_BRIDGE_FOR_TIGHTENING,"Period-overlap candidate set only; no wall-code or floor-area promotion."
MULTI_DWELLING,Y_LT1919,"13;17;19;20",4,SET_IDENTIFIED_PERIOD_OVERLAP,WITHIN_CANDIDATE_TYPE_ALLOCATION;WBL_WALL_TECHNOLOGY_BRIDGE_FOR_TIGHTENING,"Period-overlap candidate set only; no wall-code or floor-area promotion."
MULTI_DWELLING,Y1919-1945,"13;14;17;18;19;20",6,SET_IDENTIFIED_PERIOD_OVERLAP,WITHIN_CANDIDATE_TYPE_ALLOCATION;WBL_WALL_TECHNOLOGY_BRIDGE_FOR_TIGHTENING,"Period-overlap candidate set only; no wall-code or floor-area promotion."
MULTI_DWELLING,Y1946-1960,"14;18;19;20",4,SET_IDENTIFIED_PERIOD_OVERLAP,WITHIN_CANDIDATE_TYPE_ALLOCATION;WBL_WALL_TECHNOLOGY_BRIDGE_FOR_TIGHTENING,"Period-overlap candidate set only; no wall-code or floor-area promotion."
MULTI_DWELLING,Y1961-1980,"14;18;19;20;21",5,SET_IDENTIFIED_PERIOD_OVERLAP,WITHIN_CANDIDATE_TYPE_ALLOCATION;WBL_WALL_TECHNOLOGY_BRIDGE_FOR_TIGHTENING,"Period-overlap candidate set only; no wall-code or floor-area promotion."
MULTI_DWELLING,Y1981-2000,"14;15;18;19;21;22",6,SET_IDENTIFIED_PERIOD_OVERLAP,WITHIN_CANDIDATE_TYPE_ALLOCATION;WBL_WALL_TECHNOLOGY_BRIDGE_FOR_TIGHTENING,"Period-overlap candidate set only; no wall-code or floor-area promotion."
MULTI_DWELLING,Y2001-2010,"15;16;19;22;23",5,SET_IDENTIFIED_PERIOD_OVERLAP,WITHIN_CANDIDATE_TYPE_ALLOCATION;WBL_WALL_TECHNOLOGY_BRIDGE_FOR_TIGHTENING,"Period-overlap candidate set only; no wall-code or floor-area promotion."
MULTI_DWELLING,Y_GE2011,"16;19;23",3,SET_IDENTIFIED_PERIOD_OVERLAP,WITHIN_CANDIDATE_TYPE_ALLOCATION;WBL_WALL_TECHNOLOGY_BRIDGE_FOR_TIGHTENING,"Period-overlap candidate set only; no wall-code or floor-area promotion."
