type_id,external_wall_insulated_share,external_wall_u_uninsulated,external_wall_u_insulated,attic_floor_occurrence_share,attic_floor_insulated_share,attic_floor_u_uninsulated,attic_floor_u_insulated,flat_roof_occurrence_share,flat_roof_insulated_share,flat_roof_u_uninsulated,flat_roof_u_insulated,pitched_roof_occurrence_share,pitched_roof_insulated_share,pitched_roof_u_uninsulated,pitched_roof_u_insulated,basement_ceiling_occurrence_share,basement_ceiling_insulated_share,basement_ceiling_u_uninsulated,basement_ceiling_u_insulated,window_replaced_share,window_u_not_replaced,source_id
1,0.024,1.12,0.64,1,0.012,1.08,0.15,0.012,0,0.48,,0.024,0,1.03,,0.024,0,1.85,,0.084,3.18,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
2,0.014,1.13,0.39,0.986,0.048,1.01,0.3,0.005,0,0.18,,0.014,0.333,0,0.54,0.104,0,1.15,,0.151,3.05,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
3,0.131,1.33,0.51,0.927,0.14,1,0.33,0.073,0.333,0.72,0.33,0.122,0.467,0.94,0.28,0.333,0.073,1.21,0.68,0.252,3.01,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
4,0.124,1.32,0.45,0.943,0.131,0.93,0.46,0.038,0.25,3.07,0.39,0.114,0.333,0.65,0.32,0.276,0,1.15,,0.229,2.98,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
5,0.11,1.26,0.53,0.942,0.081,1,0.35,0.029,0.125,1.48,0.26,0.099,0.333,0.42,0.29,0.292,0.025,1.31,0.52,0.186,2.83,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
6,0.19,1.21,0.5,0.841,0.113,0.92,0.39,0.159,0,0.99,,0.397,0.2,0.32,0.29,0.365,0.13,1.29,0.71,0.19,2.61,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
7,0.172,1.1,0.51,0.905,0.124,0.96,0.36,0.043,0,2.12,,0.31,0.222,0.35,0.25,0.371,0.093,1.22,0.53,0.224,2.68,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
8,0.25,1.01,0.41,0.9,0.111,0.51,0.44,0.233,0,1.01,,0.75,0.089,0.41,0.22,0.65,0.077,0.96,0.69,0.283,2.4,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
9,0.129,0.62,0.38,0.925,0.093,0.44,0.31,0.065,0,0.46,,0.355,0,0.29,,0.215,0,0.86,,0.086,1.81,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
10,0.074,0.52,0.34,0.882,0.1,0.38,0.14,0.132,0,0.7,,0.765,0.077,0.3,0.17,0.294,0.05,0.68,0.6,0.088,1.98,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
11,0,0.29,,0.893,0,0.25,,0.071,0,0.29,,0.179,0,0.32,,0.179,0,0.78,,0,1.34,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
12,0.042,0.36,0.25,0.917,0,0.23,,0.167,0,0.18,,0.417,0,0.27,,0,0,0,,0,1.42,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
13,0.102,1.09,0.47,0.937,0.086,0.87,0.26,0.056,0.081,1.09,,0.203,0.245,0.43,0.27,0.255,0.034,1.18,,0.172,2.75,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
14,0.029,1.25,0.53,0.857,0.067,0.97,0.64,0.2,0,0.64,0.29,0.143,0.2,,0.22,0.543,0,1.28,,0.229,2.45,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
15,0.118,1.14,,0.605,0.087,0.92,,0.408,0.065,0.93,,0.237,0.056,0.89,0.44,0.553,0,1,,0.263,2.01,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
16,0,0.67,,0.818,0,0.32,,0.136,0,0.56,,0.636,0,0.28,,0.136,0,0.76,,0.045,1.42,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
17,0,0.35,0.79,0.818,0,0.19,0,0.455,0,0.24,0,0.727,0,0.18,,0.273,0,0.53,,0,2.64,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
18,0.066,1.03,0.49,0.725,0.061,0.78,0.31,0.31,0.031,0.74,0.23,0.311,0.083,0.49,0.28,0.463,0,1,0.43,0.199,2.61,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
19,0.01,1.23,0.42,0.81,0,0.7,,0.23,0.043,1.05,0.23,0.2,0.35,0.59,0.27,0.9,0,0.79,0.35,0.04,2.66,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
20,0.1,1.27,0.35,0.285,0.027,0.91,0.37,0.7,0.066,0.97,0.25,0.1,0.077,0.33,0.26,0.677,0.011,1.08,0.62,0.331,3.05,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
21,0.14,1.26,0.31,0.046,0,0.69,,0.966,0.179,0.77,0.2,0.034,0.333,0.35,0.28,0.517,0.067,1.2,0.56,0.333,2.55,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022
