type_id,building_group,dwelling_count_model,construction_start_year,construction_end_year,size_class,wall_technology,occupants_per_dwelling,storeys,ceiling_height_m,bbox_x_m,bbox_y_m,total_floor_area_m2,heated_floor_area_m2,heated_floor_area_per_dwelling_m2,max_usable_roof_area_m2,evidence_status,source_id,allowed_use,notes
1,FAMILY_HOUSE,1,,1944,,ADOBE_WITHOUT_FOUNDATION,2.97,1,2.65,13.7,7.3,101.7,69.9,69.9,18,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"6.1/6.2 pre-1944 adobe without foundation; 14.7 synthetic geometry."
2,FAMILY_HOUSE,1,,1944,,ADOBE_WITH_FOUNDATION,2.97,1,2.65,14.4,8.3,120.7,78.2,78.2,13,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"6.1/6.2 pre-1944 adobe with foundation; 14.7 synthetic geometry."
3,FAMILY_HOUSE,1,,1944,,BRICK_STONE_HAND_MASONRY,2.43,1,2.8,15.4,9.1,187.1,107.6,107.6,14,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"Pre-1944 conventional family/row house."
4,FAMILY_HOUSE,1,1945,1959,,BRICK_STONE_HAND_MASONRY,2.55,1,2.8,13.3,9.1,146.9,99.2,99.2,12,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"1945-1959 family/row house."
5,FAMILY_HOUSE,1,1960,1979,LT120,BRICK_STONE_HAND_MASONRY,2.35,1,2.8,12,9,125.8,84.5,84.5,13,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"1960-1979 small family/row house; source threshold is building useful floor area <120 m2."
6,FAMILY_HOUSE,1,1960,1979,GE120,BRICK_STONE_HAND_MASONRY,2.75,2,2.8,16.1,9.7,224.1,150.1,150.1,16,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"1960-1979 large family/row house; source threshold >=120 m2."
7,FAMILY_HOUSE,1,1980,1989,LT120,BRICK_STONE_HAND_MASONRY,3.25,1,2.8,12.1,8.6,145.9,96.4,96.4,17,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"1980-1989 small family/row house."
8,FAMILY_HOUSE,1,1980,1989,GE120,BRICK_STONE_HAND_MASONRY,3.25,2,2.8,13.3,9.6,238.9,180.5,180.5,15,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"1980-1989 large family/row house."
9,FAMILY_HOUSE,1,1990,2005,LT120,BRICK_STONE_HAND_MASONRY,3.65,1,2.8,13,9.3,146.8,99.2,99.2,13,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"1990-2005 small family/row house."
10,FAMILY_HOUSE,1,1990,2005,GE120,BRICK_STONE_HAND_MASONRY,3.65,2,2.8,15.5,10.8,232.6,200.1,200.1,16,DER,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,BASELINE_ARCHETYPE_CALIBRATION;SET_CROSSWALK,"1990-2005 large family/row house."
