source_row_id,source_id,reference_period,occupancy_scope,ksh_2015_settlement_type,wbl_settlement_code,wbl_settlement_label,category_alignment,building_size_band,canonical_building_type,dwelling_count,evidence_status,source_url,source_pdf_page,retrieved_at,source_sha256,notes
SRCROW-B02-BTYPE-001,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Budapest,FV,Budapest,EXACT,1-3,FAMILY_HOUSE,164100,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-002,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Budapest,FV,Budapest,EXACT,4-12,MULTI_DWELLING,133500,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-003,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Budapest,FV,Budapest,EXACT,13-24,MULTI_DWELLING,123400,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-004,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Budapest,FV,Budapest,EXACT,25-50,MULTI_DWELLING,182500,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-005,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Budapest,FV,Budapest,EXACT,GT50,MULTI_DWELLING,307800,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-006,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Megyeszékhely,MJV,Megyei jogú város,APPROXIMATE,1-3,FAMILY_HOUSE,288300,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-007,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Megyeszékhely,MJV,Megyei jogú város,APPROXIMATE,4-12,MULTI_DWELLING,90200,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-008,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Megyeszékhely,MJV,Megyei jogú város,APPROXIMATE,13-24,MULTI_DWELLING,106800,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-009,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Megyeszékhely,MJV,Megyei jogú város,APPROXIMATE,25-50,MULTI_DWELLING,119600,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-010,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Megyeszékhely,MJV,Megyei jogú város,APPROXIMATE,GT50,MULTI_DWELLING,206400,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-011,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Város,EV,Egyéb város,APPROXIMATE,1-3,FAMILY_HOUSE,1045200,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
