class_id,source_id,reference_year,regulation,published_class_label,dwelling_count_thousand,unit,evidence_status,source_url,retrieved_at,source_html_sha256,notes
CLASS-B02-TNM_7_2006-01,SRC-B02-KSH-ENERGY-2025,2022,TNM_7_2006,AA–BB / A–B,107,thousand_dwelling,MODELLED,https://www.ksh.hu/s/kiserleti-statisztika/kiadvanyok/a-magyar-lakasallomany-primerenergia-igenyenek-becslese/,2026-08-12,1a312ae2943238c139623ac6595ff9bb0ebe656fd12d2b7ab80739488b527c31,Published chart values are rounded to thousand dwellings.
CLASS-B02-TNM_7_2006-02,SRC-B02-KSH-ENERGY-2025,2022,TNM_7_2006,CC / C,326,thousand_dwelling,MODELLED,https://www.ksh.hu/s/kiserleti-statisztika/kiadvanyok/a-magyar-lakasallomany-primerenergia-igenyenek-becslese/,2026-08-12,1a312ae2943238c139623ac6595ff9bb0ebe656fd12d2b7ab80739488b527c31,Published chart values are rounded to thousand dwellings.
CLASS-B02-TNM_7_2006-03,SRC-B02-KSH-ENERGY-2025,2022,TNM_7_2006,DD / D,524,thousand_dwelling,MODELLED,https://www.ksh.hu/s/kiserleti-statisztika/kiadvanyok/a-magyar-lakasallomany-primerenergia-igenyenek-becslese/,2026-08-12,1a312ae2943238c139623ac6595ff9bb0ebe656fd12d2b7ab80739488b527c31,Published chart values are rounded to thousand dwellings.
CLASS-B02-TNM_7_2006-04,SRC-B02-KSH-ENERGY-2025,2022,TNM_7_2006,EE / E,475,thousand_dwelling,MODELLED,https://www.ksh.hu/s/kiserleti-statisztika/kiadvanyok/a-magyar-lakasallomany-primerenergia-igenyenek-becslese/,2026-08-12,1a312ae2943238c139623ac6595ff9bb0ebe656fd12d2b7ab80739488b527c31,Published chart values are rounded to thousand dwellings.
CLASS-B02-TNM_7_2006-05,SRC-B02-KSH-ENERGY-2025,2022,TNM_7_2006,FF / F,599,thousand_dwelling,MODELLED,https://www.ksh.hu/s/kiserleti-statisztika/kiadvanyok/a-magyar-lakasallomany-primerenergia-igenyenek-becslese/,2026-08-12,1a312ae2943238c139623ac6595ff9bb0ebe656fd12d2b7ab80739488b527c31,Published chart values are rounded to thousand dwellings.
CLASS-B02-TNM_7_2006-06,SRC-B02-KSH-ENERGY-2025,2022,TNM_7_2006,GG / G,672,thousand_dwelling,MODELLED,https://www.ksh.hu/s/kiserleti-statisztika/kiadvanyok/a-magyar-lakasallomany-primerenergia-igenyenek-becslese/,2026-08-12,1a312ae2943238c139623ac6595ff9bb0ebe656fd12d2b7ab80739488b527c31,Published chart values are rounded to thousand dwellings.
CLASS-B02-TNM_7_2006-07,SRC-B02-KSH-ENERGY-2025,2022,TNM_7_2006,HH / H,1175,thousand_dwelling,MODELLED,https://www.ksh.hu/s/kiserleti-statisztika/kiadvanyok/a-magyar-lakasallomany-primerenergia-igenyenek-becslese/,2026-08-12,1a312ae2943238c139623ac6595ff9bb0ebe656fd12d2b7ab80739488b527c31,Published chart values are rounded to thousand dwellings.
CLASS-B02-TNM_7_2006-08,SRC-B02-KSH-ENERGY-2025,2022,TNM_7_2006,II / I,683,thousand_dwelling,MODELLED,https://www.ksh.hu/s/kiserleti-statisztika/kiadvanyok/a-magyar-lakasallomany-primerenergia-igenyenek-becslese/,2026-08-12,1a312ae2943238c139623ac6595ff9bb0ebe656fd12d2b7ab80739488b527c31,Published chart values are rounded to thousand dwellings.
CLASS-B02-TNM_7_2006-09,SRC-B02-KSH-ENERGY-2025,2022,TNM_7_2006,JJ,19,thousand_dwelling,MODELLED,https://www.ksh.hu/s/kiserleti-statisztika/kiadvanyok/a-magyar-lakasallomany-primerenergia-igenyenek-becslese/,2026-08-12,1a312ae2943238c139623ac6595ff9bb0ebe656fd12d2b7ab80739488b527c31,Published chart values are rounded to thousand dwellings.
CLASS-B02-EKM_9_2023-01,SRC-B02-KSH-ENERGY-2025,2022,EKM_9_2023,AA–BB / A–B,135,thousand_dwelling,MODELLED,https://www.ksh.hu/s/kiserleti-statisztika/kiadvanyok/a-magyar-lakasallomany-primerenergia-igenyenek-becslese/,2026-08-12,1a312ae2943238c139623ac6595ff9bb0ebe656fd12d2b7ab80739488b527c31,Published chart values are rounded to thousand dwellings.
