cell_id,projection_id,source_id,dataset_id,dataflow_id,source_version,reference_year,county_code,county_name_hu,settlement_type_code,settlement_type_name_hu,occupancy_code,construction_period_code,construction_period_name_hu,wall_material_code,wall_material_name_hu,floor_area_code,floor_area_name_hu,comfort_code,comfort_name_hu,heating_mode_code,heating_mode_name_hu,heating_fuel_code,heating_fuel_name_hu,combined_heating_fuel_code,combined_heating_fuel_name_hu,heat_pump_code,heat_pump_name_hu,dwelling_count,ksh_observation_status,evidence_status,availability_status,frequency_band,query_id,retrieved_at
WBLCELL-B02-ENV-000001,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM100-119,100–119 m²,COMF1,Összkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,6510,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000002,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM100-119,100–119 m²,COMF2,Komfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,968,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000003,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM100-119,100–119 m²,COMF3,Félkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,9,,OBS,RETURNED_POSITIVE,COUNT_5_9,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000004,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM30-39,30–39 m²,COMF1,Összkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,5781,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000005,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM30-39,30–39 m²,COMF2,Komfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,9323,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000006,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM30-39,30–39 m²,COMF3,Félkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,397,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000007,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM30-39,30–39 m²,COMF4,Komfort nélküli,TOTAL,Összesen,TOTAL,Összesen,,,,,29,,OBS,RETURNED_POSITIVE,COUNT_10_49,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000008,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM30-39,30–39 m²,COMF5,Szükség- vagy egyéb lakás,TOTAL,Összesen,TOTAL,Összesen,,,,,85,,OBS,RETURNED_POSITIVE,COUNT_50_99,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000009,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM40-49,40–49 m²,COMF1,Összkomfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,6596,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
WBLCELL-B02-ENV-000010,WBL011_ENVELOPE,SRC-B02-KSH-CENSUS-API-2022,DATA-B02-KSH-WBL011,WBL011,V67,2022,HU110,Budapest,FV,Főváros,DW_OC,Y1919-1945,1919–1945 között épült,WALL1,"Tégla, kő, kézi falazóelem",SQM40-49,40–49 m²,COMF2,Komfortos,TOTAL,Összesen,TOTAL,Összesen,,,,,6477,,OBS,RETURNED_POSITIVE,COUNT_100_PLUS,KSH-ENV-HU110,2026-08-12
