surface_id,wbl_period_code,building_group,candidate_type_ids,calibrated_deficit_floor_lower_share,calibrated_deficit_floor_upper_share,calibrated_baseline_deficit_union_upper_lower_share,calibrated_baseline_deficit_union_upper_upper_share,status,evidence_status,residual
B02-P101-S01,Y_LT1919,FAMILY_HOUSE,1;2;3,0.777,0.931,1.000,1.000,QUALIFIED_SET_VALUED_CURRENT_BASELINE_U_INFERENCE,OBS/DER/ASS,CURRENT_RENOVATED_ENVELOPE_U_QUALITY_TIGHTENING_REQUIRED_FOR_HP_ONLY_LOWER_BOUND
B02-P101-S02,Y1919-1945,FAMILY_HOUSE,1;2;3;4,0.737,0.931,1.000,1.000,QUALIFIED_SET_VALUED_CURRENT_BASELINE_U_INFERENCE,OBS/DER/ASS,CURRENT_RENOVATED_ENVELOPE_U_QUALITY_TIGHTENING_REQUIRED_FOR_HP_ONLY_LOWER_BOUND
B02-P101-S03,Y1946-1960,FAMILY_HOUSE,4;5;6,0.453,0.737,0.876,1.000,QUALIFIED_SET_VALUED_CURRENT_BASELINE_U_INFERENCE,OBS/DER/ASS,CURRENT_RENOVATED_ENVELOPE_U_QUALITY_TIGHTENING_REQUIRED_FOR_HP_ONLY_LOWER_BOUND
B02-P101-S04,Y1961-1980,FAMILY_HOUSE,5;6;7;8,0.453,0.559,0.876,1.000,QUALIFIED_SET_VALUED_CURRENT_BASELINE_U_INFERENCE,OBS/DER/ASS,CURRENT_RENOVATED_ENVELOPE_U_QUALITY_TIGHTENING_REQUIRED_FOR_HP_ONLY_LOWER_BOUND
B02-P101-S05,Y1981-2000,FAMILY_HOUSE,7;8;9;10,0.103,0.559,0.103,1.000,QUALIFIED_SET_VALUED_CURRENT_BASELINE_U_INFERENCE,OBS/DER/ASS,CURRENT_RENOVATED_ENVELOPE_U_QUALITY_TIGHTENING_REQUIRED_FOR_HP_ONLY_LOWER_BOUND
B02-P101-S06,Y2001-2010,FAMILY_HOUSE,9;10;11;12,0.103,0.298,0.103,0.572,QUALIFIED_SET_VALUED_CURRENT_BASELINE_U_INFERENCE,OBS/DER/ASS,CURRENT_RENOVATED_ENVELOPE_U_QUALITY_TIGHTENING_REQUIRED_FOR_HP_ONLY_LOWER_BOUND
B02-P101-S07,Y_GE2011,FAMILY_HOUSE,11;12,0.103,0.298,0.103,0.572,QUALIFIED_SET_VALUED_CURRENT_BASELINE_U_INFERENCE,OBS/DER/ASS,CURRENT_RENOVATED_ENVELOPE_U_QUALITY_TIGHTENING_REQUIRED_FOR_HP_ONLY_LOWER_BOUND
B02-P101-S08,Y_LT1919,MULTI_DWELLING,13;17,0.604,0.812,1.000,1.000,QUALIFIED_SET_VALUED_CURRENT_BASELINE_U_INFERENCE,OBS/DER/ASS,CURRENT_RENOVATED_ENVELOPE_U_QUALITY_TIGHTENING_REQUIRED_FOR_HP_ONLY_LOWER_BOUND
B02-P101-S09,Y1919-1945,MULTI_DWELLING,13;14;17;18;19,0.604,0.812,1.000,1.000,QUALIFIED_SET_VALUED_CURRENT_BASELINE_U_INFERENCE,OBS/DER/ASS,CURRENT_RENOVATED_ENVELOPE_U_QUALITY_TIGHTENING_REQUIRED_FOR_HP_ONLY_LOWER_BOUND
B02-P101-S10,Y1946-1960,MULTI_DWELLING,14;18;19;20,0.531,0.743,1.000,1.000,QUALIFIED_SET_VALUED_CURRENT_BASELINE_U_INFERENCE,OBS/DER/ASS,CURRENT_RENOVATED_ENVELOPE_U_QUALITY_TIGHTENING_REQUIRED_FOR_HP_ONLY_LOWER_BOUND
B02-P101-S11,Y1961-1980,MULTI_DWELLING,14;18;19;20;21,0.531,0.743,1.000,1.000,QUALIFIED_SET_VALUED_CURRENT_BASELINE_U_INFERENCE,OBS/DER/ASS,CURRENT_RENOVATED_ENVELOPE_U_QUALITY_TIGHTENING_REQUIRED_FOR_HP_ONLY_LOWER_BOUND
B02-P101-S12,Y1981-2000,MULTI_DWELLING,14;15;18;21;22,0.106,0.687,0.106,1.000,QUALIFIED_SET_VALUED_CURRENT_BASELINE_U_INFERENCE,OBS/DER/ASS,CURRENT_RENOVATED_ENVELOPE_U_QUALITY_TIGHTENING_REQUIRED_FOR_HP_ONLY_LOWER_BOUND
B02-P101-S13,Y2001-2010,MULTI_DWELLING,15;16;22;23,0.106,0.265,0.106,0.383,QUALIFIED_SET_VALUED_CURRENT_BASELINE_U_INFERENCE,OBS/DER/ASS,CURRENT_RENOVATED_ENVELOPE_U_QUALITY_TIGHTENING_REQUIRED_FOR_HP_ONLY_LOWER_BOUND
B02-P101-S14,Y_GE2011,MULTI_DWELLING,16;23,0.106,0.265,0.106,0.383,QUALIFIED_SET_VALUED_CURRENT_BASELINE_U_INFERENCE,OBS/DER/ASS,CURRENT_RENOVATED_ENVELOPE_U_QUALITY_TIGHTENING_REQUIRED_FOR_HP_ONLY_LOWER_BOUND
