type_id,facade_insulated_share_2022,attic_insulated_share_2022,window_replaced_share_2022,source_id,evidence_status,notes
1,0.069,0.177,0.273,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
2,0.069,0.177,0.273,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
3,0.223,0.190,0.663,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
4,0.263,0.255,0.423,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
5,0.547,0.481,0.577,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
6,0.441,0.348,0.557,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
7,0.547,0.481,0.577,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
8,0.441,0.348,0.557,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
9,0.702,0.627,0.726,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
10,0.897,0.814,1.000,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
11,0.702,0.627,0.726,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
12,0.897,0.814,1.000,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
13,0.396,0.321,0.521,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
14,0.396,0.321,0.521,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
15,0.882,0.647,0.735,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
16,0.882,0.647,0.735,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
17,0.234,0.031,0.188,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
18,0.313,0.196,0.641,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
19,0.257,0.000,0.357,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
20,0.469,0.115,0.496,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
21,0.469,0.115,0.496,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
22,0.894,0.195,1.000,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
23,0.894,0.195,1.000,SRC-B02-HU-REKK-TARKI-ENVELOPE-2022,OBS/DER,"TARKI-REKK 2022 weighted type-level stock-state share."
