type_id,current_facade_insulated_share,historical_renovated_wall_u_w_m2k,historical_renovated_wall_state,calibrated_wall_deficit_share,current_window_not_replaced_deficit_share,combined_calibrated_deficit_floor_share,combined_calibrated_deficit_upper_share,status,evidence_status,residuals
1,0.069,0.64,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.727,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
2,0.069,0.39,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.727,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
3,0.223,0.51,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.337,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
4,0.263,0.45,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.577,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
5,0.547,0.53,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.423,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
6,0.441,0.5,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.443,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
7,0.547,0.51,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.423,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
8,0.441,0.41,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.443,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
9,0.702,0.38,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.274,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
10,0.897,0.34,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.000,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
11,0.702,,HISTORICAL_RENOVATED_WALL_U_MISSING,0.298,0.274,0.298,0.572,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED;MISSING_HISTORICAL_RENOVATED_WALL_U_TIGHTENING_REQUIRED"
12,0.897,0.25,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.000,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
13,0.396,0.47,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.479,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
14,0.396,0.53,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.479,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
15,0.882,,HISTORICAL_RENOVATED_WALL_U_MISSING,0.118,0.265,0.265,0.383,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED;MISSING_HISTORICAL_RENOVATED_WALL_U_TIGHTENING_REQUIRED"
16,0.882,,HISTORICAL_RENOVATED_WALL_U_MISSING,0.118,0.265,0.265,0.383,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED;MISSING_HISTORICAL_RENOVATED_WALL_U_TIGHTENING_REQUIRED"
17,0.234,0.79,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.812,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
18,0.313,0.49,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.359,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
19,0.257,0.42,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.643,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
20,0.469,0.35,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.504,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
21,0.469,0.31,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.504,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
22,0.894,0.35,HISTORICAL_RENOVATED_TYPE_MEAN_ABOVE_REFERENCE,1.000,0.000,1.000,1.000,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
23,0.894,,HISTORICAL_RENOVATED_WALL_U_MISSING,0.106,0.000,0.106,0.106,QUALIFIED_TYPE_MEAN_RENOVATED_WALL_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED;MISSING_HISTORICAL_RENOVATED_WALL_U_TIGHTENING_REQUIRED"
