surface_id,wbl_period_code,building_group,candidate_type_ids,calibrated_deficit_floor_lower_share,calibrated_deficit_floor_upper_share,calibrated_deficit_union_upper_lower_share,calibrated_deficit_union_upper_upper_share,status,evidence_status,residuals
B02-P102-S01,Y_LT1919,FAMILY_HOUSE,"1;2;3",1.000,1.000,1.000,1.000,QUALIFIED_SET_VALUED_RENOVATED_U_QUALITY_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
B02-P102-S02,Y1919-1945,FAMILY_HOUSE,"1;2;3;4",1.000,1.000,1.000,1.000,QUALIFIED_SET_VALUED_RENOVATED_U_QUALITY_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
B02-P102-S03,Y1946-1960,FAMILY_HOUSE,"4;5;6",1.000,1.000,1.000,1.000,QUALIFIED_SET_VALUED_RENOVATED_U_QUALITY_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
B02-P102-S04,Y1961-1980,FAMILY_HOUSE,"5;6;7;8",1.000,1.000,1.000,1.000,QUALIFIED_SET_VALUED_RENOVATED_U_QUALITY_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
B02-P102-S05,Y1981-2000,FAMILY_HOUSE,"7;8;9;10",1.000,1.000,1.000,1.000,QUALIFIED_SET_VALUED_RENOVATED_U_QUALITY_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
B02-P102-S06,Y2001-2010,FAMILY_HOUSE,"9;10;11;12",0.298,1.000,0.572,1.000,QUALIFIED_SET_VALUED_RENOVATED_U_QUALITY_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED;MISSING_HISTORICAL_RENOVATED_WALL_U_TIGHTENING_REQUIRED"
B02-P102-S07,Y_GE2011,FAMILY_HOUSE,"11;12",0.298,1.000,0.572,1.000,QUALIFIED_SET_VALUED_RENOVATED_U_QUALITY_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED;MISSING_HISTORICAL_RENOVATED_WALL_U_TIGHTENING_REQUIRED"
B02-P102-S08,Y_LT1919,MULTI_DWELLING,"13;17",1.000,1.000,1.000,1.000,QUALIFIED_SET_VALUED_RENOVATED_U_QUALITY_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
B02-P102-S09,Y1919-1945,MULTI_DWELLING,"13;14;17;18;19",1.000,1.000,1.000,1.000,QUALIFIED_SET_VALUED_RENOVATED_U_QUALITY_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
B02-P102-S10,Y1946-1960,MULTI_DWELLING,"14;18;19;20",1.000,1.000,1.000,1.000,QUALIFIED_SET_VALUED_RENOVATED_U_QUALITY_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
B02-P102-S11,Y1961-1980,MULTI_DWELLING,"14;18;19;20;21",1.000,1.000,1.000,1.000,QUALIFIED_SET_VALUED_RENOVATED_U_QUALITY_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED"
B02-P102-S12,Y1981-2000,MULTI_DWELLING,"14;15;18;21;22",0.265,1.000,0.383,1.000,QUALIFIED_SET_VALUED_RENOVATED_U_QUALITY_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED;MISSING_HISTORICAL_RENOVATED_WALL_U_TIGHTENING_REQUIRED"
B02-P102-S13,Y2001-2010,MULTI_DWELLING,"15;16;22;23",0.106,1.000,0.106,1.000,QUALIFIED_SET_VALUED_RENOVATED_U_QUALITY_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED;MISSING_HISTORICAL_RENOVATED_WALL_U_TIGHTENING_REQUIRED"
B02-P102-S14,Y_GE2011,MULTI_DWELLING,"16;23",0.106,0.265,0.106,0.383,QUALIFIED_SET_VALUED_RENOVATED_U_QUALITY_CALIBRATION,OBS/DER/ASS,"CURRENT_REPLACED_WINDOW_U_QUALITY_EVIDENCE_REQUIRED;MISSING_HISTORICAL_RENOVATED_WALL_U_TIGHTENING_REQUIRED"
