field_id,field_or_surface,public_status,admin_status,can_identify_1103,can_identify_technical_u,enumerable_without_known_id,bulk_filter_or_export_proven,status,evidence_status,authority,notes
B02-P105-F01,HEM_IDENTIFIER,PUBLIC,ADMIN,NO,NO,NO,NO,QUALIFIED_PUBLIC_IDENTIFIER_LOOKUP,POL,SRC-B02-MEKH-HEM-MODULE-HANDBOOK,"Public lookup requires a known HEM identifier."
B02-P105-F02,SAVING_AMOUNT_GJ,PUBLIC,ADMIN,NO,NO,NO,NO,QUALIFIED_PUBLIC_GENERIC_FIELD,POL,SRC-B02-MEKH-HEM-MODULE-HANDBOOK,"Generic public HEM field."
B02-P105-F03,IMPLEMENTATION_DATE,PUBLIC,ADMIN,NO,NO,NO,NO,QUALIFIED_PUBLIC_GENERIC_FIELD,POL,SRC-B02-MEKH-HEM-MODULE-HANDBOOK,"Generic public HEM field."
B02-P105-F04,SAVING_TYPE_LABEL,PUBLIC,ADMIN,NO_NOT_PROVEN,NO,NO,NO,SEMANTICALLY_INSUFFICIENT_FOR_1103_DISCOVERY,POL,SRC-B02-MEKH-HEM-MODULE-HANDBOOK,"Handbook separately defines HEM type as catalogue-based versus individual-audit and separately defines measure type as another dropdown. Public 'Megtakarítás típusa' must not be promoted to action code 1103 without explicit proof."
B02-P105-F05,LIFETIME_YEARS,PUBLIC,ADMIN,NO,NO,NO,NO,QUALIFIED_PUBLIC_GENERIC_FIELD,POL,SRC-B02-MEKH-HEM-MODULE-HANDBOOK,"Lifetime does not identify action type."
B02-P105-F06,PUBLIC_TOTAL_HEM_COUNT,PUBLIC_SUMMARY,ADMIN,NO,NO,YES_GLOBAL_ONLY,NO,QUALIFIED_GLOBAL_AGGREGATE_ONLY,POL,SRC-B02-MEKH-HEM-MODULE-HANDBOOK,"All-HEM count only; no action-code split."
B02-P105-F07,MEASURE_NAME,NOT_PUBLICLY_ESTABLISHED,ADMIN,PARTIAL,NO,NO,NO,QUALIFIED_ADMIN_FIELD,POL,SRC-B02-MEKH-17-2020-HEM-DATA-CONTENT,"17/2020 MEKH 3 § requires implemented measure/investment name and type in submission data."
B02-P105-F08,MEASURE_TYPE,NOT_PUBLICLY_ESTABLISHED,ADMIN,YES,NO,NO,NO,QUALIFIED_ADMIN_DISCOVERY_KEY,POL,SRC-B02-MEKH-17-2020-HEM-DATA-CONTENT;SRC-B02-HUPX-EKR-MONITORING-2022Q3,"Historical official monitoring used measure categories/codes from registry data, proving administrative categorisation/aggregation capability."
B02-P105-F09,SHORT_TECHNICAL_DESCRIPTION,NOT_PUBLICLY_ESTABLISHED,ADMIN,YES_CONTEXT,PARTIAL,NO,NO,QUALIFIED_ADMIN_TECHNICAL_CONTEXT,POL,SRC-B02-MEKH-17-2020-HEM-DATA-CONTENT,"Submission data contain short technical description."
B02-P105-F10,EKR_CATALOGUE_TECHNICAL_PARAMETERS,NOT_PUBLICLY_ESTABLISHED,ADMIN,YES,YES_FOR_WINDOW_ROUTE,NO,NO,QUALIFIED_ADMIN_TECHNICAL_RECORD,POL/DER,SRC-B06-HU-EKR-18-2025;SRC-B02-MEKH-HEM-MODULE-HANDBOOK,"Catalogue measure selection opens measure-specific technical parameter fields; P104 qualifies new-window U record route."
