metric,value
source_md5,71e630ff7c575507d385208ba832513a
source_rows_total,980730
hun_2025_rows,1358
hun_2025_total_dwelling_weight,3515973
renovation_generation_count,2
unknown_generation_rows,1002
unknown_generation_unique_names,90
u_eff_min,1.06135690212
u_eff_max,5.09236001968
u_eff_dwelling_weighted_mean,4.02473783493
unknown_name_1,MFH_1800_1944_Debrecen_ren162
unknown_name_2,MFH_1800_1944_Debrecen_ren163
unknown_name_3,MFH_1800_1944_Debrecen_ren164
unknown_name_4,MFH_1800_1944_Debrecen_ren165
unknown_name_5,MFH_1800_1944_Debrecen_ren166
unknown_name_6,MFH_1800_1944_Debrecen_ren167
unknown_name_7,MFH_1800_1944_Debrecen_ren373
unknown_name_8,MFH_1800_1944_Debrecen_ren374
unknown_name_9,MFH_1945_1959_Debrecen_ren170
unknown_name_10,MFH_1945_1959_Debrecen_ren171
unknown_name_11,MFH_1945_1959_Debrecen_ren172
unknown_name_12,MFH_1945_1959_Debrecen_ren173
unknown_name_13,MFH_1945_1959_Debrecen_ren174
unknown_name_14,MFH_1945_1959_Debrecen_ren175
unknown_name_15,MFH_1945_1959_Debrecen_ren376
unknown_name_16,MFH_1945_1959_Debrecen_ren377
unknown_name_17,MFH_1960_1979_Debrecen_ren182
unknown_name_18,MFH_1960_1979_Debrecen_ren183
unknown_name_19,MFH_1960_1979_Debrecen_ren184
unknown_name_20,MFH_1960_1979_Debrecen_ren185
unknown_name_21,MFH_1960_1979_Debrecen_ren186
unknown_name_22,MFH_1960_1979_Debrecen_ren187
unknown_name_23,MFH_1960_1979_Debrecen_ren380
unknown_name_24,MFH_1960_1979_Debrecen_ren381
unknown_name_25,MFH_1980_1989_Debrecen_ren188
unknown_name_26,MFH_1980_1989_Debrecen_ren189
unknown_name_27,MFH_1980_1989_Debrecen_ren190
unknown_name_28,MFH_1980_1989_Debrecen_ren191
unknown_name_29,MFH_1980_1989_Debrecen_ren192
unknown_name_30,MFH_1980_1989_Debrecen_ren193
unknown_name_31,MFH_1980_1989_Debrecen_ren382
unknown_name_32,MFH_1980_1989_Debrecen_ren383
unknown_name_33,MFH_1990_2005_Debrecen_ren176
unknown_name_34,MFH_1990_2005_Debrecen_ren177
unknown_name_35,MFH_1990_2005_Debrecen_ren178
unknown_name_36,MFH_1990_2005_Debrecen_ren179
unknown_name_37,MFH_1990_2005_Debrecen_ren180
unknown_name_38,MFH_1990_2005_Debrecen_ren181
unknown_name_39,MFH_1990_2005_Debrecen_ren378
unknown_name_40,MFH_1990_2005_Debrecen_ren379
unknown_name_41,MFH_1_MFH_2009_2013
unknown_name_42,MFH_2006_2008_Debrecen_ren168
unknown_name_43,MFH_2008_2012_Debrecen169
unknown_name_44,MFH_2008_2012_Debrecen375
unknown_name_45,New_MFH_1_MFH
unknown_name_46,New_SFHdh
unknown_name_47,SFHdh_1800_1944_Debrecen_ren1
unknown_name_48,SFHdh_1800_1944_Debrecen_ren2
unknown_name_49,SFHdh_1800_1944_Debrecen_ren284
unknown_name_50,SFHdh_1800_1944_Debrecen_ren285
unknown_name_51,SFHdh_1800_1944_Debrecen_ren3
unknown_name_52,SFHdh_1800_1944_Debrecen_ren4
unknown_name_53,SFHdh_1800_1944_Debrecen_ren5
unknown_name_54,SFHdh_1800_1944_Debrecen_ren6
unknown_name_55,SFHdh_1945_1959_Debrecen_ren10
unknown_name_56,SFHdh_1945_1959_Debrecen_ren11
unknown_name_57,SFHdh_1945_1959_Debrecen_ren12
unknown_name_58,SFHdh_1945_1959_Debrecen_ren286
unknown_name_59,SFHdh_1945_1959_Debrecen_ren287
unknown_name_60,SFHdh_1945_1959_Debrecen_ren7
unknown_name_61,SFHdh_1945_1959_Debrecen_ren8
unknown_name_62,SFHdh_1945_1959_Debrecen_ren9
unknown_name_63,SFHdh_1960_1979_Debrecen_ren13
unknown_name_64,SFHdh_1960_1979_Debrecen_ren14
unknown_name_65,SFHdh_1960_1979_Debrecen_ren15
unknown_name_66,SFHdh_1960_1979_Debrecen_ren16
unknown_name_67,SFHdh_1960_1979_Debrecen_ren17
unknown_name_68,SFHdh_1960_1979_Debrecen_ren18
unknown_name_69,SFHdh_1960_1979_Debrecen_ren288
unknown_name_70,SFHdh_1960_1979_Debrecen_ren289
unknown_name_71,SFHdh_1980_1989_Debrecen_ren19
unknown_name_72,SFHdh_1980_1989_Debrecen_ren20
unknown_name_73,SFHdh_1980_1989_Debrecen_ren21
unknown_name_74,SFHdh_1980_1989_Debrecen_ren22
unknown_name_75,SFHdh_1980_1989_Debrecen_ren23
unknown_name_76,SFHdh_1980_1989_Debrecen_ren24
unknown_name_77,SFHdh_1980_1989_Debrecen_ren290
unknown_name_78,SFHdh_1980_1989_Debrecen_ren291
unknown_name_79,SFHdh_1990_2005_Debrecen_ren25
unknown_name_80,SFHdh_1990_2005_Debrecen_ren26
unknown_name_81,SFHdh_1990_2005_Debrecen_ren27
unknown_name_82,SFHdh_1990_2005_Debrecen_ren28
unknown_name_83,SFHdh_1990_2005_Debrecen_ren29
unknown_name_84,SFHdh_1990_2005_Debrecen_ren292
unknown_name_85,SFHdh_1990_2005_Debrecen_ren293
unknown_name_86,SFHdh_1990_2005_Debrecen_ren30
unknown_name_87,SFHdh_2006_2008_Debrecen_ren31
unknown_name_88,SFHdh_2008_2012_Debrecen294
unknown_name_89,SFHdh_2008_2012_Debrecen32
unknown_name_90,SFHdh_2009_2013
