country,year,index,name,renovation_generation,building_categories_index,building_category,construction_period_start,construction_period_end,number_of_dwellings_per_building,number_of_buildings,dwelling_weight,areawindows,Htr_w,effective_window_u_w_m2k,stock_window_area_m2,stock_window_htr_w_per_k,model_reference_satisfied_1_10
HUN,2025,1,SFHdh_1800_1944_Debrecen_ren1,UNKNOWN,2,SFH,1880,1944,1,111545.59375,111545.59375,32.1023826599,160.674911499,5.00507736206,3580879.25,17922578,False
HUN,2025,2,SFHdh_1800_1944_Debrecen_ren2,UNKNOWN,2,SFH,1880,1944,1,90149.78125,90149.78125,32.1023826599,127.913497925,3.98454833031,2894022.75,11531374,False
HUN,2025,3,SFHdh_1800_1944_Debrecen_ren3,UNKNOWN,2,SFH,1880,1944,1,22774.15625,22774.15625,32.1023826599,160.674911499,5.00507736206,731104.6875,3659235.5,False
HUN,2025,4,SFHdh_1800_1944_Debrecen_ren4,UNKNOWN,2,SFH,1880,1944,1,11488.1259766,11488.1259766,32.1023826599,127.913497925,3.98454833031,368796.21875,1469486.375,False
HUN,2025,5,SFHdh_1800_1944_Debrecen_ren5,UNKNOWN,2,SFH,1880,1944,1,26665.5253906,26665.5253906,32.1023826599,96.3983154297,3.0028398037,856026.875,2570511.75,False
HUN,2025,6,SFHdh_1800_1944_Debrecen_ren6,UNKNOWN,2,SFH,1880,1944,1,7647.59277344,7647.59277344,32.1023826599,75.5173339844,2.35239028931,245505.953125,577525.8125,False
HUN,2025,284,SFHdh_1800_1944_Debrecen_ren284,UNKNOWN,2,SFH,1880,1944,1,3153.671875,3153.671875,32.1023826599,100.441772461,3.12879490852,101240.382812,316760.40625,False
HUN,2025,285,SFHdh_1800_1944_Debrecen_ren285,UNKNOWN,2,SFH,1880,1944,1,1010.28973389,1010.28973389,32.1023826599,79.655166626,2.48128509521,32432.7070312,80474.796875,False
HUN,2025,620,SFHdh_1800_1944_Debrecen_ren1,UNKNOWN,2,SFH,1880,1944,1,1206.80297852,1206.80297852,32.1023826599,160.674911499,5.00507736206,38741.25,193902.96875,False
HUN,2025,621,SFHdh_1800_1944_Debrecen_ren1,UNKNOWN,2,SFH,1880,1944,1,350.467681885,350.467681885,32.1023826599,98.1193084717,3.0564494133,11250.8476562,34387.6484375,False
HUN,2025,622,SFHdh_1800_1944_Debrecen_ren1,UNKNOWN,2,SFH,1880,1944,1,299.12399292,299.12399292,32.1023826599,105.618492126,3.29005146027,9602.59277344,31593.0253906,False
HUN,2025,623,SFHdh_1800_1944_Debrecen_ren1,UNKNOWN,2,SFH,1880,1944,1,40.5446929932,40.5446929932,32.1023826599,82.8516769409,2.58085751534,1301.58129883,3359.19580078,False
HUN,2025,624,SFHdh_1800_1944_Debrecen_ren2,UNKNOWN,2,SFH,1880,1944,1,1081.89599609,1081.89599609,32.1023826599,127.913497925,3.98454833031,34731.4375,138389.09375,False
HUN,2025,625,SFHdh_1800_1944_Debrecen_ren2,UNKNOWN,2,SFH,1880,1944,1,198.026580811,198.026580811,32.1023826599,77.5960769653,2.41714382172,6357.125,15366.0859375,False
HUN,2025,626,SFHdh_1800_1944_Debrecen_ren2,UNKNOWN,2,SFH,1880,1944,1,191.975799561,191.975799561,32.1023826599,82.2684326172,2.56268930435,6162.88037109,15793.5478516,False
HUN,2025,627,SFHdh_1800_1944_Debrecen_ren2,UNKNOWN,2,SFH,1880,1944,1,35.8905639648,35.8905639648,32.1023826599,74.8459777832,2.33147740364,1152.17260742,2686.2644043,False
HUN,2025,628,SFHdh_1800_1944_Debrecen_ren3,UNKNOWN,2,SFH,1880,1944,1,242.935119629,242.935119629,32.1023826599,160.674911499,5.00507736206,7798.79638672,39033.578125,False
HUN,2025,629,SFHdh_1800_1944_Debrecen_ren3,UNKNOWN,2,SFH,1880,1944,1,64.9539871216,64.9539871216,32.1023826599,98.1193084717,3.0564494133,2085.17773438,6373.24023438,False
HUN,2025,630,SFHdh_1800_1944_Debrecen_ren3,UNKNOWN,2,SFH,1880,1944,1,56.6515731812,56.6515731812,32.1023826599,105.618492126,3.29005146027,1818.6505127,5983.45361328,False
HUN,2025,631,SFHdh_1800_1944_Debrecen_ren3,UNKNOWN,2,SFH,1880,1944,1,6.0801653862,6.0801653862,32.1023826599,82.8516769409,2.58085751534,195.187789917,503.75189209,False
HUN,2025,632,SFHdh_1800_1944_Debrecen_ren4,UNKNOWN,2,SFH,1880,1944,1,149.513671875,149.513671875,32.1023826599,127.913497925,3.98454833031,4799.74511719,19124.8164062,False
HUN,2025,633,SFHdh_1800_1944_Debrecen_ren4,UNKNOWN,2,SFH,1880,1944,1,25.2811832428,25.2811832428,32.1023826599,77.5960769653,2.41714382172,811.586242676,1961.72058105,False
HUN,2025,634,SFHdh_1800_1944_Debrecen_ren4,UNKNOWN,2,SFH,1880,1944,1,25.0537338257,25.0537338257,32.1023826599,82.2684326172,2.56268930435,804.284545898,2061.13134766,False
HUN,2025,635,SFHdh_1800_1944_Debrecen_ren4,UNKNOWN,2,SFH,1880,1944,1,3.93584918976,3.93584918976,32.1023826599,74.8459777832,2.33147740364,126.350135803,294.582489014,False
HUN,2025,636,SFHdh_1800_1944_Debrecen_ren5,UNKNOWN,2,SFH,1880,1944,1,700.636352539,700.636352539,32.1023826599,96.3983154297,3.0028398037,22492.0957031,67540.1640625,False
HUN,2025,637,SFHdh_1800_1944_Debrecen_ren5,UNKNOWN,2,SFH,1880,1944,1,94.5358963013,94.5358963013,32.1023826599,96.3983154297,3.0028398037,3034.82763672,9113.1015625,False
HUN,2025,638,SFHdh_1800_1944_Debrecen_ren5,UNKNOWN,2,SFH,1880,1944,1,103.44039917,103.44039917,32.1023826599,96.3388824463,3.00098848343,3320.68334961,9965.33203125,False
HUN,2025,639,SFHdh_1800_1944_Debrecen_ren5,UNKNOWN,2,SFH,1880,1944,1,5.0326294899,5.0326294899,32.1023826599,83.0748519897,2.58780956268,161.559402466,418.084960938,False
HUN,2025,640,SFHdh_1800_1944_Debrecen_ren6,UNKNOWN,2,SFH,1880,1944,1,223.111206055,223.111206055,32.1023826599,75.5173339844,2.35239028931,7162.40136719,16848.7636719,False
HUN,2025,641,SFHdh_1800_1944_Debrecen_ren6,UNKNOWN,2,SFH,1880,1944,1,22.7832889557,22.7832889557,32.1023826599,75.5173339844,2.35239028931,731.397888184,1720.53320312,False
HUN,2025,642,SFHdh_1800_1944_Debrecen_ren6,UNKNOWN,2,SFH,1880,1944,1,26.9258728027,26.9258728027,32.1023826599,75.4429855347,2.35007429123,864.384643555,2031.36828613,False
HUN,2025,643,SFHdh_1800_1944_Debrecen_ren6,UNKNOWN,2,SFH,1880,1944,1,1.73073935509,1.73073935509,32.1023826599,74.169303894,2.31039881706,55.5608558655,128.367736816,False
HUN,2025,1528,SFHdh_1800_1944_Debrecen_ren284,UNKNOWN,2,SFH,1880,1944,1,98.3380889893,98.3380889893,32.1023826599,100.441772461,3.12879490852,3156.88696289,9877.25195312,False
HUN,2025,1529,SFHdh_1800_1944_Debrecen_ren284,UNKNOWN,2,SFH,1880,1944,1,13.1508150101,13.1508150101,32.1023826599,100.441772461,3.12879490852,422.172485352,1320.89111328,False
HUN,2025,1530,SFHdh_1800_1944_Debrecen_ren284,UNKNOWN,2,SFH,1880,1944,1,14.4033346176,14.4033346176,32.1023826599,100.364982605,3.12640285492,462.381347656,1445.5904541,False
HUN,2025,1531,SFHdh_1800_1944_Debrecen_ren284,UNKNOWN,2,SFH,1880,1944,1,0.536271393299,0.536271393299,32.1023826599,82.8516769409,2.58085751534,17.2155895233,44.4309844971,False
HUN,2025,1532,SFHdh_1800_1944_Debrecen_ren285,UNKNOWN,2,SFH,1880,1944,1,21.5808105469,21.5808105469,32.1023826599,79.655166626,2.48128509521,692.795410156,1719.02307129,False
HUN,2025,1533,SFHdh_1800_1944_Debrecen_ren285,UNKNOWN,2,SFH,1880,1944,1,2.08294844627,2.08294844627,32.1023826599,79.655166626,2.48128509521,66.8676071167,165.917602539,False
HUN,2025,1534,SFHdh_1800_1944_Debrecen_ren285,UNKNOWN,2,SFH,1880,1944,1,2.48657512665,2.48657512665,32.1023826599,79.5977401733,2.47949624062,79.8249893188,197.925765991,False
HUN,2025,1535,SFHdh_1800_1944_Debrecen_ren285,UNKNOWN,2,SFH,1880,1944,1,0.0909408181906,0.0909408181906,32.1023826599,74.8459777832,2.33147740364,2.91941690445,6.80655431747,False
HUN,2025,2107,SFHdh_1800_1944_Debrecen_ren1,UNKNOWN,2,SFH,1880,1944,1,2322.86010742,2322.86010742,32.1023826599,160.674911499,5.00507736206,74569.34375,373225.34375,False
HUN,2025,2108,SFHdh_1800_1944_Debrecen_ren1,UNKNOWN,2,SFH,1880,1944,1,696.731994629,696.731994629,32.1023826599,98.1193084717,3.0564494133,22366.7578125,68362.859375,False
HUN,2025,2109,SFHdh_1800_1944_Debrecen_ren1,UNKNOWN,2,SFH,1880,1944,1,611.069824219,611.069824219,32.1023826599,105.618492126,3.29005146027,19616.796875,64540.2734375,False
HUN,2025,2110,SFHdh_1800_1944_Debrecen_ren1,UNKNOWN,2,SFH,1880,1944,1,90.3295516968,90.3295516968,32.1023826599,82.8516769409,2.58085751534,2899.79394531,7483.95507812,False
HUN,2025,2111,SFHdh_1800_1944_Debrecen_ren2,UNKNOWN,2,SFH,1880,1944,1,2114.35595703,2114.35595703,32.1023826599,127.913497925,3.98454833031,67875.8671875,270454.65625,False
HUN,2025,2112,SFHdh_1800_1944_Debrecen_ren2,UNKNOWN,2,SFH,1880,1944,1,393.963653564,393.963653564,32.1023826599,77.5960769653,2.41714382172,12647.171875,30570.0332031,False
HUN,2025,2113,SFHdh_1800_1944_Debrecen_ren2,UNKNOWN,2,SFH,1880,1944,1,397.991851807,397.991851807,32.1023826599,82.2684326172,2.56268930435,12776.4863281,32742.1660156,False
HUN,2025,2114,SFHdh_1800_1944_Debrecen_ren2,UNKNOWN,2,SFH,1880,1944,1,69.6316146851,69.6316146851,32.1023826599,74.8459777832,2.33147740364,2235.34082031,5211.64648438,False
HUN,2025,2115,SFHdh_1800_1944_Debrecen_ren3,UNKNOWN,2,SFH,1880,1944,1,523.611022949,523.611022949,32.1023826599,160.674911499,5.00507736206,16809.1621094,84131.15625,False
