field_id,field,required_for_1103_aggregate,required_for_complete_aggregate,rule,status
B02-P113-C01,programme_scope,YES,YES,"4.1.7 and/or 4.1.8 explicitly declared",REQUIRED_FOR_1103_AGGREGATE
B02-P113-C02,cutoff_date,YES,YES,"valid source cutoff date",REQUIRED_FOR_1103_AGGREGATE
B02-P113-C03,metric_name,YES,YES,"must be exact Energiahatékonysági intézkedés kategória",REQUIRED_FOR_1103_AGGREGATE
B02-P113-C04,measure_category_code,YES,YES,"must be exact 1103",REQUIRED_FOR_1103_AGGREGATE
B02-P113-C05,completed_project_count_all_measures,YES,YES,"nonnegative declared-scope denominator",REQUIRED_FOR_1103_AGGREGATE
B02-P113-C06,completed_project_count_1103,YES,YES,"nonnegative and <= completed-project denominator",REQUIRED_FOR_1103_AGGREGATE
B02-P113-C07,source_generated,YES,YES,"must be generated by FAIR/IH programmonitoring or equivalent authoritative administrative surface",REQUIRED_FOR_1103_AGGREGATE
B02-P113-C08,complete_for_declared_scope,YES,YES,"must be true; convenience sample rejected",REQUIRED_FOR_COMPLETE_AGGREGATE
B02-P113-C09,aggregation_basis_description,YES,YES,"must describe project universe, completion state, metric selection and cutoff",REQUIRED_FOR_COMPLETE_AGGREGATE
B02-P113-C10,technical_join_key,NO,NO,"aggregate route cannot satisfy P108 technical U join",NOT_AVAILABLE_FROM_COUNT_AGGREGATE
B02-P113-C11,hem_overlap_field,NO,NO,"aggregate 1103 count does not classify EKR/HEM overlap",NOT_AVAILABLE_FROM_COUNT_AGGREGATE
