metric,value,unit,status,notes
btr_family_total,2333452,dwellings,OFFICIAL_MODEL_WEIGHT,"UNFCCC BTR1 Table 28 types 1-12"
btr_multi_total,1393712,dwellings,OFFICIAL_MODEL_WEIGHT,"UNFCCC BTR1 Table 28 types 13-23"
btr_total,3727164,dwellings,OFFICIAL_MODEL_WEIGHT,"Not used as canonical denominator"
p21_family_total,2423136,dwellings,CANONICAL_GROUP_MASS,"Exact P21 target"
p21_multi_total,1585405,dwellings,CANONICAL_GROUP_MASS,"Exact P21 target"
canonical_occupied_total,4008541,dwellings,CANONICAL_DENOMINATOR,"P21/WBL exact occupied universe"
family_deficit_floor_share,0.9866233682972694,share,QUALIFIED_CALIBRATION,"BTR within-family type weights x P102 type floors"
family_deficit_upper_share,0.9918444467681358,share,QUALIFIED_CALIBRATION,"BTR within-family type weights x P102 type uppers"
multi_deficit_floor_share,0.9348630915138852,share,QUALIFIED_CALIBRATION,"BTR within-multi type weights x P102 type floors"
multi_deficit_upper_share,0.9404304727232026,share,QUALIFIED_CALIBRATION,"BTR within-multi type weights x P102 type uppers"
national_deficit_floor_share,0.9661518297465196,share,QUALIFIED_OFFICIAL_TYPE_WEIGHTED_CALIBRATION,"P21 group masses x BTR within-group type mix"
national_deficit_floor_dwellings,3872859.2217639433,expected_dwelling_equivalent,QUALIFIED_OFFICIAL_TYPE_WEIGHTED_CALIBRATION,"Calibrated expected equivalent, not integer OBS"
national_deficit_upper_share,0.9715098732859866,share,QUALIFIED_CALIBRATION,"Not promoted to observed household failure"
hp_only_share_lower,0,share,UNCHANGED_FAIL_CLOSED,"No observed all-component compliant mass proven"
hp_only_share_upper,0.033848170253480414,share,QUALIFIED_CALIBRATED_UPPER,"Reduced from P102 0.17213897005530188"
hp_only_upper_dwellings,135681.77823605662,expected_dwelling_equivalent,QUALIFIED_CALIBRATED_UPPER,"Not integer OBS"
previous_p102_floor,0.8278610299446981,share,SUPERSEDED_NATIONAL_TYPE_MIX_CALIBRATION,"P102 set-valued candidate-type floor"
floor_gain,0.1382907998018215,share,NUMERIC_TIGHTENING,"13.8290799802 percentage points"
previous_p102_hp_only_upper,0.17213897005530188,share,SUPERSEDED_NATIONAL_TYPE_MIX_CALIBRATION,"P102 candidate upper edge"
hp_only_upper_reduction,0.13829079980182146,share,NUMERIC_TIGHTENING,"13.8290799802 percentage points"
problem_types_btr_total,157705,dwellings,OFFICIAL_MODEL_WEIGHT,"Types 11,15,16,23"
problem_types_btr_share,0.042312331842655704,share,OFFICIAL_MODEL_WEIGHT,"Only residual type family in BTR type universe"
