type_id,building_group,btr_occupied_dwellings,source_label,source_period,size_class,status
1,FAMILY_HOUSE,150023,ADOBE_WITHOUT_FOUNDATION,PRE_1945,,OFFICIAL_BTR_TYPE_WEIGHT
2,FAMILY_HOUSE,385772,ADOBE_WITH_FOUNDATION,PRE_1945,,OFFICIAL_BTR_TYPE_WEIGHT
3,FAMILY_HOUSE,213256,FAMILY_HOUSE,PRE_1945,,OFFICIAL_BTR_TYPE_WEIGHT
4,FAMILY_HOUSE,190106,FAMILY_HOUSE,1945_1959,,OFFICIAL_BTR_TYPE_WEIGHT
5,FAMILY_HOUSE,532069,FAMILY_HOUSE,1960_1979,LT120,OFFICIAL_BTR_TYPE_WEIGHT
6,FAMILY_HOUSE,87245,FAMILY_HOUSE,1960_1979,GE120,OFFICIAL_BTR_TYPE_WEIGHT
7,FAMILY_HOUSE,247816,FAMILY_HOUSE,1980_1989,LT120,OFFICIAL_BTR_TYPE_WEIGHT
8,FAMILY_HOUSE,91987,FAMILY_HOUSE,1980_1989,GE120,OFFICIAL_BTR_TYPE_WEIGHT
9,FAMILY_HOUSE,198028,FAMILY_HOUSE,1990_2005,LT120,OFFICIAL_BTR_TYPE_WEIGHT
10,FAMILY_HOUSE,102110,FAMILY_HOUSE,1990_2005,GE120,OFFICIAL_BTR_TYPE_WEIGHT
11,FAMILY_HOUSE,44464,FAMILY_HOUSE,2006_2020,LT120,OFFICIAL_BTR_TYPE_WEIGHT
12,FAMILY_HOUSE,90576,FAMILY_HOUSE,2006_2020,GE120,OFFICIAL_BTR_TYPE_WEIGHT
13,MULTI_DWELLING,72027,SMALL_MFH_4_9,PRE_1945,,OFFICIAL_BTR_TYPE_WEIGHT
14,MULTI_DWELLING,100247,SMALL_MFH_4_9,1945_1989,,OFFICIAL_BTR_TYPE_WEIGHT
15,MULTI_DWELLING,41607,SMALL_MFH_4_9,1990_2005,,OFFICIAL_BTR_TYPE_WEIGHT
16,MULTI_DWELLING,24150,SMALL_MFH_4_9,2006_2020,,OFFICIAL_BTR_TYPE_WEIGHT
17,MULTI_DWELLING,179424,LARGE_MFH_10_PLUS,PRE_1945,,OFFICIAL_BTR_TYPE_WEIGHT
18,MULTI_DWELLING,241509,LARGE_MFH_10_PLUS,1945_1989,,OFFICIAL_BTR_TYPE_WEIGHT
19,MULTI_DWELLING,163771,LARGE_MFH_BLOCK,,BLOCK,OFFICIAL_BTR_TYPE_WEIGHT
20,MULTI_DWELLING,290941,PANEL,PRE_1980,,OFFICIAL_BTR_TYPE_WEIGHT
21,MULTI_DWELLING,163780,PANEL,1980_PLUS,,OFFICIAL_BTR_TYPE_WEIGHT
22,MULTI_DWELLING,68772,LARGE_MFH_10_PLUS,1990_2005,,OFFICIAL_BTR_TYPE_WEIGHT
23,MULTI_DWELLING,47484,LARGE_MFH_10_PLUS,2006_2020,,OFFICIAL_BTR_TYPE_WEIGHT
