surface_id,wbl_period_code,building_group,action,candidate_type_ids,candidate_count,heated_floor_area_lower_m2_per_dwelling,heated_floor_area_upper_m2_per_dwelling,geometry_rule,external_wall_u_max_w_m2k,flat_roof_u_max_w_m2k,attic_floor_u_max_w_m2k,basement_ceiling_u_max_w_m2k,window_u_max_w_m2k,pitched_roof_u_status,status,evidence_status,residuals
B02-P83-S01,Y_LT1919,FAMILY_HOUSE,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,1;2;3,3,69.9,107.6,PRESERVE_P79_SYNTHETIC_GEOMETRY_SET,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_MATERIALIZED_BOUNDED_POST_STATE,DER/SCN,"DEFENSIBLE_COMPONENT_AREA_GEOMETRY_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED"
B02-P83-S02,Y1919-1945,FAMILY_HOUSE,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,1;2;3;4,4,69.9,107.6,PRESERVE_P79_SYNTHETIC_GEOMETRY_SET,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_MATERIALIZED_BOUNDED_POST_STATE,DER/SCN,"DEFENSIBLE_COMPONENT_AREA_GEOMETRY_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED"
B02-P83-S03,Y1946-1960,FAMILY_HOUSE,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,4;5;6,3,84.5,150.1,PRESERVE_P79_SYNTHETIC_GEOMETRY_SET,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_MATERIALIZED_BOUNDED_POST_STATE,DER/SCN,"DEFENSIBLE_COMPONENT_AREA_GEOMETRY_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED"
B02-P83-S04,Y1961-1980,FAMILY_HOUSE,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,5;6;7;8,4,84.5,180.5,PRESERVE_P79_SYNTHETIC_GEOMETRY_SET,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_MATERIALIZED_BOUNDED_POST_STATE,DER/SCN,"DEFENSIBLE_COMPONENT_AREA_GEOMETRY_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED"
B02-P83-S05,Y1981-2000,FAMILY_HOUSE,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,7;8;9;10,4,96.4,200.1,PRESERVE_P79_SYNTHETIC_GEOMETRY_SET,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_MATERIALIZED_BOUNDED_POST_STATE,DER/SCN,"DEFENSIBLE_COMPONENT_AREA_GEOMETRY_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED"
B02-P83-S06,Y2001-2010,FAMILY_HOUSE,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,9;10;11;12,4,99.2,233.8,PRESERVE_P79_SYNTHETIC_GEOMETRY_SET,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_MATERIALIZED_BOUNDED_POST_STATE,DER/SCN,"DEFENSIBLE_COMPONENT_AREA_GEOMETRY_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED"
B02-P83-S07,Y_GE2011,FAMILY_HOUSE,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,11;12,2,108.2,233.8,PRESERVE_P79_SYNTHETIC_GEOMETRY_SET,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_MATERIALIZED_BOUNDED_POST_STATE,DER/SCN,"DEFENSIBLE_COMPONENT_AREA_GEOMETRY_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED"
B02-P83-S08,Y_LT1919,MULTI_DWELLING,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,13;17,2,71.9333333333,87.35,PRESERVE_P79_SYNTHETIC_GEOMETRY_SET,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_MATERIALIZED_BOUNDED_POST_STATE,DER/SCN,"DEFENSIBLE_COMPONENT_AREA_GEOMETRY_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED"
B02-P83-S09,Y1919-1945,MULTI_DWELLING,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,13;14;17;18;19,5,54.8388888889,87.35,PRESERVE_P79_SYNTHETIC_GEOMETRY_SET,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_MATERIALIZED_BOUNDED_POST_STATE,DER/SCN,"DEFENSIBLE_COMPONENT_AREA_GEOMETRY_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED"
B02-P83-S10,Y1946-1960,MULTI_DWELLING,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,14;18;19;20,4,54.8388888889,77.7333333333,PRESERVE_P79_SYNTHETIC_GEOMETRY_SET,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_MATERIALIZED_BOUNDED_POST_STATE,DER/SCN,"DEFENSIBLE_COMPONENT_AREA_GEOMETRY_INFERENCE_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED"
