surface_id,wbl_period_code,building_group,candidate_type_ids,candidate_count,heated_volume_lower_m3_per_dwelling,heated_volume_upper_m3_per_dwelling,mean_storey_floorplate_lower_m2_per_dwelling,mean_storey_floorplate_upper_m2_per_dwelling,bbox_plan_area_lower_m2_per_dwelling,bbox_plan_area_upper_m2_per_dwelling,bbox_facade_proxy_lower_m2_per_dwelling,bbox_facade_proxy_upper_m2_per_dwelling,max_usable_roof_area_lower_m2_per_dwelling,max_usable_roof_area_upper_m2_per_dwelling,heated_to_total_floor_ratio_lower,heated_to_total_floor_ratio_upper,status,evidence_status,residuals
B02-P85-S01,Y_LT1919,FAMILY_HOUSE,1;2;3,3,185.235,301.28,101.7,187.1,100.01,140.14,111.3,137.2,13,18,0.575093533,0.687315634,SET_VALUED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED
B02-P85-S02,Y1919-1945,FAMILY_HOUSE,1;2;3;4,4,185.235,301.28,101.7,187.1,100.01,140.14,111.3,137.2,12,18,0.575093533,0.687315634,SET_VALUED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED
B02-P85-S03,Y1946-1960,FAMILY_HOUSE,4;5;6,3,236.6,420.28,112.05,146.9,108,156.17,117.6,288.96,12,16,0.669790272,0.675289312,SET_VALUED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED
B02-P85-S04,Y1961-1980,FAMILY_HOUSE,5;6;7;8,4,236.6,505.4,112.05,145.9,104.06,156.17,115.92,288.96,13,17,0.660726525,0.755546254,SET_VALUED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED
B02-P85-S05,Y1981-2000,FAMILY_HOUSE,7;8;9;10,4,269.92,560.28,116.3,146.8,104.06,167.4,115.92,294.56,13,17,0.660726525,0.86027515,SET_VALUED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED
B02-P85-S06,Y2001-2010,FAMILY_HOUSE,9;10;11;12,4,277.76,631.26,116.3,161.1,120.9,220.15,124.88,328.32,12,18,0.671632526,0.867854491,SET_VALUED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED
B02-P85-S07,Y_GE2011,FAMILY_HOUSE,11;12,2,292.14,631.26,134.7,161.1,147.84,220.15,135,328.32,12,18,0.671632526,0.867854491,SET_VALUED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED
B02-P85-S08,Y_LT1919,MULTI_DWELLING,13;17,2,222.993333333,270.785,19.784242424,37.844444444,21.687272727,48.96,51.572727273,109.12,0.545454545,2.666666667,0.727178042,0.769377569,SET_VALUED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED
B02-P85-S09,Y1919-1945,MULTI_DWELLING,13;14;17;18;19,5,145.323055556,270.785,13.096666667,37.844444444,15.3,48.96,39.970833333,109.12,0.545454545,4.5,0.727178042,0.837448036,SET_VALUED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED
B02-P85-S10,Y1946-1960,MULTI_DWELLING,14;18;19;20,4,145.323055556,217.653333333,9.916611842,35.094444444,9.926315789,42.75,34.812631579,94.92,0.881578947,4.5,0.738325154,0.914451097,SET_VALUED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED
