type_id,building_group,dwelling_count_model,heated_volume_m3_per_dwelling,mean_storey_floorplate_m2_per_dwelling,bbox_plan_area_m2_per_dwelling,bbox_rectangular_facade_proxy_m2_per_dwelling,max_usable_roof_area_m2_per_dwelling,heated_to_total_floor_area_ratio,status,evidence_status,source_id,forbidden_use,notes
1,FAMILY_HOUSE,1,185.235,101.7,100.01,111.3,18,0.687315634,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
2,FAMILY_HOUSE,1,207.23,120.7,119.52,120.31,13,0.647887324,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
3,FAMILY_HOUSE,1,301.28,187.1,140.14,137.2,14,0.575093533,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
4,FAMILY_HOUSE,1,277.76,146.9,121.03,125.44,12,0.675289312,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
5,FAMILY_HOUSE,1,236.6,125.8,108,117.6,13,0.671701113,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
6,FAMILY_HOUSE,1,420.28,112.05,156.17,288.96,16,0.669790272,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
7,FAMILY_HOUSE,1,269.92,145.9,104.06,115.92,17,0.660726525,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
8,FAMILY_HOUSE,1,505.4,119.45,127.68,256.48,15,0.755546254,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
9,FAMILY_HOUSE,1,277.76,146.8,120.9,124.88,13,0.675749319,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
10,FAMILY_HOUSE,1,560.28,116.3,167.4,294.56,16,0.86027515,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
11,FAMILY_HOUSE,1,292.14,161.1,147.84,135,12,0.671632526,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
12,FAMILY_HOUSE,1,631.26,134.7,220.15,328.32,18,0.867854491,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
13,MULTI_DWELLING,6,270.785,37.844444444,48.96,109.12,2.666666667,0.769377569,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
14,MULTI_DWELLING,6,217.653333333,35.094444444,42.75,94.92,4.5,0.738325154,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
15,MULTI_DWELLING,6,214.62,33.955555556,59.103333333,108.36,3,0.752454188,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
16,MULTI_DWELLING,6,235.395,35.25,55.59,100.17,2,0.824428684,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
17,MULTI_DWELLING,33,222.993333333,19.784242424,21.687272727,51.572727273,0.545454545,0.727178042,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
18,MULTI_DWELLING,31,155.138064516,18.166935484,21.338709677,43.138064516,1.870967742,0.762462822,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
19,MULTI_DWELLING,36,145.323055556,13.096666667,15.3,39.970833333,1.611111111,0.837448036,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
20,MULTI_DWELLING,76,192.247039474,9.916611842,9.926315789,34.812631579,0.881578947,0.914451097,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
21,MULTI_DWELLING,52,155.870961538,11.114423077,12.823461538,35.897307692,1.134615385,0.88202555,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
22,MULTI_DWELLING,27,204.441481481,19.027777778,25.375925926,45.463703704,0.777777778,0.959318735,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
23,MULTI_DWELLING,49,163.272857143,13.604897959,20.768163265,36.312244898,0.551020408,0.888965559,DERIVED_SYNTHETIC_GEOMETRY_PROXY,DER/SCN_PROXY,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,HOUSEHOLD_COMPONENT_AREA;NET_WALL_AREA;ROOF_HEAT_LOSS_AREA;GROUND_CONTACT_AREA,"Arithmetic from canonical KEOP23 synthetic geometry. Bbox facade and plan quantities are explicit rectangularization proxies, not source-native net component areas."
