surface_id,wbl_period_code,building_group,action,candidate_type_ids,candidate_count,heated_floor_area_lower_m2_per_dwelling,heated_floor_area_upper_m2_per_dwelling,heated_volume_lower_m3_per_dwelling,heated_volume_upper_m3_per_dwelling,mean_storey_floorplate_lower_m2_per_dwelling,mean_storey_floorplate_upper_m2_per_dwelling,bbox_plan_area_lower_m2_per_dwelling,bbox_plan_area_upper_m2_per_dwelling,bbox_facade_proxy_lower_m2_per_dwelling,bbox_facade_proxy_upper_m2_per_dwelling,max_usable_roof_area_lower_m2_per_dwelling,max_usable_roof_area_upper_m2_per_dwelling,external_wall_u_max_w_m2k,flat_roof_u_max_w_m2k,attic_floor_u_max_w_m2k,basement_ceiling_u_max_w_m2k,window_u_max_w_m2k,pitched_roof_u_status,geometry_status,status,evidence_status,residuals
B02-P85-R01,Y_LT1919,FAMILY_HOUSE,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,1;2;3,3,69.9,107.6,185.235,301.28,101.7,187.1,100.01,140.14,111.3,137.2,13,18,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_RESOLVED_SYNTHETIC_PROXY,PARTIAL_REFERENCE_RETROFIT_PHYSICAL_INPUT_SURFACE,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED
B02-P85-R02,Y1919-1945,FAMILY_HOUSE,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,1;2;3;4,4,69.9,107.6,185.235,301.28,101.7,187.1,100.01,140.14,111.3,137.2,12,18,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_RESOLVED_SYNTHETIC_PROXY,PARTIAL_REFERENCE_RETROFIT_PHYSICAL_INPUT_SURFACE,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED
B02-P85-R03,Y1946-1960,FAMILY_HOUSE,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,4;5;6,3,84.5,150.1,236.6,420.28,112.05,146.9,108,156.17,117.6,288.96,12,16,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_RESOLVED_SYNTHETIC_PROXY,PARTIAL_REFERENCE_RETROFIT_PHYSICAL_INPUT_SURFACE,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED
B02-P85-R04,Y1961-1980,FAMILY_HOUSE,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,5;6;7;8,4,84.5,180.5,236.6,505.4,112.05,145.9,104.06,156.17,115.92,288.96,13,17,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_RESOLVED_SYNTHETIC_PROXY,PARTIAL_REFERENCE_RETROFIT_PHYSICAL_INPUT_SURFACE,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED
B02-P85-R05,Y1981-2000,FAMILY_HOUSE,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,7;8;9;10,4,96.4,200.1,269.92,560.28,116.3,146.8,104.06,167.4,115.92,294.56,13,17,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_RESOLVED_SYNTHETIC_PROXY,PARTIAL_REFERENCE_RETROFIT_PHYSICAL_INPUT_SURFACE,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED
B02-P85-R06,Y2001-2010,FAMILY_HOUSE,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,9;10;11;12,4,99.2,233.8,277.76,631.26,116.3,161.1,120.9,220.15,124.88,328.32,12,18,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_RESOLVED_SYNTHETIC_PROXY,PARTIAL_REFERENCE_RETROFIT_PHYSICAL_INPUT_SURFACE,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED
B02-P85-R07,Y_GE2011,FAMILY_HOUSE,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,11;12,2,108.2,233.8,292.14,631.26,134.7,161.1,147.84,220.15,135,328.32,12,18,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_RESOLVED_SYNTHETIC_PROXY,PARTIAL_REFERENCE_RETROFIT_PHYSICAL_INPUT_SURFACE,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED
B02-P85-R08,Y_LT1919,MULTI_DWELLING,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,13;17,2,71.9333333333,87.35,222.993333333,270.785,19.784242424,37.844444444,21.687272727,48.96,51.572727273,109.12,0.545454545,2.666666667,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_RESOLVED_SYNTHETIC_PROXY,PARTIAL_REFERENCE_RETROFIT_PHYSICAL_INPUT_SURFACE,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED
B02-P85-R09,Y1919-1945,MULTI_DWELLING,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,13;14;17;18;19,5,54.8388888889,87.35,145.323055556,270.785,13.096666667,37.844444444,15.3,48.96,39.970833333,109.12,0.545454545,4.5,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_RESOLVED_SYNTHETIC_PROXY,PARTIAL_REFERENCE_RETROFIT_PHYSICAL_INPUT_SURFACE,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED
B02-P85-R10,Y1946-1960,MULTI_DWELLING,REFERENCE_ENVELOPE_RETROFIT_PLUS_AWHP,14;18;19;20,4,54.8388888889,77.7333333333,145.323055556,217.653333333,9.916611842,35.094444444,9.926315789,42.75,34.812631579,94.92,0.881578947,4.5,0.24,0.17,0.17,0.26,1.15,Q,PARTIAL_RESOLVED_SYNTHETIC_PROXY,PARTIAL_REFERENCE_RETROFIT_PHYSICAL_INPUT_SURFACE,DER/SCN_PROXY,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED;ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;DEFENSIBLE_POST_RETROFIT_VENTILATION_INFERENCE_REQUIRED;DEFENSIBLE_THERMAL_BRIDGE_CORRECTION_INFERENCE_REQUIRED;DEFENSIBLE_LOCATION_TO_DESIGN_OUTDOOR_TEMPERATURE_MODEL_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED
