anchor_id,city_name,design_outdoor_temperature_c,zone_class,evidence_status,source_ids,allowed_use,forbidden_use,notes
B02-P86-A01,Békéscsaba,-12,CURRENT_STANDARD_ZONE_MINUS12,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation of the current MSZ 24140:2026 F1 map places Békéscsaba in the -12 C zone."
B02-P86-A02,Debrecen,-12,CURRENT_STANDARD_ZONE_MINUS12,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation of the current MSZ 24140:2026 F1 map places Debrecen in the -12 C zone."
B02-P86-A03,Nyíregyháza,-12,CURRENT_STANDARD_ZONE_MINUS12,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation of the current MSZ 24140:2026 F1 map places Nyíregyháza in the -12 C zone."
B02-P86-A04,Sopron,-12,CURRENT_STANDARD_ZONE_MINUS12,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation reports a small -12 C area around Sopron."
B02-P86-A05,Budapest,-11,CURRENT_STANDARD_ZONE_MINUS11,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Budapest and its agglomeration in the -11 C zone."
B02-P86-A06,Eger,-11,CURRENT_STANDARD_ZONE_MINUS11,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Eger in the -11 C zone."
B02-P86-A07,Győr,-11,CURRENT_STANDARD_ZONE_MINUS11,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Győr in the -11 C zone; a separate small -10 C area is reported north of Győr."
B02-P86-A08,Kecskemét,-11,CURRENT_STANDARD_ZONE_MINUS11,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Kecskemét in the -11 C zone."
B02-P86-A09,Miskolc,-11,CURRENT_STANDARD_ZONE_MINUS11,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Miskolc in the -11 C zone."
B02-P86-A10,Salgótarján,-11,CURRENT_STANDARD_ZONE_MINUS11,DER,SRC-B02-MSZ-24140-2026;SRC-B02-BIMLINE-MSZ24140-2026,CURRENT_STANDARD_PUBLIC_MAP_CONTROL_POINT,HOUSEHOLD_POINT_AUTHORITY;COUNTY_WIDE_ASSIGNMENT,"Public secondary interpretation places Salgótarján in the -11 C zone."
