surface_id,wbl_period_code,building_group,heated_volume_lower_m3_per_dwelling,heated_volume_upper_m3_per_dwelling,required_air_h_lower_w_per_k,required_air_h_upper_w_per_k,full_eta_recoverable_h_lower_w_per_k,full_eta_recoverable_h_upper_w_per_k,infiltration_h_upper_w_per_k,status,evidence_status,notes
B02-P88-V01,Y_LT1919,FAMILY_HOUSE,185.235,301.28,32.416125,52.724,32.416125,52.724,105.448,MATERIALIZED_HRV_RESPONSE_COEFFICIENT,POL/DER,"Required-air term is recoverable in proportion to explicit eta; infiltration is separate and receives no recovery credit."
B02-P88-V02,Y1919-1945,FAMILY_HOUSE,185.235,301.28,32.416125,52.724,32.416125,52.724,105.448,MATERIALIZED_HRV_RESPONSE_COEFFICIENT,POL/DER,"Required-air term is recoverable in proportion to explicit eta; infiltration is separate and receives no recovery credit."
B02-P88-V03,Y1946-1960,FAMILY_HOUSE,236.6,420.28,41.405,73.549,41.405,73.549,147.098,MATERIALIZED_HRV_RESPONSE_COEFFICIENT,POL/DER,"Required-air term is recoverable in proportion to explicit eta; infiltration is separate and receives no recovery credit."
B02-P88-V04,Y1961-1980,FAMILY_HOUSE,236.6,505.4,41.405,88.445,41.405,88.445,176.89,MATERIALIZED_HRV_RESPONSE_COEFFICIENT,POL/DER,"Required-air term is recoverable in proportion to explicit eta; infiltration is separate and receives no recovery credit."
B02-P88-V05,Y1981-2000,FAMILY_HOUSE,269.92,560.28,47.236,98.049,47.236,98.049,196.098,MATERIALIZED_HRV_RESPONSE_COEFFICIENT,POL/DER,"Required-air term is recoverable in proportion to explicit eta; infiltration is separate and receives no recovery credit."
B02-P88-V06,Y2001-2010,FAMILY_HOUSE,277.76,631.26,48.608,110.4705,48.608,110.4705,220.941,MATERIALIZED_HRV_RESPONSE_COEFFICIENT,POL/DER,"Required-air term is recoverable in proportion to explicit eta; infiltration is separate and receives no recovery credit."
B02-P88-V07,Y_GE2011,FAMILY_HOUSE,292.14,631.26,51.1245,110.4705,51.1245,110.4705,220.941,MATERIALIZED_HRV_RESPONSE_COEFFICIENT,POL/DER,"Required-air term is recoverable in proportion to explicit eta; infiltration is separate and receives no recovery credit."
B02-P88-V08,Y_LT1919,MULTI_DWELLING,222.993333333,270.785,39.023833333,47.387375,39.023833333,47.387375,94.77475,MATERIALIZED_HRV_RESPONSE_COEFFICIENT,POL/DER,"Required-air term is recoverable in proportion to explicit eta; infiltration is separate and receives no recovery credit."
B02-P88-V09,Y1919-1945,MULTI_DWELLING,145.323055556,270.785,25.431534722,47.387375,25.431534722,47.387375,94.77475,MATERIALIZED_HRV_RESPONSE_COEFFICIENT,POL/DER,"Required-air term is recoverable in proportion to explicit eta; infiltration is separate and receives no recovery credit."
B02-P88-V10,Y1946-1960,MULTI_DWELLING,145.323055556,217.653333333,25.431534722,38.089333333,25.431534722,38.089333333,76.178666667,MATERIALIZED_HRV_RESPONSE_COEFFICIENT,POL/DER,"Required-air term is recoverable in proportion to explicit eta; infiltration is separate and receives no recovery credit."
B02-P88-V11,Y1961-1980,MULTI_DWELLING,145.323055556,217.653333333,25.431534722,38.089333333,25.431534722,38.089333333,76.178666667,MATERIALIZED_HRV_RESPONSE_COEFFICIENT,POL/DER,"Required-air term is recoverable in proportion to explicit eta; infiltration is separate and receives no recovery credit."
B02-P88-V12,Y1981-2000,MULTI_DWELLING,155.138064516,217.653333333,27.14916129,38.089333333,27.14916129,38.089333333,76.178666667,MATERIALIZED_HRV_RESPONSE_COEFFICIENT,POL/DER,"Required-air term is recoverable in proportion to explicit eta; infiltration is separate and receives no recovery credit."
B02-P88-V13,Y2001-2010,MULTI_DWELLING,163.272857143,235.395,28.57275,41.194125,28.57275,41.194125,82.38825,MATERIALIZED_HRV_RESPONSE_COEFFICIENT,POL/DER,"Required-air term is recoverable in proportion to explicit eta; infiltration is separate and receives no recovery credit."
B02-P88-V14,Y_GE2011,MULTI_DWELLING,163.272857143,235.395,28.57275,41.194125,28.57275,41.194125,82.38825,MATERIALIZED_HRV_RESPONSE_COEFFICIENT,POL/DER,"Required-air term is recoverable in proportion to explicit eta; infiltration is separate and receives no recovery credit."
