surface_id,wbl_period_code,building_group,heated_volume_lower_m3_per_dwelling,heated_volume_upper_m3_per_dwelling,n_filt_target_lower_h,n_filt_target_upper_h,h_vent_target_lower_w_per_k,h_vent_target_upper_w_per_k,q_vent_target_lower_kw,q_vent_target_upper_kw,status,evidence_status,notes
B02-P90-T01,Y_LT1919,FAMILY_HOUSE,185.235,301.28,0.03,0.06,34.3610925,59.05088,1.030832775,1.88962816,QUALIFIED_REFERENCE_PROGRAMME_AIRTIGHTNESS_TARGET,POL/DER/SCN,"P90 explicitly adopts the P87 current-method good-airtightness sensitivity as the prospective reference-programme target. It is not an observed or guaranteed post-retrofit state; realized claims require project/measurement evidence."
B02-P90-T02,Y1919-1945,FAMILY_HOUSE,185.235,301.28,0.03,0.06,34.3610925,59.05088,1.030832775,1.88962816,QUALIFIED_REFERENCE_PROGRAMME_AIRTIGHTNESS_TARGET,POL/DER/SCN,"P90 explicitly adopts the P87 current-method good-airtightness sensitivity as the prospective reference-programme target. It is not an observed or guaranteed post-retrofit state; realized claims require project/measurement evidence."
B02-P90-T03,Y1946-1960,FAMILY_HOUSE,236.6,420.28,0.03,0.06,43.8893,82.37488,1.316679,2.63599616,QUALIFIED_REFERENCE_PROGRAMME_AIRTIGHTNESS_TARGET,POL/DER/SCN,"P90 explicitly adopts the P87 current-method good-airtightness sensitivity as the prospective reference-programme target. It is not an observed or guaranteed post-retrofit state; realized claims require project/measurement evidence."
B02-P90-T04,Y1961-1980,FAMILY_HOUSE,236.6,505.4,0.03,0.06,43.8893,99.0584,1.316679,3.1698688,QUALIFIED_REFERENCE_PROGRAMME_AIRTIGHTNESS_TARGET,POL/DER/SCN,"P90 explicitly adopts the P87 current-method good-airtightness sensitivity as the prospective reference-programme target. It is not an observed or guaranteed post-retrofit state; realized claims require project/measurement evidence."
B02-P90-T05,Y1981-2000,FAMILY_HOUSE,269.92,560.28,0.03,0.06,50.07016,109.81488,1.5021048,3.51407616,QUALIFIED_REFERENCE_PROGRAMME_AIRTIGHTNESS_TARGET,POL/DER/SCN,"P90 explicitly adopts the P87 current-method good-airtightness sensitivity as the prospective reference-programme target. It is not an observed or guaranteed post-retrofit state; realized claims require project/measurement evidence."
B02-P90-T06,Y2001-2010,FAMILY_HOUSE,277.76,631.26,0.03,0.06,51.52448,123.72696,1.5457344,3.95926272,QUALIFIED_REFERENCE_PROGRAMME_AIRTIGHTNESS_TARGET,POL/DER/SCN,"P90 explicitly adopts the P87 current-method good-airtightness sensitivity as the prospective reference-programme target. It is not an observed or guaranteed post-retrofit state; realized claims require project/measurement evidence."
B02-P90-T07,Y_GE2011,FAMILY_HOUSE,292.14,631.26,0.03,0.06,54.19197,123.72696,1.6257591,3.95926272,QUALIFIED_REFERENCE_PROGRAMME_AIRTIGHTNESS_TARGET,POL/DER/SCN,"P90 explicitly adopts the P87 current-method good-airtightness sensitivity as the prospective reference-programme target. It is not an observed or guaranteed post-retrofit state; realized claims require project/measurement evidence."
B02-P90-T08,Y_LT1919,MULTI_DWELLING,222.993333333,270.785,0.03,0.06,41.365263333,53.07386,1.2409579,1.69836352,QUALIFIED_REFERENCE_PROGRAMME_AIRTIGHTNESS_TARGET,POL/DER/SCN,"P90 explicitly adopts the P87 current-method good-airtightness sensitivity as the prospective reference-programme target. It is not an observed or guaranteed post-retrofit state; realized claims require project/measurement evidence."
B02-P90-T09,Y1919-1945,MULTI_DWELLING,145.323055556,270.785,0.03,0.06,26.957426806,53.07386,0.808722804,1.69836352,QUALIFIED_REFERENCE_PROGRAMME_AIRTIGHTNESS_TARGET,POL/DER/SCN,"P90 explicitly adopts the P87 current-method good-airtightness sensitivity as the prospective reference-programme target. It is not an observed or guaranteed post-retrofit state; realized claims require project/measurement evidence."
B02-P90-T10,Y1946-1960,MULTI_DWELLING,145.323055556,217.653333333,0.03,0.06,26.957426806,42.660053333,0.808722804,1.365121707,QUALIFIED_REFERENCE_PROGRAMME_AIRTIGHTNESS_TARGET,POL/DER/SCN,"P90 explicitly adopts the P87 current-method good-airtightness sensitivity as the prospective reference-programme target. It is not an observed or guaranteed post-retrofit state; realized claims require project/measurement evidence."
