surface_id,wbl_period_code,building_group,external_wall_zeta_lower,external_wall_zeta_upper,external_wall_u_max_w_m2k,external_wall_corrected_u_upper_w_m2k,external_wall_delta_u_upper_w_m2k,flat_roof_zeta_lower,flat_roof_zeta_upper,flat_roof_u_max_w_m2k,flat_roof_corrected_u_upper_w_m2k,flat_roof_delta_u_upper_w_m2k,attic_floor_zeta,attic_floor_u_max_w_m2k,attic_floor_corrected_u_upper_w_m2k,attic_floor_delta_u_upper_w_m2k,basement_ceiling_zeta_lower,basement_ceiling_zeta_upper,basement_ceiling_u_max_w_m2k,basement_ceiling_corrected_u_upper_w_m2k,basement_ceiling_delta_u_upper_w_m2k,pitched_roof_zeta_lower,pitched_roof_zeta_upper,pitched_roof_u_status,status,evidence_status,notes
B02-P91-T01,Y_LT1919,FAMILY_HOUSE,0.15,0.40,0.24,0.336000,0.096000,0.10,0.20,0.17,0.204000,0.034000,0.10,0.17,0.187000,0.017000,0.10,0.20,0.26,0.312000,0.052000,0.10,0.20,Q,QUALIFIED_SIMPLIFIED_ZETA_CORRECTION_SURFACE,POL/DER/SCN,"Current Hungarian simplified thermal-bridge method: U_R=U*(1+zeta). P91 uses a non-internal-insulation reference-programme route; detailed psi/chi remains mandatory for internal insulation or realized project claims requiring detailed evidence. Window U receives no additional generic zeta."
B02-P91-T02,Y1919-1945,FAMILY_HOUSE,0.15,0.40,0.24,0.336000,0.096000,0.10,0.20,0.17,0.204000,0.034000,0.10,0.17,0.187000,0.017000,0.10,0.20,0.26,0.312000,0.052000,0.10,0.20,Q,QUALIFIED_SIMPLIFIED_ZETA_CORRECTION_SURFACE,POL/DER/SCN,"Current Hungarian simplified thermal-bridge method: U_R=U*(1+zeta). P91 uses a non-internal-insulation reference-programme route; detailed psi/chi remains mandatory for internal insulation or realized project claims requiring detailed evidence. Window U receives no additional generic zeta."
B02-P91-T03,Y1946-1960,FAMILY_HOUSE,0.15,0.40,0.24,0.336000,0.096000,0.10,0.20,0.17,0.204000,0.034000,0.10,0.17,0.187000,0.017000,0.10,0.20,0.26,0.312000,0.052000,0.10,0.20,Q,QUALIFIED_SIMPLIFIED_ZETA_CORRECTION_SURFACE,POL/DER/SCN,"Current Hungarian simplified thermal-bridge method: U_R=U*(1+zeta). P91 uses a non-internal-insulation reference-programme route; detailed psi/chi remains mandatory for internal insulation or realized project claims requiring detailed evidence. Window U receives no additional generic zeta."
B02-P91-T04,Y1961-1980,FAMILY_HOUSE,0.15,0.40,0.24,0.336000,0.096000,0.10,0.20,0.17,0.204000,0.034000,0.10,0.17,0.187000,0.017000,0.10,0.20,0.26,0.312000,0.052000,0.10,0.20,Q,QUALIFIED_SIMPLIFIED_ZETA_CORRECTION_SURFACE,POL/DER/SCN,"Current Hungarian simplified thermal-bridge method: U_R=U*(1+zeta). P91 uses a non-internal-insulation reference-programme route; detailed psi/chi remains mandatory for internal insulation or realized project claims requiring detailed evidence. Window U receives no additional generic zeta."
B02-P91-T05,Y1981-2000,FAMILY_HOUSE,0.15,0.40,0.24,0.336000,0.096000,0.10,0.20,0.17,0.204000,0.034000,0.10,0.17,0.187000,0.017000,0.10,0.20,0.26,0.312000,0.052000,0.10,0.20,Q,QUALIFIED_SIMPLIFIED_ZETA_CORRECTION_SURFACE,POL/DER/SCN,"Current Hungarian simplified thermal-bridge method: U_R=U*(1+zeta). P91 uses a non-internal-insulation reference-programme route; detailed psi/chi remains mandatory for internal insulation or realized project claims requiring detailed evidence. Window U receives no additional generic zeta."
B02-P91-T06,Y2001-2010,FAMILY_HOUSE,0.15,0.40,0.24,0.336000,0.096000,0.10,0.20,0.17,0.204000,0.034000,0.10,0.17,0.187000,0.017000,0.10,0.20,0.26,0.312000,0.052000,0.10,0.20,Q,QUALIFIED_SIMPLIFIED_ZETA_CORRECTION_SURFACE,POL/DER/SCN,"Current Hungarian simplified thermal-bridge method: U_R=U*(1+zeta). P91 uses a non-internal-insulation reference-programme route; detailed psi/chi remains mandatory for internal insulation or realized project claims requiring detailed evidence. Window U receives no additional generic zeta."
B02-P91-T07,Y_GE2011,FAMILY_HOUSE,0.15,0.40,0.24,0.336000,0.096000,0.10,0.20,0.17,0.204000,0.034000,0.10,0.17,0.187000,0.017000,0.10,0.20,0.26,0.312000,0.052000,0.10,0.20,Q,QUALIFIED_SIMPLIFIED_ZETA_CORRECTION_SURFACE,POL/DER/SCN,"Current Hungarian simplified thermal-bridge method: U_R=U*(1+zeta). P91 uses a non-internal-insulation reference-programme route; detailed psi/chi remains mandatory for internal insulation or realized project claims requiring detailed evidence. Window U receives no additional generic zeta."
B02-P91-T08,Y_LT1919,MULTI_DWELLING,0.15,0.40,0.24,0.336000,0.096000,0.10,0.20,0.17,0.204000,0.034000,0.10,0.17,0.187000,0.017000,0.10,0.20,0.26,0.312000,0.052000,0.10,0.20,Q,QUALIFIED_SIMPLIFIED_ZETA_CORRECTION_SURFACE,POL/DER/SCN,"Current Hungarian simplified thermal-bridge method: U_R=U*(1+zeta). P91 uses a non-internal-insulation reference-programme route; detailed psi/chi remains mandatory for internal insulation or realized project claims requiring detailed evidence. Window U receives no additional generic zeta."
B02-P91-T09,Y1919-1945,MULTI_DWELLING,0.15,0.40,0.24,0.336000,0.096000,0.10,0.20,0.17,0.204000,0.034000,0.10,0.17,0.187000,0.017000,0.10,0.20,0.26,0.312000,0.052000,0.10,0.20,Q,QUALIFIED_SIMPLIFIED_ZETA_CORRECTION_SURFACE,POL/DER/SCN,"Current Hungarian simplified thermal-bridge method: U_R=U*(1+zeta). P91 uses a non-internal-insulation reference-programme route; detailed psi/chi remains mandatory for internal insulation or realized project claims requiring detailed evidence. Window U receives no additional generic zeta."
B02-P91-T10,Y1946-1960,MULTI_DWELLING,0.15,0.40,0.24,0.336000,0.096000,0.10,0.20,0.17,0.204000,0.034000,0.10,0.17,0.187000,0.017000,0.10,0.20,0.26,0.312000,0.052000,0.10,0.20,Q,QUALIFIED_SIMPLIFIED_ZETA_CORRECTION_SURFACE,POL/DER/SCN,"Current Hungarian simplified thermal-bridge method: U_R=U*(1+zeta). P91 uses a non-internal-insulation reference-programme route; detailed psi/chi remains mandatory for internal insulation or realized project claims requiring detailed evidence. Window U receives no additional generic zeta."
B02-P91-T11,Y1961-1980,MULTI_DWELLING,0.15,0.40,0.24,0.336000,0.096000,0.10,0.20,0.17,0.204000,0.034000,0.10,0.17,0.187000,0.017000,0.10,0.20,0.26,0.312000,0.052000,0.10,0.20,Q,QUALIFIED_SIMPLIFIED_ZETA_CORRECTION_SURFACE,POL/DER/SCN,"Current Hungarian simplified thermal-bridge method: U_R=U*(1+zeta). P91 uses a non-internal-insulation reference-programme route; detailed psi/chi remains mandatory for internal insulation or realized project claims requiring detailed evidence. Window U receives no additional generic zeta."
B02-P91-T12,Y1981-2000,MULTI_DWELLING,0.15,0.40,0.24,0.336000,0.096000,0.10,0.20,0.17,0.204000,0.034000,0.10,0.17,0.187000,0.017000,0.10,0.20,0.26,0.312000,0.052000,0.10,0.20,Q,QUALIFIED_SIMPLIFIED_ZETA_CORRECTION_SURFACE,POL/DER/SCN,"Current Hungarian simplified thermal-bridge method: U_R=U*(1+zeta). P91 uses a non-internal-insulation reference-programme route; detailed psi/chi remains mandatory for internal insulation or realized project claims requiring detailed evidence. Window U receives no additional generic zeta."
B02-P91-T13,Y2001-2010,MULTI_DWELLING,0.15,0.40,0.24,0.336000,0.096000,0.10,0.20,0.17,0.204000,0.034000,0.10,0.17,0.187000,0.017000,0.10,0.20,0.26,0.312000,0.052000,0.10,0.20,Q,QUALIFIED_SIMPLIFIED_ZETA_CORRECTION_SURFACE,POL/DER/SCN,"Current Hungarian simplified thermal-bridge method: U_R=U*(1+zeta). P91 uses a non-internal-insulation reference-programme route; detailed psi/chi remains mandatory for internal insulation or realized project claims requiring detailed evidence. Window U receives no additional generic zeta."
B02-P91-T14,Y_GE2011,MULTI_DWELLING,0.15,0.40,0.24,0.336000,0.096000,0.10,0.20,0.17,0.204000,0.034000,0.10,0.17,0.187000,0.017000,0.10,0.20,0.26,0.312000,0.052000,0.10,0.20,Q,QUALIFIED_SIMPLIFIED_ZETA_CORRECTION_SURFACE,POL/DER/SCN,"Current Hungarian simplified thermal-bridge method: U_R=U*(1+zeta). P91 uses a non-internal-insulation reference-programme route; detailed psi/chi remains mandatory for internal insulation or realized project claims requiring detailed evidence. Window U receives no additional generic zeta."
