surface_id,wbl_period_code,building_group,candidate_type_ids,gross_facade_proxy_lower_m2_per_dwelling,gross_facade_proxy_upper_m2_per_dwelling,opening_share_lower,opening_share_upper,opening_area_proxy_lower_m2_per_dwelling,opening_area_proxy_upper_m2_per_dwelling,net_wall_area_proxy_lower_m2_per_dwelling,net_wall_area_proxy_upper_m2_per_dwelling,facade_transmission_h_upper_w_per_k_per_dwelling,status,evidence_status,residual
B02-P92-F01,Y_LT1919,FAMILY_HOUSE,1;2;3,111.3,137.2,0.111111111111,0.111111111111,12.366666666667,15.244444444444,98.933333333333,121.955555555556,62.319288888889,QUALIFIED_HUNGARIAN_FACADE_OPENING_SPLIT_PROXY,DER/SCN_PROXY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED
B02-P92-F02,Y1919-1945,FAMILY_HOUSE,1;2;3;4,111.3,137.2,0.111111111111,0.111111111111,12.366666666667,15.244444444444,98.933333333333,121.955555555556,62.319288888889,QUALIFIED_HUNGARIAN_FACADE_OPENING_SPLIT_PROXY,DER/SCN_PROXY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED
B02-P92-F03,Y1946-1960,FAMILY_HOUSE,4;5;6,117.6,288.96,0.111111111111,0.111111111111,13.066666666667,32.106666666667,104.533333333333,256.853333333333,131.252053333333,QUALIFIED_HUNGARIAN_FACADE_OPENING_SPLIT_PROXY,DER/SCN_PROXY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED
B02-P92-F04,Y1961-1980,FAMILY_HOUSE,5;6;7;8,115.92,288.96,0.111111111111,0.111111111111,12.880000000000,32.106666666667,103.040000000000,256.853333333333,131.252053333333,QUALIFIED_HUNGARIAN_FACADE_OPENING_SPLIT_PROXY,DER/SCN_PROXY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED
B02-P92-F05,Y1981-2000,FAMILY_HOUSE,7;8;9;10,115.92,294.56,0.111111111111,0.111111111111,12.880000000000,32.728888888889,103.040000000000,261.831111111111,133.795697777778,QUALIFIED_HUNGARIAN_FACADE_OPENING_SPLIT_PROXY,DER/SCN_PROXY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED
B02-P92-F06,Y2001-2010,FAMILY_HOUSE,9;10;11;12,124.88,328.32,0.111111111111,0.111111111111,13.875555555556,36.480000000000,111.004444444444,291.840000000000,149.130240000000,QUALIFIED_HUNGARIAN_FACADE_OPENING_SPLIT_PROXY,DER/SCN_PROXY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED
B02-P92-F07,Y_GE2011,FAMILY_HOUSE,11;12,135,328.32,0.111111111111,0.111111111111,15.000000000000,36.480000000000,120.000000000000,291.840000000000,149.130240000000,QUALIFIED_HUNGARIAN_FACADE_OPENING_SPLIT_PROXY,DER/SCN_PROXY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED
B02-P92-F08,Y_LT1919,MULTI_DWELLING,13;17,51.572727273,109.12,0.126797385621,0.230719794344,6.539286987557,25.176143958869,39.673878242790,95.283869281046,63.451737172237,QUALIFIED_HUNGARIAN_FACADE_OPENING_SPLIT_PROXY,DER/SCN_PROXY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED
B02-P92-F09,Y1919-1945,MULTI_DWELLING,13;14;17;18;19,39.970833333,109.12,0.126797385621,0.230719794344,5.068197167714,25.176143958869,30.748770886633,95.283869281046,63.451737172237,QUALIFIED_HUNGARIAN_FACADE_OPENING_SPLIT_PROXY,DER/SCN_PROXY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED
B02-P92-F10,Y1946-1960,MULTI_DWELLING,14;18;19;20,34.812631579,94.92,0.126797385621,0.230719794344,4.414150670801,21.899922879177,26.780668380503,82.884392156863,55.194637943445,QUALIFIED_HUNGARIAN_FACADE_OPENING_SPLIT_PROXY,DER/SCN_PROXY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED
B02-P92-F11,Y1961-1980,MULTI_DWELLING,14;18;19;20;21,34.812631579,94.92,0.126797385621,0.230719794344,4.414150670801,21.899922879177,26.780668380503,82.884392156863,55.194637943445,QUALIFIED_HUNGARIAN_FACADE_OPENING_SPLIT_PROXY,DER/SCN_PROXY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED
B02-P92-F12,Y1981-2000,MULTI_DWELLING,14;15;18;21;22,35.897307692,108.36,0.126797385621,0.230719794344,4.551684766175,25.000796915167,27.615088243781,94.620235294118,63.009807917738,QUALIFIED_HUNGARIAN_FACADE_OPENING_SPLIT_PROXY,DER/SCN_PROXY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED
B02-P92-F13,Y2001-2010,MULTI_DWELLING,15;16;22;23,36.312244898,108.36,0.126797385621,0.230719794344,4.604297719093,25.000796915167,27.934291222947,94.620235294118,63.009807917738,QUALIFIED_HUNGARIAN_FACADE_OPENING_SPLIT_PROXY,DER/SCN_PROXY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED
B02-P92-F14,Y_GE2011,MULTI_DWELLING,16;23,36.312244898,100.17,0.126797385621,0.230719794344,4.604297719093,23.111201799486,27.934291222947,87.468705882353,58.247438714653,QUALIFIED_HUNGARIAN_FACADE_OPENING_SPLIT_PROXY,DER/SCN_PROXY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED
