surface_id,wbl_period_code,building_group,candidate_type_ids,heated_floor_area_lower_m2_per_dwelling,heated_floor_area_upper_m2_per_dwelling,top_to_conditioned_floor_ratio_lower,top_to_conditioned_floor_ratio_upper,top_envelope_area_lower_m2_per_dwelling,top_envelope_area_upper_m2_per_dwelling,status,evidence_status,notes
B02-P93-T01,Y_LT1919,FAMILY_HOUSE,1;2;3,69.9,107.6,0.84,0.84,58.716000000000,90.384000000000,QUALIFIED_HUNGARIAN_TOP_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Roof/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Roof is thermal-envelope top area and may represent roof plane or upper ceiling depending attic state. This is a reference-programme proxy, not realized geometry."
B02-P93-T02,Y1919-1945,FAMILY_HOUSE,1;2;3;4,69.9,107.6,0.84,0.84,58.716000000000,90.384000000000,QUALIFIED_HUNGARIAN_TOP_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Roof/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Roof is thermal-envelope top area and may represent roof plane or upper ceiling depending attic state. This is a reference-programme proxy, not realized geometry."
B02-P93-T03,Y1946-1960,FAMILY_HOUSE,4;5;6,84.5,150.1,0.84,0.84,70.980000000000,126.084000000000,QUALIFIED_HUNGARIAN_TOP_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Roof/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Roof is thermal-envelope top area and may represent roof plane or upper ceiling depending attic state. This is a reference-programme proxy, not realized geometry."
B02-P93-T04,Y1961-1980,FAMILY_HOUSE,5;6;7;8,84.5,180.5,0.84,0.84,70.980000000000,151.620000000000,QUALIFIED_HUNGARIAN_TOP_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Roof/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Roof is thermal-envelope top area and may represent roof plane or upper ceiling depending attic state. This is a reference-programme proxy, not realized geometry."
B02-P93-T05,Y1981-2000,FAMILY_HOUSE,7;8;9;10,96.4,200.1,0.84,0.84,80.976000000000,168.084000000000,QUALIFIED_HUNGARIAN_TOP_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Roof/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Roof is thermal-envelope top area and may represent roof plane or upper ceiling depending attic state. This is a reference-programme proxy, not realized geometry."
B02-P93-T06,Y2001-2010,FAMILY_HOUSE,9;10;11;12,99.2,233.8,0.84,0.84,83.328000000000,196.392000000000,QUALIFIED_HUNGARIAN_TOP_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Roof/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Roof is thermal-envelope top area and may represent roof plane or upper ceiling depending attic state. This is a reference-programme proxy, not realized geometry."
B02-P93-T07,Y_GE2011,FAMILY_HOUSE,11;12,108.2,233.8,0.84,0.84,90.888000000000,196.392000000000,QUALIFIED_HUNGARIAN_TOP_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Roof/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Roof is thermal-envelope top area and may represent roof plane or upper ceiling depending attic state. This is a reference-programme proxy, not realized geometry."
B02-P93-T08,Y_LT1919,MULTI_DWELLING,13;17,71.9333333333,87.35,0.20,0.35,14.386666666660,30.572500000000,QUALIFIED_HUNGARIAN_TOP_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Roof/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Roof is thermal-envelope top area and may represent roof plane or upper ceiling depending attic state. This is a reference-programme proxy, not realized geometry."
B02-P93-T09,Y1919-1945,MULTI_DWELLING,13;14;17;18;19,54.8388888889,87.35,0.20,0.35,10.967777777780,30.572500000000,QUALIFIED_HUNGARIAN_TOP_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Roof/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Roof is thermal-envelope top area and may represent roof plane or upper ceiling depending attic state. This is a reference-programme proxy, not realized geometry."
B02-P93-T10,Y1946-1960,MULTI_DWELLING,14;18;19;20,54.8388888889,77.7333333333,0.20,0.35,10.967777777780,27.206666666655,QUALIFIED_HUNGARIAN_TOP_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Roof/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Roof is thermal-envelope top area and may represent roof plane or upper ceiling depending attic state. This is a reference-programme proxy, not realized geometry."
B02-P93-T11,Y1961-1980,MULTI_DWELLING,14;18;19;20;21,54.8388888889,77.7333333333,0.20,0.35,10.967777777780,27.206666666655,QUALIFIED_HUNGARIAN_TOP_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Roof/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Roof is thermal-envelope top area and may represent roof plane or upper ceiling depending attic state. This is a reference-programme proxy, not realized geometry."
B02-P93-T12,Y1981-2000,MULTI_DWELLING,14;15;18;21;22,55.4064516129,77.7333333333,0.20,0.35,11.081290322580,27.206666666655,QUALIFIED_HUNGARIAN_TOP_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Roof/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Roof is thermal-envelope top area and may represent roof plane or upper ceiling depending attic state. This is a reference-programme proxy, not realized geometry."
B02-P93-T13,Y2001-2010,MULTI_DWELLING,15;16;22;23,60.4714285714,87.1833333333,0.20,0.35,12.094285714280,30.514166666655,QUALIFIED_HUNGARIAN_TOP_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Roof/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Roof is thermal-envelope top area and may represent roof plane or upper ceiling depending attic state. This is a reference-programme proxy, not realized geometry."
B02-P93-T14,Y_GE2011,MULTI_DWELLING,16;23,60.4714285714,87.1833333333,0.20,0.35,12.094285714280,30.514166666655,QUALIFIED_HUNGARIAN_TOP_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Roof/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Roof is thermal-envelope top area and may represent roof plane or upper ceiling depending attic state. This is a reference-programme proxy, not realized geometry."
