surface_id,wbl_period_code,building_group,candidate_type_ids,heated_floor_area_lower_m2_per_dwelling,heated_floor_area_upper_m2_per_dwelling,bottom_to_conditioned_floor_ratio_lower,bottom_to_conditioned_floor_ratio_upper,bottom_envelope_area_lower_m2_per_dwelling,bottom_envelope_area_upper_m2_per_dwelling,status,evidence_status,notes
B02-P94-B01,Y_LT1919,FAMILY_HOUSE,1;2;3,69.9,107.6,0.80,0.80,55.920000000000,86.080000000000,QUALIFIED_HUNGARIAN_BOTTOM_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Floor/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Floor is aggregate bottom thermal-envelope area; no ground-floor versus basement-ceiling boundary type is inferred."
B02-P94-B02,Y1919-1945,FAMILY_HOUSE,1;2;3;4,69.9,107.6,0.80,0.80,55.920000000000,86.080000000000,QUALIFIED_HUNGARIAN_BOTTOM_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Floor/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Floor is aggregate bottom thermal-envelope area; no ground-floor versus basement-ceiling boundary type is inferred."
B02-P94-B03,Y1946-1960,FAMILY_HOUSE,4;5;6,84.5,150.1,0.80,0.80,67.600000000000,120.080000000000,QUALIFIED_HUNGARIAN_BOTTOM_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Floor/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Floor is aggregate bottom thermal-envelope area; no ground-floor versus basement-ceiling boundary type is inferred."
B02-P94-B04,Y1961-1980,FAMILY_HOUSE,5;6;7;8,84.5,180.5,0.80,0.80,67.600000000000,144.400000000000,QUALIFIED_HUNGARIAN_BOTTOM_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Floor/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Floor is aggregate bottom thermal-envelope area; no ground-floor versus basement-ceiling boundary type is inferred."
B02-P94-B05,Y1981-2000,FAMILY_HOUSE,7;8;9;10,96.4,200.1,0.80,0.80,77.120000000000,160.080000000000,QUALIFIED_HUNGARIAN_BOTTOM_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Floor/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Floor is aggregate bottom thermal-envelope area; no ground-floor versus basement-ceiling boundary type is inferred."
B02-P94-B06,Y2001-2010,FAMILY_HOUSE,9;10;11;12,99.2,233.8,0.80,0.80,79.360000000000,187.040000000000,QUALIFIED_HUNGARIAN_BOTTOM_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Floor/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Floor is aggregate bottom thermal-envelope area; no ground-floor versus basement-ceiling boundary type is inferred."
B02-P94-B07,Y_GE2011,FAMILY_HOUSE,11;12,108.2,233.8,0.80,0.80,86.560000000000,187.040000000000,QUALIFIED_HUNGARIAN_BOTTOM_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Floor/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Floor is aggregate bottom thermal-envelope area; no ground-floor versus basement-ceiling boundary type is inferred."
B02-P94-B08,Y_LT1919,MULTI_DWELLING,13;17,71.9333333333,87.35,0.20,0.33,14.386666666660,28.825500000000,QUALIFIED_HUNGARIAN_BOTTOM_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Floor/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Floor is aggregate bottom thermal-envelope area; no ground-floor versus basement-ceiling boundary type is inferred."
B02-P94-B09,Y1919-1945,MULTI_DWELLING,13;14;17;18;19,54.8388888889,87.35,0.20,0.33,10.967777777780,28.825500000000,QUALIFIED_HUNGARIAN_BOTTOM_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Floor/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Floor is aggregate bottom thermal-envelope area; no ground-floor versus basement-ceiling boundary type is inferred."
B02-P94-B10,Y1946-1960,MULTI_DWELLING,14;18;19;20,54.8388888889,77.7333333333,0.20,0.33,10.967777777780,25.651999999989,QUALIFIED_HUNGARIAN_BOTTOM_ENVELOPE_AREA_PROXY,DER/SCN_PROXY,"HU TABULA/EPISCOPE class-average A_Floor/A_C_Ref calibration applied to canonical heated-floor-area bounds. A_Floor is aggregate bottom thermal-envelope area; no ground-floor versus basement-ceiling boundary type is inferred."
