type_id,building_group,dwelling_count_model,heated_floor_area_m2,total_floor_area_m2,bbox_facade_proxy_m2_per_dwelling,tabula_heated_ref_lower_m2_per_dwelling,tabula_heated_ref_upper_m2_per_dwelling,tabula_area_proxy_lower_m2_per_dwelling,tabula_area_proxy_upper_m2_per_dwelling,bbox_overlap_heated_ref_neighbour_set,bbox_overlap_area_proxy_neighbour_set,status,evidence_status,notes
1,FAMILY_HOUSE,1,69.9,101.7,111.3,53.93,98.93,53.93,121.19,false,true,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
2,FAMILY_HOUSE,1,78.2,120.7,120.31,59.74,104.74,59.74,134.49,false,true,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
3,FAMILY_HOUSE,1,107.6,187.1,137.2,80.32,125.32,80.32,180.97,false,true,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
4,FAMILY_HOUSE,1,99.2,146.9,125.44,74.44,119.44,74.44,152.83,false,true,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
5,FAMILY_HOUSE,1,84.5,125.8,117.6,64.15,109.15,64.15,138.06,false,true,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
6,FAMILY_HOUSE,1,150.1,224.1,288.96,110.07,155.07,110.07,206.87,false,false,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
7,FAMILY_HOUSE,1,96.4,145.9,115.92,72.48,117.48,72.48,152.13,true,true,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
8,FAMILY_HOUSE,1,180.5,238.9,256.48,131.35,176.35,131.35,217.23,false,false,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
9,FAMILY_HOUSE,1,99.2,146.8,124.88,74.44,119.44,74.44,152.76,false,true,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
10,FAMILY_HOUSE,1,200.1,232.6,294.56,145.07,190.07,145.07,212.82,false,false,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
11,FAMILY_HOUSE,1,108.2,161.1,135,80.74,125.74,80.74,162.77,false,true,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
12,FAMILY_HOUSE,1,233.8,269.4,328.32,168.66,213.66,168.66,238.58,false,false,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
13,MULTI_DWELLING,6,524.1,681.2,109.12,61.978333333333,69.478333333333,61.978333333333,87.806666666667,false,false,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
14,MULTI_DWELLING,6,466.4,631.7,94.92,55.246666666667,62.746666666667,55.246666666667,82.031666666667,false,false,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
15,MULTI_DWELLING,6,459.9,611.2,108.36,54.488333333333,61.988333333333,54.488333333333,79.64,false,false,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
16,MULTI_DWELLING,6,523.1,634.5,100.17,61.861666666667,69.361666666667,61.861666666667,82.358333333333,false,false,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
17,MULTI_DWELLING,33,2373.8,3264.4,51.572727272727,50.504848484848,51.868484848485,50.504848484848,70.76,true,true,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Independent P95 audit of P85 bbox facade against TABULA simplified facade estimator. Unknown neighbour count preserved as 0/1/2 set; A_C_Ref semantic handoff preserved as heated-to-total floor-area proxy interval. Audit result does not promote bbox to canonical facade geometry."
