surface_id,wbl_period_code,building_group,candidate_type_ids,gross_facade_lower_m2_per_dwelling,gross_facade_upper_m2_per_dwelling,opening_share_lower,opening_share_upper,opening_area_lower_m2_per_dwelling,opening_area_upper_m2_per_dwelling,net_wall_area_lower_m2_per_dwelling,net_wall_area_upper_m2_per_dwelling,facade_transmission_h_upper_w_per_k_per_dwelling,status,evidence_status,notes
B02-P95-F01,Y_LT1919,FAMILY_HOUSE,1;2;3,53.93,180.97,0.111111111111,0.111111111111,5.992222222222,20.107777777778,47.937777777778,160.862222222222,82.200595555556,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Canonical reference-programme facade after P95. TABULA simplified facade estimator set supersedes P85 bbox facade; P92 Hungarian opening-share calibration is applied to the new gross-facade interval."
B02-P95-F02,Y1919-1945,FAMILY_HOUSE,1;2;3;4,53.93,180.97,0.111111111111,0.111111111111,5.992222222222,20.107777777778,47.937777777778,160.862222222222,82.200595555556,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Canonical reference-programme facade after P95. TABULA simplified facade estimator set supersedes P85 bbox facade; P92 Hungarian opening-share calibration is applied to the new gross-facade interval."
B02-P95-F03,Y1946-1960,FAMILY_HOUSE,4;5;6,64.15,206.87,0.111111111111,0.111111111111,7.127777777778,22.985555555556,57.022222222222,183.884444444444,93.964951111111,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Canonical reference-programme facade after P95. TABULA simplified facade estimator set supersedes P85 bbox facade; P92 Hungarian opening-share calibration is applied to the new gross-facade interval."
B02-P95-F04,Y1961-1980,FAMILY_HOUSE,5;6;7;8,64.15,217.23,0.111111111111,0.111111111111,7.127777777778,24.136666666667,57.022222222222,193.093333333333,98.670693333333,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Canonical reference-programme facade after P95. TABULA simplified facade estimator set supersedes P85 bbox facade; P92 Hungarian opening-share calibration is applied to the new gross-facade interval."
B02-P95-F05,Y1981-2000,FAMILY_HOUSE,7;8;9;10,72.48,217.23,0.111111111111,0.111111111111,8.053333333333,24.136666666667,64.426666666667,193.093333333333,98.670693333333,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Canonical reference-programme facade after P95. TABULA simplified facade estimator set supersedes P85 bbox facade; P92 Hungarian opening-share calibration is applied to the new gross-facade interval."
B02-P95-F06,Y2001-2010,FAMILY_HOUSE,9;10;11;12,74.44,238.58,0.111111111111,0.111111111111,8.271111111111,26.508888888889,66.168888888889,212.071111111111,108.368337777778,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Canonical reference-programme facade after P95. TABULA simplified facade estimator set supersedes P85 bbox facade; P92 Hungarian opening-share calibration is applied to the new gross-facade interval."
B02-P95-F07,Y_GE2011,FAMILY_HOUSE,11;12,80.74,238.58,0.111111111111,0.111111111111,8.971111111111,26.508888888889,71.768888888889,212.071111111111,108.368337777778,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Canonical reference-programme facade after P95. TABULA simplified facade estimator set supersedes P85 bbox facade; P92 Hungarian opening-share calibration is applied to the new gross-facade interval."
B02-P95-F08,Y_LT1919,MULTI_DWELLING,13;17,50.504848484848,87.806666666667,0.126797385621,0.230719794344,6.403882749059,20.258736075407,38.852380229025,76.673010893246,51.058335184233,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Canonical reference-programme facade after P95. TABULA simplified facade estimator set supersedes P85 bbox facade; P92 Hungarian opening-share calibration is applied to the new gross-facade interval."
B02-P95-F09,Y1919-1945,MULTI_DWELLING,13;14;17;18;19,38.526111111111,87.806666666667,0.126797385621,0.230719794344,4.88501016703,20.258736075407,29.637374678663,76.673010893246,51.058335184233,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Canonical reference-programme facade after P95. TABULA simplified facade estimator set supersedes P85 bbox facade; P92 Hungarian opening-share calibration is applied to the new gross-facade interval."
B02-P95-F10,Y1946-1960,MULTI_DWELLING,14;18;19;20,38.526111111111,82.031666666667,0.126797385621,0.230719794344,4.88501016703,18.926329263068,29.637374678663,71.630265795207,47.700254335904,QUALIFIED_TABULA_FACADE_ESTIMATOR_PROXY,DER/SCN_PROXY,"Canonical reference-programme facade after P95. TABULA simplified facade estimator set supersedes P85 bbox facade; P92 Hungarian opening-share calibration is applied to the new gross-facade interval."
