surface_id,wbl_period_code,building_group,candidate_type_ids,top_envelope_area_lower_m2_per_dwelling,top_envelope_area_upper_m2_per_dwelling,pitched_roof_base_u_upper_w_m2k,pitched_roof_zeta_lower,pitched_roof_zeta_upper,pitched_roof_corrected_u_upper_w_m2k,top_envelope_h_upper_w_per_k_per_dwelling,status,evidence_status,notes
B02-P96-T01,Y_LT1919,FAMILY_HOUSE,1;2;3,58.716,90.384,0.17,0.10,0.20,0.204,18.438336,QUALIFIED_REFERENCE_PROGRAMME_PITCHED_ROOF_U,POL/DER/SCN,"Current 9/2023 EKM Annex 1 section 1.1 supplies 0.17 W/m2K for structures enclosing heated attic space; P91 supplies zeta 0.10..0.20. H upper uses P93 top-envelope area upper and corrected U upper 0.204. Regulatory requirement/reference-programme bound only, not realized project performance."
B02-P96-T02,Y1919-1945,FAMILY_HOUSE,1;2;3;4,58.716,90.384,0.17,0.10,0.20,0.204,18.438336,QUALIFIED_REFERENCE_PROGRAMME_PITCHED_ROOF_U,POL/DER/SCN,"Current 9/2023 EKM Annex 1 section 1.1 supplies 0.17 W/m2K for structures enclosing heated attic space; P91 supplies zeta 0.10..0.20. H upper uses P93 top-envelope area upper and corrected U upper 0.204. Regulatory requirement/reference-programme bound only, not realized project performance."
B02-P96-T03,Y1946-1960,FAMILY_HOUSE,4;5;6,70.98,126.084,0.17,0.10,0.20,0.204,25.721136,QUALIFIED_REFERENCE_PROGRAMME_PITCHED_ROOF_U,POL/DER/SCN,"Current 9/2023 EKM Annex 1 section 1.1 supplies 0.17 W/m2K for structures enclosing heated attic space; P91 supplies zeta 0.10..0.20. H upper uses P93 top-envelope area upper and corrected U upper 0.204. Regulatory requirement/reference-programme bound only, not realized project performance."
B02-P96-T04,Y1961-1980,FAMILY_HOUSE,5;6;7;8,70.98,151.62,0.17,0.10,0.20,0.204,30.93048,QUALIFIED_REFERENCE_PROGRAMME_PITCHED_ROOF_U,POL/DER/SCN,"Current 9/2023 EKM Annex 1 section 1.1 supplies 0.17 W/m2K for structures enclosing heated attic space; P91 supplies zeta 0.10..0.20. H upper uses P93 top-envelope area upper and corrected U upper 0.204. Regulatory requirement/reference-programme bound only, not realized project performance."
B02-P96-T05,Y1981-2000,FAMILY_HOUSE,7;8;9;10,80.976,168.084,0.17,0.10,0.20,0.204,34.289136,QUALIFIED_REFERENCE_PROGRAMME_PITCHED_ROOF_U,POL/DER/SCN,"Current 9/2023 EKM Annex 1 section 1.1 supplies 0.17 W/m2K for structures enclosing heated attic space; P91 supplies zeta 0.10..0.20. H upper uses P93 top-envelope area upper and corrected U upper 0.204. Regulatory requirement/reference-programme bound only, not realized project performance."
B02-P96-T06,Y2001-2010,FAMILY_HOUSE,9;10;11;12,83.328,196.392,0.17,0.10,0.20,0.204,40.063968,QUALIFIED_REFERENCE_PROGRAMME_PITCHED_ROOF_U,POL/DER/SCN,"Current 9/2023 EKM Annex 1 section 1.1 supplies 0.17 W/m2K for structures enclosing heated attic space; P91 supplies zeta 0.10..0.20. H upper uses P93 top-envelope area upper and corrected U upper 0.204. Regulatory requirement/reference-programme bound only, not realized project performance."
B02-P96-T07,Y_GE2011,FAMILY_HOUSE,11;12,90.888,196.392,0.17,0.10,0.20,0.204,40.063968,QUALIFIED_REFERENCE_PROGRAMME_PITCHED_ROOF_U,POL/DER/SCN,"Current 9/2023 EKM Annex 1 section 1.1 supplies 0.17 W/m2K for structures enclosing heated attic space; P91 supplies zeta 0.10..0.20. H upper uses P93 top-envelope area upper and corrected U upper 0.204. Regulatory requirement/reference-programme bound only, not realized project performance."
B02-P96-T08,Y_LT1919,MULTI_DWELLING,13;17,14.38666666666,30.5725,0.17,0.10,0.20,0.204,6.23679,QUALIFIED_REFERENCE_PROGRAMME_PITCHED_ROOF_U,POL/DER/SCN,"Current 9/2023 EKM Annex 1 section 1.1 supplies 0.17 W/m2K for structures enclosing heated attic space; P91 supplies zeta 0.10..0.20. H upper uses P93 top-envelope area upper and corrected U upper 0.204. Regulatory requirement/reference-programme bound only, not realized project performance."
B02-P96-T09,Y1919-1945,MULTI_DWELLING,13;14;17;18;19,10.96777777778,30.5725,0.17,0.10,0.20,0.204,6.23679,QUALIFIED_REFERENCE_PROGRAMME_PITCHED_ROOF_U,POL/DER/SCN,"Current 9/2023 EKM Annex 1 section 1.1 supplies 0.17 W/m2K for structures enclosing heated attic space; P91 supplies zeta 0.10..0.20. H upper uses P93 top-envelope area upper and corrected U upper 0.204. Regulatory requirement/reference-programme bound only, not realized project performance."
B02-P96-T10,Y1946-1960,MULTI_DWELLING,14;18;19;20,10.96777777778,27.206666666655,0.17,0.10,0.20,0.204,5.550159999998,QUALIFIED_REFERENCE_PROGRAMME_PITCHED_ROOF_U,POL/DER/SCN,"Current 9/2023 EKM Annex 1 section 1.1 supplies 0.17 W/m2K for structures enclosing heated attic space; P91 supplies zeta 0.10..0.20. H upper uses P93 top-envelope area upper and corrected U upper 0.204. Regulatory requirement/reference-programme bound only, not realized project performance."
B02-P96-T11,Y1961-1980,MULTI_DWELLING,14;18;19;20;21,10.96777777778,27.206666666655,0.17,0.10,0.20,0.204,5.550159999998,QUALIFIED_REFERENCE_PROGRAMME_PITCHED_ROOF_U,POL/DER/SCN,"Current 9/2023 EKM Annex 1 section 1.1 supplies 0.17 W/m2K for structures enclosing heated attic space; P91 supplies zeta 0.10..0.20. H upper uses P93 top-envelope area upper and corrected U upper 0.204. Regulatory requirement/reference-programme bound only, not realized project performance."
B02-P96-T12,Y1981-2000,MULTI_DWELLING,14;15;18;21;22,11.08129032258,27.206666666655,0.17,0.10,0.20,0.204,5.550159999998,QUALIFIED_REFERENCE_PROGRAMME_PITCHED_ROOF_U,POL/DER/SCN,"Current 9/2023 EKM Annex 1 section 1.1 supplies 0.17 W/m2K for structures enclosing heated attic space; P91 supplies zeta 0.10..0.20. H upper uses P93 top-envelope area upper and corrected U upper 0.204. Regulatory requirement/reference-programme bound only, not realized project performance."
B02-P96-T13,Y2001-2010,MULTI_DWELLING,15;16;22;23,12.09428571428,30.514166666655,0.17,0.10,0.20,0.204,6.224889999998,QUALIFIED_REFERENCE_PROGRAMME_PITCHED_ROOF_U,POL/DER/SCN,"Current 9/2023 EKM Annex 1 section 1.1 supplies 0.17 W/m2K for structures enclosing heated attic space; P91 supplies zeta 0.10..0.20. H upper uses P93 top-envelope area upper and corrected U upper 0.204. Regulatory requirement/reference-programme bound only, not realized project performance."
