surface_id,wbl_period_code,building_group,outdoor_zone_set_c,indoor_reference_c,delta_t_lower_k,delta_t_upper_k,location_only_load_spread_ratio,status,evidence_status,notes
B02-P97-T01,Y_LT1919,FAMILY_HOUSE,"-12;-11;-10",20,30,32,1.066666666667,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,POL/DER/SCN,"Set-valued current-standard design-temperature input for national reference-programme propagation. Exact settlement-zone mapping is not inferred from county+settlement-type KSH grain. Project/local authority remains separate."
B02-P97-T02,Y_LT1919,MULTI_DWELLING,"-12;-11;-10",20,30,32,1.066666666667,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,POL/DER/SCN,"Set-valued current-standard design-temperature input for national reference-programme propagation. Exact settlement-zone mapping is not inferred from county+settlement-type KSH grain. Project/local authority remains separate."
B02-P97-T03,Y1919-1945,FAMILY_HOUSE,"-12;-11;-10",20,30,32,1.066666666667,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,POL/DER/SCN,"Set-valued current-standard design-temperature input for national reference-programme propagation. Exact settlement-zone mapping is not inferred from county+settlement-type KSH grain. Project/local authority remains separate."
B02-P97-T04,Y1919-1945,MULTI_DWELLING,"-12;-11;-10",20,30,32,1.066666666667,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,POL/DER/SCN,"Set-valued current-standard design-temperature input for national reference-programme propagation. Exact settlement-zone mapping is not inferred from county+settlement-type KSH grain. Project/local authority remains separate."
B02-P97-T05,Y1946-1960,FAMILY_HOUSE,"-12;-11;-10",20,30,32,1.066666666667,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,POL/DER/SCN,"Set-valued current-standard design-temperature input for national reference-programme propagation. Exact settlement-zone mapping is not inferred from county+settlement-type KSH grain. Project/local authority remains separate."
B02-P97-T06,Y1946-1960,MULTI_DWELLING,"-12;-11;-10",20,30,32,1.066666666667,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,POL/DER/SCN,"Set-valued current-standard design-temperature input for national reference-programme propagation. Exact settlement-zone mapping is not inferred from county+settlement-type KSH grain. Project/local authority remains separate."
B02-P97-T07,Y1961-1980,FAMILY_HOUSE,"-12;-11;-10",20,30,32,1.066666666667,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,POL/DER/SCN,"Set-valued current-standard design-temperature input for national reference-programme propagation. Exact settlement-zone mapping is not inferred from county+settlement-type KSH grain. Project/local authority remains separate."
B02-P97-T08,Y1961-1980,MULTI_DWELLING,"-12;-11;-10",20,30,32,1.066666666667,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,POL/DER/SCN,"Set-valued current-standard design-temperature input for national reference-programme propagation. Exact settlement-zone mapping is not inferred from county+settlement-type KSH grain. Project/local authority remains separate."
B02-P97-T09,Y1981-2000,FAMILY_HOUSE,"-12;-11;-10",20,30,32,1.066666666667,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,POL/DER/SCN,"Set-valued current-standard design-temperature input for national reference-programme propagation. Exact settlement-zone mapping is not inferred from county+settlement-type KSH grain. Project/local authority remains separate."
B02-P97-T10,Y1981-2000,MULTI_DWELLING,"-12;-11;-10",20,30,32,1.066666666667,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,POL/DER/SCN,"Set-valued current-standard design-temperature input for national reference-programme propagation. Exact settlement-zone mapping is not inferred from county+settlement-type KSH grain. Project/local authority remains separate."
B02-P97-T11,Y2001-2010,FAMILY_HOUSE,"-12;-11;-10",20,30,32,1.066666666667,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,POL/DER/SCN,"Set-valued current-standard design-temperature input for national reference-programme propagation. Exact settlement-zone mapping is not inferred from county+settlement-type KSH grain. Project/local authority remains separate."
B02-P97-T12,Y2001-2010,MULTI_DWELLING,"-12;-11;-10",20,30,32,1.066666666667,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,POL/DER/SCN,"Set-valued current-standard design-temperature input for national reference-programme propagation. Exact settlement-zone mapping is not inferred from county+settlement-type KSH grain. Project/local authority remains separate."
B02-P97-T13,Y_GE2011,FAMILY_HOUSE,"-12;-11;-10",20,30,32,1.066666666667,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,POL/DER/SCN,"Set-valued current-standard design-temperature input for national reference-programme propagation. Exact settlement-zone mapping is not inferred from county+settlement-type KSH grain. Project/local authority remains separate."
B02-P97-T14,Y_GE2011,MULTI_DWELLING,"-12;-11;-10",20,30,32,1.066666666667,QUALIFIED_REFERENCE_PROGRAMME_STANDARD_ZONE_ENVELOPE,POL/DER/SCN,"Set-valued current-standard design-temperature input for national reference-programme propagation. Exact settlement-zone mapping is not inferred from county+settlement-type KSH grain. Project/local authority remains separate."
