surface_id,wbl_period_code,building_group,admissible_design_flow_bands,max_reference_programme_design_flow_c,b05_audit_control_points_c,population_weight_status,status,evidence_status,notes
B02-P98-S01,Y_LT1919,FAMILY_HOUSE,"LE_35;C36_40;C41_45;C46_50;C51_55",55,"35;45;55",LATENT_SET_PROPAGATION_NO_POINT_WEIGHTS,QUALIFIED_REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,POL/DER/SCN,"All five design-flow categories remain admissible because P65 does not identify P21/WBL emitter allocation or national design-temperature weights. <=55 C is a prospective reference-programme design ceiling, not an observed stock maximum or equipment limit. Exact building supply remains P65 record/project evidence."
B02-P98-S02,Y_LT1919,MULTI_DWELLING,"LE_35;C36_40;C41_45;C46_50;C51_55",55,"35;45;55",LATENT_SET_PROPAGATION_NO_POINT_WEIGHTS,QUALIFIED_REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,POL/DER/SCN,"All five design-flow categories remain admissible because P65 does not identify P21/WBL emitter allocation or national design-temperature weights. <=55 C is a prospective reference-programme design ceiling, not an observed stock maximum or equipment limit. Exact building supply remains P65 record/project evidence."
B02-P98-S03,Y1919-1945,FAMILY_HOUSE,"LE_35;C36_40;C41_45;C46_50;C51_55",55,"35;45;55",LATENT_SET_PROPAGATION_NO_POINT_WEIGHTS,QUALIFIED_REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,POL/DER/SCN,"All five design-flow categories remain admissible because P65 does not identify P21/WBL emitter allocation or national design-temperature weights. <=55 C is a prospective reference-programme design ceiling, not an observed stock maximum or equipment limit. Exact building supply remains P65 record/project evidence."
B02-P98-S04,Y1919-1945,MULTI_DWELLING,"LE_35;C36_40;C41_45;C46_50;C51_55",55,"35;45;55",LATENT_SET_PROPAGATION_NO_POINT_WEIGHTS,QUALIFIED_REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,POL/DER/SCN,"All five design-flow categories remain admissible because P65 does not identify P21/WBL emitter allocation or national design-temperature weights. <=55 C is a prospective reference-programme design ceiling, not an observed stock maximum or equipment limit. Exact building supply remains P65 record/project evidence."
B02-P98-S05,Y1946-1960,FAMILY_HOUSE,"LE_35;C36_40;C41_45;C46_50;C51_55",55,"35;45;55",LATENT_SET_PROPAGATION_NO_POINT_WEIGHTS,QUALIFIED_REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,POL/DER/SCN,"All five design-flow categories remain admissible because P65 does not identify P21/WBL emitter allocation or national design-temperature weights. <=55 C is a prospective reference-programme design ceiling, not an observed stock maximum or equipment limit. Exact building supply remains P65 record/project evidence."
B02-P98-S06,Y1946-1960,MULTI_DWELLING,"LE_35;C36_40;C41_45;C46_50;C51_55",55,"35;45;55",LATENT_SET_PROPAGATION_NO_POINT_WEIGHTS,QUALIFIED_REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,POL/DER/SCN,"All five design-flow categories remain admissible because P65 does not identify P21/WBL emitter allocation or national design-temperature weights. <=55 C is a prospective reference-programme design ceiling, not an observed stock maximum or equipment limit. Exact building supply remains P65 record/project evidence."
B02-P98-S07,Y1961-1980,FAMILY_HOUSE,"LE_35;C36_40;C41_45;C46_50;C51_55",55,"35;45;55",LATENT_SET_PROPAGATION_NO_POINT_WEIGHTS,QUALIFIED_REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,POL/DER/SCN,"All five design-flow categories remain admissible because P65 does not identify P21/WBL emitter allocation or national design-temperature weights. <=55 C is a prospective reference-programme design ceiling, not an observed stock maximum or equipment limit. Exact building supply remains P65 record/project evidence."
B02-P98-S08,Y1961-1980,MULTI_DWELLING,"LE_35;C36_40;C41_45;C46_50;C51_55",55,"35;45;55",LATENT_SET_PROPAGATION_NO_POINT_WEIGHTS,QUALIFIED_REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,POL/DER/SCN,"All five design-flow categories remain admissible because P65 does not identify P21/WBL emitter allocation or national design-temperature weights. <=55 C is a prospective reference-programme design ceiling, not an observed stock maximum or equipment limit. Exact building supply remains P65 record/project evidence."
B02-P98-S09,Y1981-2000,FAMILY_HOUSE,"LE_35;C36_40;C41_45;C46_50;C51_55",55,"35;45;55",LATENT_SET_PROPAGATION_NO_POINT_WEIGHTS,QUALIFIED_REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,POL/DER/SCN,"All five design-flow categories remain admissible because P65 does not identify P21/WBL emitter allocation or national design-temperature weights. <=55 C is a prospective reference-programme design ceiling, not an observed stock maximum or equipment limit. Exact building supply remains P65 record/project evidence."
B02-P98-S10,Y1981-2000,MULTI_DWELLING,"LE_35;C36_40;C41_45;C46_50;C51_55",55,"35;45;55",LATENT_SET_PROPAGATION_NO_POINT_WEIGHTS,QUALIFIED_REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,POL/DER/SCN,"All five design-flow categories remain admissible because P65 does not identify P21/WBL emitter allocation or national design-temperature weights. <=55 C is a prospective reference-programme design ceiling, not an observed stock maximum or equipment limit. Exact building supply remains P65 record/project evidence."
B02-P98-S11,Y2001-2010,FAMILY_HOUSE,"LE_35;C36_40;C41_45;C46_50;C51_55",55,"35;45;55",LATENT_SET_PROPAGATION_NO_POINT_WEIGHTS,QUALIFIED_REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,POL/DER/SCN,"All five design-flow categories remain admissible because P65 does not identify P21/WBL emitter allocation or national design-temperature weights. <=55 C is a prospective reference-programme design ceiling, not an observed stock maximum or equipment limit. Exact building supply remains P65 record/project evidence."
B02-P98-S12,Y2001-2010,MULTI_DWELLING,"LE_35;C36_40;C41_45;C46_50;C51_55",55,"35;45;55",LATENT_SET_PROPAGATION_NO_POINT_WEIGHTS,QUALIFIED_REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,POL/DER/SCN,"All five design-flow categories remain admissible because P65 does not identify P21/WBL emitter allocation or national design-temperature weights. <=55 C is a prospective reference-programme design ceiling, not an observed stock maximum or equipment limit. Exact building supply remains P65 record/project evidence."
B02-P98-S13,Y_GE2011,FAMILY_HOUSE,"LE_35;C36_40;C41_45;C46_50;C51_55",55,"35;45;55",LATENT_SET_PROPAGATION_NO_POINT_WEIGHTS,QUALIFIED_REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,POL/DER/SCN,"All five design-flow categories remain admissible because P65 does not identify P21/WBL emitter allocation or national design-temperature weights. <=55 C is a prospective reference-programme design ceiling, not an observed stock maximum or equipment limit. Exact building supply remains P65 record/project evidence."
B02-P98-S14,Y_GE2011,MULTI_DWELLING,"LE_35;C36_40;C41_45;C46_50;C51_55",55,"35;45;55",LATENT_SET_PROPAGATION_NO_POINT_WEIGHTS,QUALIFIED_REFERENCE_PROGRAMME_SUPPLY_TEMPERATURE_SET,POL/DER/SCN,"All five design-flow categories remain admissible because P65 does not identify P21/WBL emitter allocation or national design-temperature weights. <=55 C is a prospective reference-programme design ceiling, not an observed stock maximum or equipment limit. Exact building supply remains P65 record/project evidence."
