row_id,model_identifier,outdoor_temperature_C,supply_temperature_C,min_modulation_kW,min_point_COP,evidence_status,source_id,source_semantics,notes
B05-P22-C01,PUZ-WM50VHA(-BS),-20,35,1.90,1.88,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C02,PUZ-WM50VHA(-BS),-20,40,1.90,1.75,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C03,PUZ-WM50VHA(-BS),-15,35,2.40,2.24,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C04,PUZ-WM50VHA(-BS),-15,40,2.40,2.03,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C05,PUZ-WM50VHA(-BS),-15,45,2.30,1.84,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C06,PUZ-WM50VHA(-BS),-10,35,2.20,2.59,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C07,PUZ-WM50VHA(-BS),-10,40,2.10,2.32,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C08,PUZ-WM50VHA(-BS),-10,45,2.00,2.07,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C09,PUZ-WM50VHA(-BS),-10,50,1.90,1.85,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C10,PUZ-WM50VHA(-BS),-10,55,1.80,1.64,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C11,PUZ-WM50VHA(-BS),-7,35,2.70,3.25,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C12,PUZ-WM50VHA(-BS),-7,40,2.30,2.54,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C13,PUZ-WM50VHA(-BS),-7,45,2.50,2.36,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C14,PUZ-WM50VHA(-BS),-7,50,2.20,2.05,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C15,PUZ-WM50VHA(-BS),-7,55,2.00,1.76,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C16,PUZ-WM50VHA(-BS),2,35,2.50,3.42,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C17,PUZ-WM50VHA(-BS),2,40,2.50,3.88,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C18,PUZ-WM50VHA(-BS),2,45,2.50,3.47,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C19,PUZ-WM50VHA(-BS),2,50,2.40,3.10,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C20,PUZ-WM50VHA(-BS),2,55,2.30,2.78,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C21,PUZ-WM50VHA(-BS),7,35,1.80,5.46,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C22,PUZ-WM50VHA(-BS),7,40,1.50,3.57,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C23,PUZ-WM50VHA(-BS),7,45,1.30,2.97,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C24,PUZ-WM50VHA(-BS),7,50,1.30,2.60,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C25,PUZ-WM50VHA(-BS),7,55,1.30,2.29,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C26,PUZ-WM50VHA(-BS),12,35,1.80,6.20,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C27,PUZ-WM50VHA(-BS),12,40,1.80,5.36,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C28,PUZ-WM50VHA(-BS),12,45,1.80,4.67,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C29,PUZ-WM50VHA(-BS),12,50,1.70,4.09,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
B05-P22-C30,PUZ-WM50VHA(-BS),12,55,1.70,3.59,OBS,SRC-B05-MITSUBISHI-DATABOOK-WM50-MIN-GRID-2020,DATABOOK_MIN_CAPACITY_COP_PAIR,"Source-native Data Book Min row; no blank-cell inference."
