row_id,model_identifier,outdoor_temperature_C,supply_temperature_C,min_modulation_kW,evidence_status,source_id,source_semantics,notes
B05-P23-C01,LA 2030CP,-22,35,8.00,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
B05-P23-C02,LA 2030CP,-22,45,8.00,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
B05-P23-C03,LA 2030CP,-22,55,7.80,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
B05-P23-C04,LA 2030CP,-15,35,9.10,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
B05-P23-C05,LA 2030CP,-15,45,9.20,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
B05-P23-C06,LA 2030CP,-15,55,9.50,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
B05-P23-C07,LA 2030CP,-7,35,8.80,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
B05-P23-C08,LA 2030CP,-7,45,8.40,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
B05-P23-C09,LA 2030CP,-7,55,9.50,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
B05-P23-C10,LA 2030CP,2,35,6.80,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
B05-P23-C11,LA 2030CP,2,45,5.90,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
B05-P23-C12,LA 2030CP,2,55,6.00,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
B05-P23-C13,LA 2030CP,7,35,9.80,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
B05-P23-C14,LA 2030CP,7,45,7.10,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
B05-P23-C15,LA 2030CP,7,55,7.50,OBS,SRC-B05-DIMPLEX-LA2030CP-MIN-SURFACE-2026,MIN_COLUMN_OF_MANUFACTURER_MIN_MAX_TABLE,"Exact source-native minimum heating output."
