equipment_id,obs_der_point_count,return_temperature_nonblank_count,delta_temperature_nonblank_count,axis_status,canonical_base_sha
VAILLANT-AROTHERM-SPLIT-35,4,0,0,NOT_ADMITTED_NO_SOURCE_NATIVE_AXIS_VALUES,3581ca5c0d04ba022e96fabc4007e1adfea8f66c
VAILLANT-AROTHERM-SPLIT-70,4,0,0,NOT_ADMITTED_NO_SOURCE_NATIVE_AXIS_VALUES,3581ca5c0d04ba022e96fabc4007e1adfea8f66c
VAILLANT-AROTHERM-SPLIT-120,4,0,0,NOT_ADMITTED_NO_SOURCE_NATIVE_AXIS_VALUES,3581ca5c0d04ba022e96fabc4007e1adfea8f66c
VAILLANT-AROTHERM-PLUS-55,5,0,0,NOT_ADMITTED_NO_SOURCE_NATIVE_AXIS_VALUES,3581ca5c0d04ba022e96fabc4007e1adfea8f66c
STIEBEL-HPA-O-4-CS-PLUS-INT,8,0,0,NOT_ADMITTED_NO_SOURCE_NATIVE_AXIS_VALUES,3581ca5c0d04ba022e96fabc4007e1adfea8f66c
STIEBEL-HPA-O-8-CS-PLUS-INT,8,0,0,NOT_ADMITTED_NO_SOURCE_NATIVE_AXIS_VALUES,3581ca5c0d04ba022e96fabc4007e1adfea8f66c
TEKNOPOINT-ATHENA-R32-A0732,4,0,0,NOT_ADMITTED_NO_SOURCE_NATIVE_AXIS_VALUES,3581ca5c0d04ba022e96fabc4007e1adfea8f66c
TEKNOPOINT-ATHENA-R32-A0932,4,0,0,NOT_ADMITTED_NO_SOURCE_NATIVE_AXIS_VALUES,3581ca5c0d04ba022e96fabc4007e1adfea8f66c
ECPOWER-PMH-6,4,0,0,NOT_ADMITTED_NO_SOURCE_NATIVE_AXIS_VALUES,3581ca5c0d04ba022e96fabc4007e1adfea8f66c
ECPOWER-PMH-19,4,0,0,NOT_ADMITTED_NO_SOURCE_NATIVE_AXIS_VALUES,3581ca5c0d04ba022e96fabc4007e1adfea8f66c
WAMAK-AWK35-EVI,4,0,0,NOT_ADMITTED_NO_SOURCE_NATIVE_AXIS_VALUES,3581ca5c0d04ba022e96fabc4007e1adfea8f66c
__TOTAL__,53,0,0,NOT_ADMITTED_NO_SOURCE_NATIVE_AXIS_VALUES,3581ca5c0d04ba022e96fabc4007e1adfea8f66c
