record_id,system_id,source_id,artifact_kind,evidence_status,window_start_utc,window_end_utc,feed_key,feed_id,unit,native_interval_s,points,nonnull_points,common_timestamps,negative_heat_common_points,raw_payload_sha256,admitted_use,forbidden_use,notes
B05-P36-E01,HPM-252,SRC-B05-OEM-S2125-PUBLIC-EMONCMS-APP-2024,PUBLIC_OWNER_APP_ROUTE,OBS,,,,,,,,,,,,EXACT_SYSTEM_PUBLIC_READ_ROUTE,"STORE_OR_REPUBLISH_READ_CREDENTIAL","Public owner post links NIBE_S2125 EmonCMS app; credential is deliberately not stored."
B05-P36-E02,HPM-252,SRC-B05-P36-SILKEBORG-EMONCMS-METER-PROBE-2026,APP_CONFIG_METADATA,OBS,,,,,,,,,,,,EXACT_FEED_BINDING_METADATA,"DIRECT_DEFROST_STATE_FROM_STANDARD_APP_KEYS","Metadata SHA256 0b7f79b4ac01d9584a7e92eea5a006113c0814a577bead91770b287dc0363aa6."
B05-P36-E03,HPM-252,SRC-B05-P36-SILKEBORG-EMONCMS-METER-PROBE-2026,RAW_PUBLIC_POWER_EXPORT,OBS,2025-12-29T23:00:00Z,2025-12-30T23:00:00Z,heatpump_elec,501345,W,10,8641,8297,,,4d3a766c1d983186be5ac6ac70ef8d7fdedf91220c5362b14aa6c0ca0d896f97,COTIMED_ELECTRIC_SERIES,"INTERVAL_MEAN_ASSUMPTION;EVENT_KWH","Raw payload not committed; digest and bounded metadata only."
B05-P36-E04,HPM-252,SRC-B05-P36-SILKEBORG-EMONCMS-METER-PROBE-2026,RAW_PUBLIC_POWER_EXPORT,OBS,2025-12-29T23:00:00Z,2025-12-30T23:00:00Z,heatpump_heat,501342,W,10,8641,8297,,,4461464bba911eb5c6934fc9a606ddf338333992141f42c7ffddb5ba2b23f30a,COTIMED_THERMAL_SERIES,"DIRECT_DEFROST_IDENTITY;INTERVAL_MEAN_ASSUMPTION;EVENT_KWH","Raw payload not committed; digest and bounded metadata only."
B05-P36-E05,HPM-252,SRC-B05-P36-SILKEBORG-EMONCMS-METER-PROBE-2026,COTIMED_TIMESTAMP_JOIN,DER,2025-12-29T23:00:00Z,2025-12-30T23:00:00Z,heatpump_elec+heatpump_heat,,,10,,,8297,596,,COTIMED_METER_EXPORT_RESOLUTION,"DIRECT_DEFROST_IDENTITY_FROM_NEGATIVE_HEAT;EVENT_KWH","First/last common ms 1767049210000/1767135590000; first/last negative-heat common ms 1767050380000/1767133880000."
B05-P36-E06,HPM-252,SRC-B05-EMONCMS-PHPFINA-NOAVG-669ACA-2025,STORAGE_ENGINE_SEMANTICS,OBS,,,,,,,,,,,,FIXED_INTERVAL_SAMPLE_SEMANTICS,"ASSUME_NATIVE_10S_POINT_IS_INTERVAL_MEAN","Exact source states Fixed Interval No Averaging."
B05-P36-E07,HPM-252,SRC-B05-EMONCMS-MYHEATPUMP-KWH-52FF3D-2026,APP_CUMULATIVE_KWH_CONTRACT,OBS,,,,heatpump_elec_kwh+heatpump_heat_kwh,,,10,,,,,,CUMULATIVE_KWH_ROLE_AND_END_MINUS_START_ROUTE,"DIRECT_EVENT_IDENTITY","Pinned app source defines both kWh feeds as cumulative and processor returns end minus start."
B05-P36-E08,HPM-252,SRC-B05-P36-SILKEBORG-KWH-SEMANTICS-PROBE-2026,RAW_PUBLIC_CUMULATIVE_EXPORT,OBS,2025-12-29T23:18:20Z,2025-12-29T23:30:00Z,heatpump_elec_kwh,501346,kWh,10,,71,68,,79d9d87cb5c654d1b39316db1229d4b28db8c34a47cab22e31333982574c6fe9,BOUNDED_CUMULATIVE_ELECTRIC_ROUTE,"EVENT_KWH_WITHOUT_DIRECT_STATE","67 common delta steps; zero reset-like >1 kWh steps in audited window."
B05-P36-E09,HPM-252,SRC-B05-P36-SILKEBORG-KWH-SEMANTICS-PROBE-2026,RAW_PUBLIC_CUMULATIVE_EXPORT,OBS,2025-12-29T23:18:20Z,2025-12-29T23:30:00Z,heatpump_heat_kwh,501343,kWh,10,,71,68,42,8f99bf3dd1624df36f5be9324d8576efb10712fa4bf0c9268afe96b4e9796e78,BOUNDED_SIGNED_CUMULATIVE_THERMAL_ROUTE,"DIRECT_DEFROST_IDENTITY;EVENT_KWH_WITHOUT_DIRECT_STATE","All 42 audited negative thermal-power points have negative heat-kWh delta; zero reset-like >1 kWh steps."
B05-P36-E10,HPM-252,SRC-B05-P36-SILKEBORG-KWH-SEMANTICS-PROBE-2026,FOUR_FEED_SEMANTIC_JOIN,DER,2025-12-29T23:18:20Z,2025-12-29T23:30:00Z,heatpump_elec+heatpump_heat+heatpump_elec_kwh+heatpump_heat_kwh,,,10,,,68,42,,QUALIFIED_CUMULATIVE_DELTA_ROUTE,"DIRECT_DEFROST_IDENTITY_FROM_METER_SHAPE","Power-to-cumulative deltas are bounded-consistent; this qualifies energy route, not event identity."
B05-P36-E11,HPM-252,SRC-B05-OEM-S2125-SILKEBORG-DEFROST-2026,DIRECT_STATE_CONTEXT,OBS,,,,,,,,,,,,DIRECT_STATE_EXISTENCE_CONTEXT,"RAW_DIRECT_STATE_SERIES;EVENT_KWH","Owner field log still lacks a public raw timestamped direct Defrost state export."
