station_id,metric_id,target_return_period_years,complete_winter_blocks,target_annual_exceedance_probability,colder_bound_C,warmer_bound_C,colder_rank,warmer_rank,colder_rank_return_period_years,warmer_rank_return_period_years,status,evidence_status,source_id,notes
15310,WINTER_MEAN_TA_C,10,23,0.1,-1.466991,-0.973796,2,3,12,8,EMPIRICAL_ORDER_STATISTIC_BRACKET,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,NO_POINT_INTERPOLATION;PROJECT_DERIVED_EMPIRICAL_RECURRENCE;NOT_OFFICIAL_HUNGAROMET_1_IN_10
15310,WINTER_MIN_72H_MEAN_TA_C,10,23,0.1,-12.376389,-10.802778,2,3,12,8,EMPIRICAL_ORDER_STATISTIC_BRACKET,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,NO_POINT_INTERPOLATION;PROJECT_DERIVED_EMPIRICAL_RECURRENCE;NOT_OFFICIAL_HUNGAROMET_1_IN_10
44527,WINTER_MEAN_TA_C,10,23,0.1,-0.934074,-0.680046,2,3,12,8,EMPIRICAL_ORDER_STATISTIC_BRACKET,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,NO_POINT_INTERPOLATION;PROJECT_DERIVED_EMPIRICAL_RECURRENCE;NOT_OFFICIAL_HUNGAROMET_1_IN_10
44527,WINTER_MIN_72H_MEAN_TA_C,10,23,0.1,-10.352778,-10.186111,2,3,12,8,EMPIRICAL_ORDER_STATISTIC_BRACKET,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,NO_POINT_INTERPOLATION;PROJECT_DERIVED_EMPIRICAL_RECURRENCE;NOT_OFFICIAL_HUNGAROMET_1_IN_10
58102,WINTER_MEAN_TA_C,10,23,0.1,-0.213843,0.168194,2,3,12,8,EMPIRICAL_ORDER_STATISTIC_BRACKET,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,NO_POINT_INTERPOLATION;PROJECT_DERIVED_EMPIRICAL_RECURRENCE;NOT_OFFICIAL_HUNGAROMET_1_IN_10
58102,WINTER_MIN_72H_MEAN_TA_C,10,23,0.1,-11.656944,-10.304167,2,3,12,8,EMPIRICAL_ORDER_STATISTIC_BRACKET,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,NO_POINT_INTERPOLATION;PROJECT_DERIVED_EMPIRICAL_RECURRENCE;NOT_OFFICIAL_HUNGAROMET_1_IN_10
46304,WINTER_MEAN_TA_C,10,23,0.1,-1.506481,-1.106528,2,3,12,8,EMPIRICAL_ORDER_STATISTIC_BRACKET,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,NO_POINT_INTERPOLATION;PROJECT_DERIVED_EMPIRICAL_RECURRENCE;NOT_OFFICIAL_HUNGAROMET_1_IN_10
46304,WINTER_MIN_72H_MEAN_TA_C,10,23,0.1,-13.331944,-12.952778,2,3,12,8,EMPIRICAL_ORDER_STATISTIC_BRACKET,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,NO_POINT_INTERPOLATION;PROJECT_DERIVED_EMPIRICAL_RECURRENCE;NOT_OFFICIAL_HUNGAROMET_1_IN_10
52744,WINTER_MEAN_TA_C,10,12,0.1,-2.156435,0.160509,1,2,13,6.5,EMPIRICAL_ORDER_STATISTIC_BRACKET,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,NO_POINT_INTERPOLATION;PROJECT_DERIVED_EMPIRICAL_RECURRENCE;NOT_OFFICIAL_HUNGAROMET_1_IN_10
52744,WINTER_MIN_72H_MEAN_TA_C,10,12,0.1,-11.656944,-9.644444,1,2,13,6.5,EMPIRICAL_ORDER_STATISTIC_BRACKET,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,NO_POINT_INTERPOLATION;PROJECT_DERIVED_EMPIRICAL_RECURRENCE;NOT_OFFICIAL_HUNGAROMET_1_IN_10
