point_id,equipment_id,technology,model_identifier,outdoor_temperature_C,supply_temperature_C,return_temperature_C,delta_temperature_C,thermal_capacity_kW,electrical_input_kW,COP,min_modulation_kW,operating_limit_min_outdoor_C,operating_limit_max_outdoor_C,unit_boundary,test_standard,evidence_status,source_id,retrieved_at,notes
TEST-AWHP-NEG10-W35,TEST-AWHP-REFERENCE,air_to_water,TEST-AWHP-REFERENCE,-10,35,,,5.0,2.0,2.5,1.5,-10,10,total_unit_input,SCN synthetic grid,SCN,SRC-B05-SYNTHETIC-TEST-GRID,2026-08-22,Test fixture only; not product evidence.
TEST-AWHP-0-W35,TEST-AWHP-REFERENCE,air_to_water,TEST-AWHP-REFERENCE,0,35,,,6.0,2.0,3.0,1.5,-10,10,total_unit_input,SCN synthetic grid,SCN,SRC-B05-SYNTHETIC-TEST-GRID,2026-08-22,Test fixture only; not product evidence.
TEST-AWHP-10-W35,TEST-AWHP-REFERENCE,air_to_water,TEST-AWHP-REFERENCE,10,35,,,7.0,1.75,4.0,1.5,-10,10,total_unit_input,SCN synthetic grid,SCN,SRC-B05-SYNTHETIC-TEST-GRID,2026-08-22,Test fixture only; not product evidence.
TEST-AWHP-NEG10-W45,TEST-AWHP-REFERENCE,air_to_water,TEST-AWHP-REFERENCE,-10,45,,,4.0,2.0,2.0,1.6,-10,10,total_unit_input,SCN synthetic grid,SCN,SRC-B05-SYNTHETIC-TEST-GRID,2026-08-22,Test fixture only; not product evidence.
TEST-AWHP-0-W45,TEST-AWHP-REFERENCE,air_to_water,TEST-AWHP-REFERENCE,0,45,,,5.0,2.0,2.5,1.6,-10,10,total_unit_input,SCN synthetic grid,SCN,SRC-B05-SYNTHETIC-TEST-GRID,2026-08-22,Test fixture only; not product evidence.
TEST-AWHP-10-W45,TEST-AWHP-REFERENCE,air_to_water,TEST-AWHP-REFERENCE,10,45,,,6.0,2.0,3.0,1.6,-10,10,total_unit_input,SCN synthetic grid,SCN,SRC-B05-SYNTHETIC-TEST-GRID,2026-08-22,Test fixture only; not product evidence.
VAILLANT-SPLIT-35-A-7-W35,VAILLANT-AROTHERM-SPLIT-35,air_to_water,aroTHERM Split 3.5kW,-7,35,,,3.60,1.13,3.20,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-SPLIT-2019,2026-08-22,Manufacturer table A-7/W35; displayed values rounded; operating envelope not asserted.
VAILLANT-SPLIT-35-A2-W35,VAILLANT-AROTHERM-SPLIT-35,air_to_water,aroTHERM Split 3.5kW,2,35,,,2.50,0.66,3.80,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-SPLIT-2019,2026-08-22,Manufacturer table A2/W35; displayed values rounded.
VAILLANT-SPLIT-35-A7-W35,VAILLANT-AROTHERM-SPLIT-35,air_to_water,aroTHERM Split 3.5kW,7,35,,,3.20,0.64,5.00,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-SPLIT-2019,2026-08-22,Manufacturer table A7/W35; displayed values rounded.
VAILLANT-SPLIT-35-A7-W55,VAILLANT-AROTHERM-SPLIT-35,air_to_water,aroTHERM Split 3.5kW,7,55,,,2.80,1.08,2.60,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-SPLIT-2019,2026-08-22,Manufacturer table A7/W55; displayed values rounded.
VAILLANT-SPLIT-70-A-7-W35,VAILLANT-AROTHERM-SPLIT-70,air_to_water,aroTHERM Split 7kW,-7,35,,,6.70,2.48,2.70,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-SPLIT-2019,2026-08-22,Manufacturer table A-7/W35; displayed values rounded.
VAILLANT-SPLIT-70-A2-W35,VAILLANT-AROTHERM-SPLIT-70,air_to_water,aroTHERM Split 7kW,2,35,,,4.60,1.21,3.80,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-SPLIT-2019,2026-08-22,Manufacturer table A2/W35; displayed values rounded.
VAILLANT-SPLIT-70-A7-W35,VAILLANT-AROTHERM-SPLIT-70,air_to_water,aroTHERM Split 7kW,7,35,,,5.80,1.23,4.70,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-SPLIT-2019,2026-08-22,Manufacturer table A7/W35; displayed values rounded.
VAILLANT-SPLIT-70-A7-W55,VAILLANT-AROTHERM-SPLIT-70,air_to_water,aroTHERM Split 7kW,7,55,,,5.00,1.85,2.70,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-SPLIT-2019,2026-08-22,Manufacturer table A7/W55; displayed values rounded.
VAILLANT-SPLIT-120-A-7-W35,VAILLANT-AROTHERM-SPLIT-120,air_to_water,aroTHERM Split 12kW,-7,35,,,11.90,4.76,2.50,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-SPLIT-2019,2026-08-22,Manufacturer table A-7/W35; displayed values rounded.
VAILLANT-SPLIT-120-A2-W35,VAILLANT-AROTHERM-SPLIT-120,air_to_water,aroTHERM Split 12kW,2,35,,,8.30,2.24,3.70,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-SPLIT-2019,2026-08-22,Manufacturer table A2/W35; displayed values rounded.
VAILLANT-SPLIT-120-A7-W35,VAILLANT-AROTHERM-SPLIT-120,air_to_water,aroTHERM Split 12kW,7,35,,,10.30,2.24,4.60,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-SPLIT-2019,2026-08-22,Manufacturer table A7/W35; displayed values rounded.
VAILLANT-SPLIT-120-A7-W55,VAILLANT-AROTHERM-SPLIT-120,air_to_water,aroTHERM Split 12kW,7,55,,,11.00,3.93,2.80,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-SPLIT-2019,2026-08-22,Manufacturer table A7/W55; displayed values rounded.
VAILLANT-PLUS-55-A-7-W35,VAILLANT-AROTHERM-PLUS-55,air_to_water,aroTHERM plus VWL 55/6 A,-7,35,,,5.40,2.08,2.60,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-PLUS-2020,2026-08-22,Manufacturer table A-7/W35; displayed values rounded; operating envelope not asserted.
VAILLANT-PLUS-55-A2-W35,VAILLANT-AROTHERM-PLUS-55,air_to_water,aroTHERM plus VWL 55/6 A,2,35,,,2.00,0.51,3.90,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-PLUS-2020,2026-08-22,Manufacturer table A2/W35; displayed values rounded.
VAILLANT-PLUS-55-A7-W35,VAILLANT-AROTHERM-PLUS-55,air_to_water,aroTHERM plus VWL 55/6 A,7,35,,,3.40,0.71,4.80,2.10,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-PLUS-2020,2026-08-22,Manufacturer table A7/W35 nominal; minimum/maximum heat output 2.10 to 6.90 kW.
VAILLANT-PLUS-55-A7-W45,VAILLANT-AROTHERM-PLUS-55,air_to_water,aroTHERM plus VWL 55/6 A,7,45,,,3.10,0.86,3.60,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-PLUS-2020,2026-08-22,Manufacturer table A7/W45; displayed values rounded.
VAILLANT-PLUS-55-A7-W55,VAILLANT-AROTHERM-PLUS-55,air_to_water,aroTHERM plus VWL 55/6 A,7,55,,,4.80,1.71,2.80,,,,total_unit_input,EN 14511,OBS,SRC-B05-VAILLANT-AROTHERM-PLUS-2020,2026-08-22,Manufacturer table A7/W55; displayed values rounded.
