record_id,weather_profile_id,station_id,timestamp_utc,outdoor_temperature_C,temperature_source_variable,instantaneous_temperature_C,relative_humidity_pct,hourly_min_temperature_C,hourly_max_temperature_C,evidence_status,source_id,retrieved_at
B05-WX-00001,B05-REF-OBS-2025-15310,15310,2025-01-01T00:00:00Z,-3.5,ta,-3.5,90,-3.6,-3.4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00002,B05-REF-OBS-2025-15310,15310,2025-01-01T01:00:00Z,-3.6,ta,-3.6,90,-3.6,-3.5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00003,B05-REF-OBS-2025-15310,15310,2025-01-01T02:00:00Z,-3.5,ta,-3.5,90,-3.6,-3.4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00004,B05-REF-OBS-2025-15310,15310,2025-01-01T03:00:00Z,-3.5,ta,-3.5,90,-3.6,-3.5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00005,B05-REF-OBS-2025-15310,15310,2025-01-01T04:00:00Z,-3.5,ta,-3.5,90,-3.5,-3.4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00006,B05-REF-OBS-2025-15310,15310,2025-01-01T05:00:00Z,-3.4,ta,-3.4,90,-3.5,-3.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00007,B05-REF-OBS-2025-15310,15310,2025-01-01T06:00:00Z,-3.3,ta,-3.3,90,-3.4,-3.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00008,B05-REF-OBS-2025-15310,15310,2025-01-01T07:00:00Z,-3.4,ta,-3.4,90,-3.5,-3.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00009,B05-REF-OBS-2025-15310,15310,2025-01-01T08:00:00Z,-3.4,ta,-3.3,90,-3.5,-3.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00010,B05-REF-OBS-2025-15310,15310,2025-01-01T09:00:00Z,-3.4,ta,-3.3,90,-3.6,-3.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00011,B05-REF-OBS-2025-15310,15310,2025-01-01T10:00:00Z,-3.1,ta,-3,91,-3.3,-3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00012,B05-REF-OBS-2025-15310,15310,2025-01-01T11:00:00Z,-3,ta,-2.8,91,-3.1,-2.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00013,B05-REF-OBS-2025-15310,15310,2025-01-01T12:00:00Z,-2.7,ta,-2.6,91,-2.9,-2.6,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00014,B05-REF-OBS-2025-15310,15310,2025-01-01T13:00:00Z,-2.5,ta,-2.2,92,-2.6,-2.2,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00015,B05-REF-OBS-2025-15310,15310,2025-01-01T14:00:00Z,-2.3,ta,-2.2,92,-2.4,-2.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00016,B05-REF-OBS-2025-15310,15310,2025-01-01T15:00:00Z,-2.3,ta,-2.4,93,-2.4,-2.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00017,B05-REF-OBS-2025-15310,15310,2025-01-01T16:00:00Z,-2.5,ta,-2.5,93,-2.5,-2.4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00018,B05-REF-OBS-2025-15310,15310,2025-01-01T17:00:00Z,-2.6,ta,-2.6,92,-2.7,-2.4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00019,B05-REF-OBS-2025-15310,15310,2025-01-01T18:00:00Z,-2.6,ta,-2.6,92,-2.7,-2.5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00020,B05-REF-OBS-2025-15310,15310,2025-01-01T19:00:00Z,-2.5,ta,-2.7,92,-2.7,-2.5,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00021,B05-REF-OBS-2025-15310,15310,2025-01-01T20:00:00Z,-2.7,ta,-2.6,92,-2.8,-2.6,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00022,B05-REF-OBS-2025-15310,15310,2025-01-01T21:00:00Z,-2.8,ta,-2.9,92,-2.9,-2.6,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00023,B05-REF-OBS-2025-15310,15310,2025-01-01T22:00:00Z,-2.8,ta,-2.8,92,-2.9,-2.7,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00024,B05-REF-OBS-2025-15310,15310,2025-01-01T23:00:00Z,-2.8,ta,-2.8,92,-2.9,-2.7,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00025,B05-REF-OBS-2025-15310,15310,2025-01-02T00:00:00Z,-2.8,ta,-2.9,92,-3,-2.8,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00026,B05-REF-OBS-2025-15310,15310,2025-01-02T01:00:00Z,-3,ta,-3.2,92,-3.2,-2.9,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00027,B05-REF-OBS-2025-15310,15310,2025-01-02T02:00:00Z,-3.2,ta,-3.2,91,-3.3,-3.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00028,B05-REF-OBS-2025-15310,15310,2025-01-02T03:00:00Z,-3.2,ta,-3.3,91,-3.3,-3.1,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00029,B05-REF-OBS-2025-15310,15310,2025-01-02T04:00:00Z,-3.5,ta,-3.6,91,-3.6,-3.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00030,B05-REF-OBS-2025-15310,15310,2025-01-02T05:00:00Z,-3.8,ta,-4,90,-4,-3.6,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00031,B05-REF-OBS-2025-15310,15310,2025-01-02T06:00:00Z,-4.2,ta,-4.4,90,-4.5,-4,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00032,B05-REF-OBS-2025-15310,15310,2025-01-02T07:00:00Z,-4.6,ta,-4.7,89,-4.8,-4.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00033,B05-REF-OBS-2025-15310,15310,2025-01-02T08:00:00Z,-4.6,ta,-4.3,89,-4.8,-4.3,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
B05-WX-00034,B05-REF-OBS-2025-15310,15310,2025-01-02T09:00:00Z,-3.8,ta,-3.2,90,-4.3,-3.2,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,2026-08-22
