weather_profile_id,station_id,equipment_id,supply_temperature_C,performance_domain_min_Tout_C,performance_domain_max_Tout_C,weather_hours_total,weather_hours_inside_domain,weather_hours_below_domain,weather_hours_above_domain,coverage_share,coldest_uncovered_Tout_C,status,source_id,notes
B05-REF-OBS-2025-15310,15310,STIEBEL-HPA-O-4-CS-PLUS-INT,35,-15,7,8760,3161,0,5599,0.360845,7.1,OBS,SRC-B05-STIEBEL-HPA-O-P4-COLD-2025,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 4 W35 source-native surface is -15/+7 C; no demand assumptions.
B05-REF-OBS-2025-15310,15310,STIEBEL-HPA-O-4-CS-PLUS-INT,45,-7,7,8760,3147,14,5599,0.359247,-10.7,OBS,SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 4 W45 source-native surface is -7/+7 C; no demand assumptions.
B05-REF-OBS-2025-15310,15310,STIEBEL-HPA-O-4-CS-PLUS-INT,55,,,8760,,,,,-10.7,Q,,No continuous HPA-O 4 W55 performance surface; A7/W55 is isolated and cannot define weather-domain coverage.
B05-REF-OBS-2025-15310,15310,STIEBEL-HPA-O-8-CS-PLUS-INT,35,-15,7,8760,3161,0,5599,0.360845,7.1,OBS,SRC-B05-STIEBEL-HPA-O-P4-COLD-2025,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 8 W35 source-native surface is -15/+7 C; no demand assumptions.
B05-REF-OBS-2025-15310,15310,STIEBEL-HPA-O-8-CS-PLUS-INT,45,-7,7,8760,3147,14,5599,0.359247,-10.7,OBS,SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 8 W45 source-native surface is -7/+7 C; no demand assumptions.
B05-REF-OBS-2025-15310,15310,STIEBEL-HPA-O-8-CS-PLUS-INT,55,,,8760,,,,,-10.7,Q,,No continuous HPA-O 8 W55 performance surface; A7/W55 is isolated and cannot define weather-domain coverage.
B05-REF-OBS-2025-44527,44527,STIEBEL-HPA-O-4-CS-PLUS-INT,35,-15,7,8760,2861,0,5899,0.326598,7.1,OBS,SRC-B05-STIEBEL-HPA-O-P4-COLD-2025,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 4 W35 source-native surface is -15/+7 C; no demand assumptions.
B05-REF-OBS-2025-44527,44527,STIEBEL-HPA-O-4-CS-PLUS-INT,45,-7,7,8760,2852,9,5899,0.325571,-8,OBS,SRC-B05-STIEBEL-HPA-O-CS-PLUS-2022,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 4 W45 source-native surface is -7/+7 C; no demand assumptions.
B05-REF-OBS-2025-44527,44527,STIEBEL-HPA-O-4-CS-PLUS-INT,55,,,8760,,,,,-8,Q,,No continuous HPA-O 4 W55 performance surface; A7/W55 is isolated and cannot define weather-domain coverage.
B05-REF-OBS-2025-44527,44527,STIEBEL-HPA-O-8-CS-PLUS-INT,35,-15,7,8760,2861,0,5899,0.326598,7.1,OBS,SRC-B05-STIEBEL-HPA-O-P4-COLD-2025,Weather-domain coverage only (not heating-runtime coverage); complete HPA-O 8 W35 source-native surface is -15/+7 C; no demand assumptions.
