evidence_id,intervention_id,intervention_family,geography,building_type,construction_period,area_m2,study_year,study_type,evidence_class,annual_before_kwh_m2a,annual_after_kwh_m2a,annual_before_min_kwh_m2a,annual_before_max_kwh_m2a,annual_after_min_kwh_m2a,annual_after_max_kwh_m2a,annual_reduction_fraction,annual_reduction_min,annual_reduction_max,peak_before_kw,peak_after_kw,peak_reduction_fraction,weather_normalization,dhw_separation,occupancy_control,applicability_status,usable_for_engine,status,source_id,notes
B06-EFF-HVAR-DAMJANIC,B06-COMBINED-PACKAGE,package,Croatia:Hvar,PRIVATE_DWELLINGS,existing,117,2011,case_study,MODELLED_BEFORE_AFTER,119,46,,,,,0.613445,,,,,,NOT_DISCLOSED,NOT_DISCLOSED,NOT_DISCLOSED,CONTEXT_SPECIFIC,NO,Q,SRC-B06-JRC-HVAR-2018,Two dwellings; package result; no design-peak series.
B06-EFF-HVAR-PLANJAR,B06-COMBINED-PACKAGE,package,Croatia:Hvar,PRIVATE_DWELLINGS,existing,439,2013,case_study,MODELLED_BEFORE_AFTER,156,49,,,,,0.685897,,,,,,NOT_DISCLOSED,NOT_DISCLOSED,NOT_DISCLOSED,CONTEXT_SPECIFIC,NO,Q,SRC-B06-JRC-HVAR-2018,Two dwellings; package result; no design-peak series.
B06-EFF-HVAR-TOMIC,B06-COMBINED-PACKAGE,package,Croatia:Hvar,PRIVATE_DWELLINGS,existing,232,2013,case_study,MODELLED_BEFORE_AFTER,191,48,,,,,0.748691,,,,,,NOT_DISCLOSED,NOT_DISCLOSED,NOT_DISCLOSED,CONTEXT_SPECIFIC,NO,Q,SRC-B06-JRC-HVAR-2018,Two dwellings; package result; no design-peak series.
B06-EFF-HVAR-FORTUNA,B06-COMBINED-PACKAGE,package,Croatia:Hvar,PRIVATE_DWELLINGS,existing,1044,2013,case_study,MODELLED_BEFORE_AFTER,54,36,,,,,,,,,,,NOT_DISCLOSED,NOT_DISCLOSED,NOT_DISCLOSED,CONTEXT_SPECIFIC,NO,Q,SRC-B06-JRC-HVAR-2018,Displayed 54/36 pair does not reproduce rounded 35%; no canonical fraction.
B06-EFF-HVAR-MATKOVIC,B06-COMBINED-PACKAGE,package,Croatia:Hvar,PRIVATE_DWELLINGS,existing,356,2013,case_study,MODELLED_BEFORE_AFTER,83,46,,,,,0.445783,,,,,,NOT_DISCLOSED,NOT_DISCLOSED,NOT_DISCLOSED,CONTEXT_SPECIFIC,NO,Q,SRC-B06-JRC-HVAR-2018,Two dwellings; package result; no design-peak series.
B06-EFF-TIMISOARA-MEASURED,B06-COMBINED-PACKAGE,package,Romania:Timisoara,APARTMENT_BLOCKS,1965-1977,,2012,case_study,MEASURED_BEFORE_AFTER,,,130.2,167.4,101.4,128.4,,,,,,,NOT_NORMALIZED,SEPARATE_DHW_REPORTED,NOT_DISCLOSED,CONTEXT_SPECIFIC,NO,Q,SRC-B06-REHVA-TIMISOARA-2012,Five blocks; measured space-heating ranges; no weather normalization.
B06-EFF-CONCERTO-AGGREGATE,B06-COMBINED-PACKAGE,package,EU:CONCERTO,RENOVATED_BUILDINGS,mixed,,2010,program_assessment,MODELLED_BEFORE_AFTER,,,,,,,,0.15,0.65,,,,EUROSTAT_HDD18/15,INCLUDED_NOT_SEPARABLE,NOT_REPORTED,PROGRAM_AGGREGATE,NO,Q,SRC-B06-EC-CONCERTO-EXEC-2010,HDD18/15 corrected program range; DHW included; no midpoint.
B06-EFF-UDDEVALLA-MEASURED,B06-COMBINED-PACKAGE,package,Sweden:Uddevalla,MULTI_FAMILY_BUILDING,1965-1975,,2020,case_study,MEASURED_BEFORE_AFTER,,,,,,,0.16,,,,,,NON_COMPARABLE_2017_2020,NOT_REPORTED,NOT_REPORTED,CONTEXT_SPECIFIC,NO,Q,SRC-B06-EC-DECARBONAITE-UDDEVALLA-2023,16% measured reduction; climates not comparable.
B06-EFF-HU-KESZTHELY-CERT,B06-COMBINED-PACKAGE,package,Hungary:Keszthely,MULTI_FAMILY_BUILDING,1985,,2018,case_study,MODELLED_BEFORE_AFTER,220,,,,126,129,,0.413636,0.427273,,,,STANDARD_CERTIFIED_CALCULATION,NOT_DISCLOSED,NOT_DISCLOSED,CONTEXT_SPECIFIC,NO,DER,SRC-B06-HU-RENOPONT-KESZTHELY,"Bounded Hungarian case. Reported energy performance changed from 220 to 126-129 kWh/m2a. Stored as a range; no midpoint, national factor or design-peak effect is minted."
B06-EFF-HU-KESZTHELY-BILLING,B06-COMBINED-PACKAGE,package,Hungary:Keszthely,MULTI_FAMILY_BUILDING,1985,,2018,case_study,MEASURED_BEFORE_AFTER,,,,,,,,0.41,0.425,,,,NOT_DISCLOSED,NOT_DISCLOSED,NOT_DISCLOSED,CONTEXT_SPECIFIC,NO,Q,SRC-B06-HU-RENOPONT-KESZTHELY,"Heat-centre settlement reportedly showed 41-42.5% saving versus the 2017 base year. Weather/operation normalisation and end-use separation are not documented in the public case, so the measured row remains Q."
B06-EFF-HU-FAMILY-GAS-3600-1600,B06-COMBINED-PACKAGE,package,Hungary,FAMILY_HOUSE,1980s,,,case_study,MEASURED_BEFORE_AFTER,,,,,,,0.56,,,,,,NOT_DISCLOSED,NOT_DISCLOSED,NOT_DISCLOSED,CONTEXT_SPECIFIC,NO,Q,SRC-B06-HU-RENOPONT-FAMILY-3600-1600,Source-native annual gas use is reported as 3600 -> 1600 m3 (56%) after a combined retrofit. The source does not document weather normalisation or DHW separation; values are retained in notes rather than re-labelled as kWh/m2a.
