item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,role,forbidden_use,residual_gap,notes
B02-P105-U01,PUBLIC_HEM_IDENTIFIER_LOOKUP,QUALIFIED_IDENTIFIER_BOUND_PUBLIC_SURFACE,,,state,POL,SRC-B02-MEKH-HEM-MODULE-HANDBOOK,PUBLIC_SINGLE_RECORD_LOOKUP,COHORT_ENUMERATION;UNKNOWN_ID_DISCOVERY,MEKH_EKR_1103_ADMIN_EXTRACT_OR_PUBLISHED_AGGREGATE_REQUIRED,"Public HEM lookup is usable with a known identifier but P105 found no proven anonymous enumeration/filter route."
B02-P105-U02,PUBLIC_SAVING_TYPE_LABEL,SEMANTICALLY_INSUFFICIENT_FOR_1103_DISCOVERY,,,label,POL,SRC-B02-MEKH-HEM-MODULE-HANDBOOK,PUBLIC_FIELD_AUDIT,MEASURE_CODE_1103_FROM_LABEL,MEKH_EKR_1103_ADMIN_EXTRACT_OR_PUBLISHED_AGGREGATE_REQUIRED,"The handbook separately defines HEM/saving type and Intézkedés típusa. Public 'Megtakarítás típusa' is not promoted to action code 1103."
B02-P105-U03,PUBLIC_GLOBAL_HEM_COUNT,QUALIFIED_GLOBAL_AGGREGATE_ONLY,,,count,POL,SRC-B02-MEKH-HEM-MODULE-HANDBOOK,GLOBAL_HEM_VALIDATION,EKR_1103_COUNT;WINDOW_COUNT,MEKH_EKR_1103_ADMIN_EXTRACT_OR_PUBLISHED_AGGREGATE_REQUIRED,"Public summary exposes total HEM count and aggregate saving only."
B02-P105-U04,ADMINISTRATIVE_MEASURE_TYPE,QUALIFIED_ADMIN_DISCOVERY_KEY,,,field,POL,SRC-B02-MEKH-17-2020-HEM-DATA-CONTENT,ADMIN_COHORT_DISCOVERY,PUBLIC_ACCESS;CURRENT_1103_COUNT,MEKH_EKR_1103_ADMIN_EXTRACT_OR_PUBLISHED_AGGREGATE_REQUIRED,"Current submission data explicitly carry implemented measure/investment name and type plus technical context."
B02-P105-U05,HISTORICAL_CODE_LEVEL_AGGREGATION,QUALIFIED_ADMIN_AGGREGATION_CAPABILITY,39,39,measure_categories,DER,SRC-B02-HUPX-EKR-MONITORING-2022Q3,ADMIN_AGGREGATION_CAPABILITY,CURRENT_1103_COUNT;CURRENT_SHARE,MEKH_EKR_1103_ADMIN_EXTRACT_OR_PUBLISHED_AGGREGATE_REQUIRED,"Historical official monitoring grouped registry/admin records into 39 measure categories and published code-level project/GJ examples. This proves capability, not current 1103 data."
B02-P105-U06,HISTORICAL_ACCEPTED_PROJECTS,QUALIFIED_HISTORICAL_CONTROL,541,541,project,DER,SRC-B02-HUPX-EKR-MONITORING-2022Q3,HISTORICAL_CONTROL,CURRENT_PROJECT_COUNT;CURRENT_POPULATION_SHARE,MEKH_EKR_1103_ADMIN_EXTRACT_OR_PUBLISHED_AGGREGATE_REQUIRED,"Registry snapshot through 2022-10-31 only."
B02-P105-U07,HISTORICAL_ENTITLEMENTS,QUALIFIED_HISTORICAL_CONTROL,597,597,entitlement,DER,SRC-B02-HUPX-EKR-MONITORING-2022Q3,HISTORICAL_CONTROL,CURRENT_PROJECT_COUNT;CURRENT_POPULATION_SHARE,MEKH_EKR_1103_ADMIN_EXTRACT_OR_PUBLISHED_AGGREGATE_REQUIRED,"Historical monitoring reports 597 entitlements from 541 projects."
B02-P105-U08,CURRENT_CEEGEX_RESIDENTIAL_HEM_MARKET,QUALIFIED_MARKET_PRODUCT_AGGREGATE_NOT_MEASURE_CODE,,,GJ,OBS/DER,SRC-B02-CEEGEX-EKR-MARKET-2026,CURRENT_MARKET_VALIDATION,WINDOW_1103_COUNT;TECHNICAL_U,MEKH_EKR_1103_ADMIN_EXTRACT_OR_PUBLISHED_AGGREGATE_REQUIRED,"Broad residential/catalogue HEM market products cannot be equated with window action code 1103."
B02-P105-U09,EKR_1103_TECHNICAL_COHORT_AGGREGATE_REQUIRED,NARROWED_TO_EXACT_ACCESS_ROUTE,,,state,POL/DER,B02-P104;B02-P105,EVIDENCE_ACQUISITION_CONTRACT,CLAIM_OF_CURRENT_1103_COUNT_WITHOUT_EXTRACT,MEKH_EKR_1103_ADMIN_EXTRACT_OR_PUBLISHED_AGGREGATE_REQUIRED,"P105 proves administrative coded aggregation capability but no current public 1103 enumerated/filterable cohort. Exact next requirement is a MEKH admin extract or published 1103 aggregate."
B02-P105-U10,NATIONAL_P102_BOUND_EFFECT,UNCHANGED_NO_CURRENT_1103_EXTRACT,0.8278610299446981,0.9844857269628596,share,OBS/DER/ASS,B02-P102;B02-P105,PROGRAMME_ACTION_CALIBRATION,NUMERIC_TIGHTENING_FROM_HISTORICAL_OR_GLOBAL_HEM_DATA,CURRENT_REPLACED_WINDOW_COMPLIANCE_POPULATION_SURFACE_REQUIRED,"No current 1103 cohort is admitted, so P102 floor and HP_ONLY bounds remain unchanged."
B02-P105-U11,Q-B02-004,OPEN_NARROWED,,,state,Q,B02-P105,LAYERED_SET_PROPAGATION,NATIONAL_POINT_ACTION_SHARE,CURRENT_REPLACED_WINDOW_COMPLIANCE_POPULATION_SURFACE_REQUIRED;MEKH_EKR_1103_ADMIN_EXTRACT_OR_PUBLISHED_AGGREGATE_REQUIRED;NON_EKR_REPLACED_WINDOW_UW_DISTRIBUTION_REQUIRED;FULL_DWELLING_WINDOW_COVERAGE_OR_REMAINING_STATE_REQUIRED,"P105 resolves whether the public HEM surface itself can currently deliver the 1103 cohort: not proven. Administrative extraction/publication is now the exact EKR acquisition gap."
