anchor_id,cohort_id,role,reference_period,evidence_status,source_quality,residential_scope,current_stock_observation,whole_dwelling_inventory,dwelling_count,floor_area_m2,radiator_type_source_native,unit_count,height_mm,length_mm,length_semantics,source_native_size_token,output_at_target_w,target_supply_temp_c,room_heat_loss_after_envelope_w,output_scope,room_capacity_margin_w,source_intervention_conclusion,source_url,exact_locator,p42_national_authority,notes
PECS_RADAL_V,PECS_PANEL_FIVE_FLOOR_ROOM_CIRCUIT,DOCUMENTED_RESIDENTIAL_PARTIAL_CIRCUIT,EXISTING_BUILDING_DOCUMENTED_2025,DER,PEER_REVIEWED_ENGINEERING_CASE,YES,NO,NO,,,RADAL 600-11,1,,,NOT_REPORTED,,873,55,750,RADIATOR_PLUS_PIPE,123,FULL_ENVELOPE_CENTRAL_55C_NO_IN_DWELLING_CAPACITY_WORK_REQUIRED,https://ojs.emt.ro/EPKO/article/download/2032/2100/3148,"PDF page 2/6 table 2; V floor; RADAL 600-11; radiator plus pipe output 873 W at te=55 C; post-envelope room heat loss 750 W",NO,"One room radiator on a documented five-floor one-pipe circuit; not a complete dwelling inventory. Source conclusion applies to the full structurally renovated circuit, not a national reuse share."
PECS_RADAL_IV,PECS_PANEL_FIVE_FLOOR_ROOM_CIRCUIT,DOCUMENTED_RESIDENTIAL_PARTIAL_CIRCUIT,EXISTING_BUILDING_DOCUMENTED_2025,DER,PEER_REVIEWED_ENGINEERING_CASE,YES,NO,NO,,,RADAL 600-9,1,,,NOT_REPORTED,,627,55,662,RADIATOR_PLUS_PIPE,-35,FULL_ENVELOPE_CENTRAL_55C_NO_IN_DWELLING_CAPACITY_WORK_REQUIRED,https://ojs.emt.ro/EPKO/article/download/2032/2100/3148,"PDF page 2/6 table 2; IV floor; RADAL 600-9; radiator plus pipe output 627 W at te=55 C; post-envelope room heat loss 662 W",NO,"The -35 W source-table diagnostic does not override the paper's circuit-level conclusion; no automatic KEEP/CHANGE token is manufactured from sign alone."
PECS_RADAL_III,PECS_PANEL_FIVE_FLOOR_ROOM_CIRCUIT,DOCUMENTED_RESIDENTIAL_PARTIAL_CIRCUIT,EXISTING_BUILDING_DOCUMENTED_2025,DER,PEER_REVIEWED_ENGINEERING_CASE,YES,NO,NO,,,RADAL 600-10,1,,,NOT_REPORTED,,635,55,662,RADIATOR_PLUS_PIPE,-27,FULL_ENVELOPE_CENTRAL_55C_NO_IN_DWELLING_CAPACITY_WORK_REQUIRED,https://ojs.emt.ro/EPKO/article/download/2032/2100/3148,"PDF page 2/6 table 2; III floor; RADAL 600-10; radiator plus pipe output 635 W at te=55 C; post-envelope room heat loss 662 W",NO,"Documented circuit row only. Kitchen and bathroom pipe emitters are outside this five-radiator room circuit."
PECS_RADAL_II,PECS_PANEL_FIVE_FLOOR_ROOM_CIRCUIT,DOCUMENTED_RESIDENTIAL_PARTIAL_CIRCUIT,EXISTING_BUILDING_DOCUMENTED_2025,DER,PEER_REVIEWED_ENGINEERING_CASE,YES,NO,NO,,,RADAL 600-11,1,,,NOT_REPORTED,,636,55,662,RADIATOR_PLUS_PIPE,-26,FULL_ENVELOPE_CENTRAL_55C_NO_IN_DWELLING_CAPACITY_WORK_REQUIRED,https://ojs.emt.ro/EPKO/article/download/2032/2100/3148,"PDF page 2/6 table 2; II floor; RADAL 600-11; radiator plus pipe output 636 W at te=55 C; post-envelope room heat loss 662 W",NO,"Documented circuit row only; not a complete emitter inventory for the dwelling."
PECS_RADAL_I,PECS_PANEL_FIVE_FLOOR_ROOM_CIRCUIT,DOCUMENTED_RESIDENTIAL_PARTIAL_CIRCUIT,EXISTING_BUILDING_DOCUMENTED_2025,DER,PEER_REVIEWED_ENGINEERING_CASE,YES,NO,NO,,,RADAL 600-22,1,,,NOT_REPORTED,,864,55,782,RADIATOR_PLUS_PIPE,82,FULL_ENVELOPE_CENTRAL_55C_NO_IN_DWELLING_CAPACITY_WORK_REQUIRED,https://ojs.emt.ro/EPKO/article/download/2032/2100/3148,"PDF page 2/6 table 2; I floor; RADAL 600-22; radiator plus pipe output 864 W at te=55 C; post-envelope room heat loss 782 W",NO,"The same paper's partial-envelope case says the lower-floor radiator may need replacement with a higher-output radiator to enable lower supply temperature."
KEREPES_22K_H600_L1560,KEREPES_85M2_22K_SELF_REPORT,CURRENT_RESIDENTIAL_WHOLE_DWELLING,UNDATED_PUBLIC_REQUEST_RETRIEVED_2026,OBS,PUBLIC_SELF_REPORT,YES,YES,YES,1,85,22K,2,600,1560,SOURCE_REPORTED_DIMENSION,,,,,NOT_REPORTED,,,https://qjob.hu/bekescsaba/munka/kazangepesz-allas,"Kazancsere request: 85 m2 family house in Kerepes; 5 radiators; 22K; 60 cm high; 2 x 156 cm",NO,"Source-native stated dimensions converted only from cm to mm. 1560 mm is not normalized to a catalogue nominal length. The same request is syndicated on multiple Qjob city feeds and is one observation only."
KEREPES_22K_H600_L730,KEREPES_85M2_22K_SELF_REPORT,CURRENT_RESIDENTIAL_WHOLE_DWELLING,UNDATED_PUBLIC_REQUEST_RETRIEVED_2026,OBS,PUBLIC_SELF_REPORT,YES,YES,YES,1,85,22K,1,600,730,SOURCE_REPORTED_DIMENSION,,,,,NOT_REPORTED,,,https://qjob.hu/bekescsaba/munka/kazangepesz-allas,"same Kazancsere request; 1 x 73 cm radiator",NO,"Source-native stated dimension; no silent normalization to 700/720 mm."
KEREPES_22K_H600_L600,KEREPES_85M2_22K_SELF_REPORT,CURRENT_RESIDENTIAL_WHOLE_DWELLING,UNDATED_PUBLIC_REQUEST_RETRIEVED_2026,OBS,PUBLIC_SELF_REPORT,YES,YES,YES,1,85,22K,1,600,600,SOURCE_REPORTED_DIMENSION,,,,,NOT_REPORTED,,,https://qjob.hu/bekescsaba/munka/kazangepesz-allas,"same Kazancsere request; 1 x 60 cm radiator",NO,"One row within a complete source-reported five-radiator household inventory."
KEREPES_22K_H600_L400,KEREPES_85M2_22K_SELF_REPORT,CURRENT_RESIDENTIAL_WHOLE_DWELLING,UNDATED_PUBLIC_REQUEST_RETRIEVED_2026,OBS,PUBLIC_SELF_REPORT,YES,YES,YES,1,85,22K,1,600,400,SOURCE_REPORTED_DIMENSION,,,,,NOT_REPORTED,,,https://qjob.hu/bekescsaba/munka/kazangepesz-allas,"same Kazancsere request; 1 x 40 cm radiator; radiators connected with copper pipe",NO,"Complete only for the source-reported household radiator set; no claim that 22K means a specific manufacturer or national type class share."
ERDOKERTES_22K_10,ERDOKERTES_HZ036690,CURRENT_RESIDENTIAL_WHOLE_DWELLING,PROPERTY_LISTING_RETRIEVED_2026,OBS,PUBLIC_PROPERTY_LISTING,YES,YES,YES,1,175,22K,10,,,NOT_REPORTED,,,,,NOT_REPORTED,,,https://ingatlan.jofogas.hu/pest/175_nm_es_haz_elado_Erdokertes_151880838.htm,"listing engineering section: Immergas 24 kW condensing gas boiler; bathroom underfloor heating; 10 db 22K type radiators installed",NO,"Reference HZ036690 appears in duplicate property advertisements; all copies are one property observation. Radiator sizes are not reported and remain blank."
