row_id,row_role,reference_period,scope,radiator_family,material,connection_distance_mm,section_or_element_count,length_mm,nominal_output_w,output_basis,output_w_78_62_20,output_w_55_45_20,observed_unit_count,heating_surface_m2,magnitude_precision,manufacturer_interchangeable_with_radal,residential_stock_weight_allowed,exact_replacement_selection_authorized,p42_national_authority,source_url,exact_locator,notes
RADAL_HISTORICAL_HU_HEATING_SURFACE,HISTORICAL_INSTALLED_SURFACE_MAGNITUDE,HISTORICAL_INSTALLATION,HUNGARY,RADAL,ALUMINIUM,,,,,,,,,30000000,APPROXIMATE,,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"catalogue brand-history section: roughly 30 million m2 RADAL heating surface installed in Hungary","Heating surface is not physical radiator pieces and not current surviving stock. Older public material reports roughly 20 million m2, so the magnitude has source-version drift and is never treated as exact."
JASZAPATI_RADAL600_6,NONRES_LEGACY_TECHNICAL_REFERENCE,PRE_DEVELOPMENT,NON_RESIDENTIAL_MUNICIPAL_BUILDING,RADAL 600,ALUMINIUM,600,6,485,1067,SOURCE_NOMINAL_UNSPECIFIED_TEMP,,,1,,,NO,NO,NO,NO,https://www.jaszapati.hu/index.php/kozbeszerzesek/send/256-top-napelem/4749-projekt-terv-varosuzemelteto.html,"pre-development emitter table: RADAL 600 6 tagos; size 485; 1.067 kW; 1 db","The surrounding heating system is described as 70/55 C, but the nominal-output table does not explicitly bind its kW basis to 70/55/20; basis therefore remains unspecified."
JASZAPATI_RADAL600_8,NONRES_LEGACY_TECHNICAL_REFERENCE,PRE_DEVELOPMENT,NON_RESIDENTIAL_MUNICIPAL_BUILDING,RADAL 600,ALUMINIUM,600,8,710,1423,SOURCE_NOMINAL_UNSPECIFIED_TEMP,,,1,,,NO,NO,NO,NO,https://www.jaszapati.hu/index.php/kozbeszerzesek/send/256-top-napelem/4749-projekt-terv-varosuzemelteto.html,"pre-development emitter table: RADAL 600 8 tagos; size 710; 1.423 kW; 1 db","Exact project-table technical reference; not residential stock weighting."
JASZAPATI_RADAL600_10,NONRES_LEGACY_TECHNICAL_REFERENCE,PRE_DEVELOPMENT,NON_RESIDENTIAL_MUNICIPAL_BUILDING,RADAL 600,ALUMINIUM,600,10,860,1779,SOURCE_NOMINAL_UNSPECIFIED_TEMP,,,4,,,NO,NO,NO,NO,https://www.jaszapati.hu/index.php/kozbeszerzesek/send/256-top-napelem/4749-projekt-terv-varosuzemelteto.html,"pre-development emitter table: RADAL 600 10 tagos; size 860; 1.779 kW; 4 db","Exact legacy variant/count reference only."
JASZAPATI_RADAL600_15,NONRES_LEGACY_TECHNICAL_REFERENCE,PRE_DEVELOPMENT,NON_RESIDENTIAL_MUNICIPAL_BUILDING,RADAL 600,ALUMINIUM,600,15,1310,2669,SOURCE_NOMINAL_UNSPECIFIED_TEMP,,,4,,,NO,NO,NO,NO,https://www.jaszapati.hu/index.php/kozbeszerzesek/send/256-top-napelem/4749-projekt-terv-varosuzemelteto.html,"pre-development emitter table: RADAL 600 15 tagos; size 1310; 2.669 kW; 4 db","Exact legacy variant/count reference only."
JASZAPATI_RADAL600_16,NONRES_LEGACY_TECHNICAL_REFERENCE,PRE_DEVELOPMENT,NON_RESIDENTIAL_MUNICIPAL_BUILDING,RADAL 600,ALUMINIUM,600,16,1385,2846,SOURCE_NOMINAL_UNSPECIFIED_TEMP,,,6,,,NO,NO,NO,NO,https://www.jaszapati.hu/index.php/kozbeszerzesek/send/256-top-napelem/4749-projekt-terv-varosuzemelteto.html,"pre-development emitter table: RADAL 600 16 tagos; size 1385; 2.846 kW; 6 db","Exact legacy variant/count reference only."
JASZAPATI_RADAL600_22,NONRES_LEGACY_TECHNICAL_REFERENCE,PRE_DEVELOPMENT,NON_RESIDENTIAL_MUNICIPAL_BUILDING,RADAL 600,ALUMINIUM,600,22,1835,3914,SOURCE_NOMINAL_UNSPECIFIED_TEMP,,,2,,,NO,NO,NO,NO,https://www.jaszapati.hu/index.php/kozbeszerzesek/send/256-top-napelem/4749-projekt-terv-varosuzemelteto.html,"pre-development emitter table: RADAL 600 22 tagos; size 1835; 3.914 kW; 2 db","Exact legacy variant/count reference only."
JASZAPATI_RADAL_RETAINED_AFTER_ENVELOPE_HP,NONRES_HEAT_PUMP_REUSE_PRECEDENT,POST_DEVELOPMENT,NON_RESIDENTIAL_MUNICIPAL_BUILDING,RADAL 600,ALUMINIUM,600,,,,,,,,,,,NO,NO,NO,https://www.jaszapati.hu/index.php/kozbeszerzesek/send/256-top-napelem/4749-projekt-terv-varosuzemelteto.html,"post-development emitter table repeats the same six RADAL 600 variant/count rows; project text adds envelope retrofit and air-water heat pump","This proves one bounded implemented/design precedent in which the documented RADAL emitter matrix is retained through the retrofit. It does not prove a residential or national KEEP share, nor the post-heat-pump emitter water-temperature basis."
RADAL_TO_VIKING_FAMILY_INTERCHANGEABILITY,MANUFACTURER_FAMILY_INTERCHANGEABILITY_CONTROL,CURRENT_PRODUCT_INFORMATION,TECHNICAL_CONTROL,RADAL -> LEHEL Viking,ALUMINIUM,600,,,,,,,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"manufacturer technical catalogue / replacement guidance identifies Viking as RADAL successor and replacement family","Family interchangeability is a geometry/mounting compatibility signal only. It cannot select an element count or prove equal heat output/hydraulic behaviour."
DEAKVAR_RADAL_REPLACEMENT_ENGINEERING_RULE,RESIDENTIAL_ENGINEERING_RULE,CURRENT_PUBLIC_GUIDANCE,RESIDENTIAL_DISTRICT_HEATING,RADAL,ALUMINIUM,600,,,,,,,,,,,NO,NO,NO,https://dlszvac.hu/2020/08/23/egycsoves-futesi-rendszerek-szabalyozhatova-tetele/,"replacement guidance: comparable radiator performance and hydraulic resistance required; same type/size wording alone is insufficient","Replacement must compare performance on a common temperature basis and preserve hydraulic behaviour. Room-area or cubic-metre sizing rules are not a valid substitute."
VIKING600_E03,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,3,187,,,273,140,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm connection-distance table; 3 elements; L187; 273 W at 78/62/20; 140 W at 55/45/20","Current product performance reference; no automatic replacement selection."
VIKING600_E04,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,4,262,,,406,208,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 4 elements; L262; 406 W at 78/62/20; 208 W at 55/45/20","Current product performance reference."
VIKING600_E05,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,5,337,,,537,275,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 5 elements; L337; 537 W at 78/62/20; 275 W at 55/45/20","Current product performance reference."
VIKING600_E06,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,6,412,,,668,342,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 6 elements; L412; 668 W at 78/62/20; 342 W at 55/45/20","Current product performance reference."
VIKING600_E07,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,7,487,,,797,408,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 7 elements; L487; 797 W at 78/62/20; 408 W at 55/45/20","Current product performance reference."
VIKING600_E08,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,8,562,,,926,474,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 8 elements; L562; 926 W at 78/62/20; 474 W at 55/45/20","Current product performance reference."
VIKING600_E09,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,9,637,,,1055,540,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 9 elements; L637; 1055 W at 78/62/20; 540 W at 55/45/20","Current product performance reference."
VIKING600_E10,CURRENT_PRODUCT_PERFORMANCE_REFERENCE,CURRENT_CATALOGUE,CURRENT_PRODUCT,LEHEL Viking,ALUMINIUM,600,10,712,,,1184,607,,,,YES,NO,NO,NO,https://alurad.hu/_user/page/webshop/12/documents/lehel_muszaki_katalogus_2023.pdf,"600 mm table; 10 elements; L712; 1184 W at 78/62/20; 607 W at 55/45/20","Current product performance reference."
