evidence_id,cohort_id,coverage_id,source_role,installation_status,residential_scope,heating_system_scope,manufacturer,product_family,type_size_token,emitter_family,quantity,dwelling_count_scope,source_url,source_locator,source_date,hybrid_floor_heating_present,current_installed_stock_claimed,pre_retrofit_stock_claimed,national_p42_authority_claimed,programme_use_claimed,notes
P52-SZOVA-1-4-01,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLINGS_1_4,RESIDENTIAL_BUILDING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,11KV-600-400,PANEL_STEEL,6,4,https://www.szova.hu/editor_up/3_%20Gepesz%20kvt%20-%201%20uetem.pdf,"PDF p6 / items 2.6-2.16",2017-06-22,YES,NO,NO,NO,NO,"Aggregate schedule for dwellings 1-4; floor heating only in dwelling 2, so cohort is hybrid."
P52-SZOVA-1-4-02,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLINGS_1_4,RESIDENTIAL_BUILDING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,11KV-600-520,PANEL_STEEL,3,4,https://www.szova.hu/editor_up/3_%20Gepesz%20kvt%20-%201%20uetem.pdf,"PDF p6 / items 2.6-2.16",2017-06-22,YES,NO,NO,NO,NO,"Aggregate schedule for dwellings 1-4."
P52-SZOVA-1-4-03,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLINGS_1_4,RESIDENTIAL_BUILDING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,11KV-600-600,PANEL_STEEL,3,4,https://www.szova.hu/editor_up/3_%20Gepesz%20kvt%20-%201%20uetem.pdf,"PDF p6 / items 2.6-2.16",2017-06-22,YES,NO,NO,NO,NO,"Aggregate schedule for dwellings 1-4."
P52-SZOVA-1-4-04,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLINGS_1_4,RESIDENTIAL_BUILDING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-600,PANEL_STEEL,1,4,https://www.szova.hu/editor_up/3_%20Gepesz%20kvt%20-%201%20uetem.pdf,"PDF p6 / items 2.6-2.16",2017-06-22,YES,NO,NO,NO,NO,"Aggregate schedule for dwellings 1-4."
P52-SZOVA-1-4-05,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLINGS_1_4,RESIDENTIAL_BUILDING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-720,PANEL_STEEL,5,4,https://www.szova.hu/editor_up/3_%20Gepesz%20kvt%20-%201%20uetem.pdf,"PDF p6 / items 2.6-2.16",2017-06-22,YES,NO,NO,NO,NO,"Aggregate schedule for dwellings 1-4."
P52-SZOVA-1-4-06,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLINGS_1_4,RESIDENTIAL_BUILDING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-800,PANEL_STEEL,1,4,https://www.szova.hu/editor_up/3_%20Gepesz%20kvt%20-%201%20uetem.pdf,"PDF p6 / items 2.6-2.16",2017-06-22,YES,NO,NO,NO,NO,"Aggregate schedule for dwellings 1-4."
P52-SZOVA-1-4-07,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLINGS_1_4,RESIDENTIAL_BUILDING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-920,PANEL_STEEL,2,4,https://www.szova.hu/editor_up/3_%20Gepesz%20kvt%20-%201%20uetem.pdf,"PDF p6 / items 2.6-2.16",2017-06-22,YES,NO,NO,NO,NO,"Aggregate schedule for dwellings 1-4."
P52-SZOVA-1-4-08,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLINGS_1_4,RESIDENTIAL_BUILDING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-1200,PANEL_STEEL,1,4,https://www.szova.hu/editor_up/3_%20Gepesz%20kvt%20-%201%20uetem.pdf,"PDF p6 / items 2.6-2.16",2017-06-22,YES,NO,NO,NO,NO,"Aggregate schedule for dwellings 1-4."
P52-SZOVA-1-4-09,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLINGS_1_4,RESIDENTIAL_BUILDING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,22KV-600-1400,PANEL_STEEL,1,4,https://www.szova.hu/editor_up/3_%20Gepesz%20kvt%20-%201%20uetem.pdf,"PDF p6 / items 2.6-2.16",2017-06-22,YES,NO,NO,NO,NO,"Aggregate schedule for dwellings 1-4."
P52-SZOVA-1-4-10,SZOVA_SZOLLOSI_8_DWELLING_2017,DWELLINGS_1_4,RESIDENTIAL_BUILDING_DESIGN_SCHEDULE,PLANNED_NEW_INSTALLATION,YES,HYBRID_RADIATOR_FLOOR,VOGEL&NOOT,VONOVA,33KV-900-520,PANEL_STEEL,1,4,https://www.szova.hu/editor_up/3_%20Gepesz%20kvt%20-%201%20uetem.pdf,"PDF p6 / items 2.6-2.16",2017-06-22,YES,NO,NO,NO,NO,"Aggregate schedule for dwellings 1-4."
