evidence_id,room,residential_scope,implemented_ashp_scope,source_role,original_type,original_height_mm,original_length_mm,original_output_w,original_output_basis,proposed_type,proposed_height_mm,proposed_length_mm,proposed_output_w,design_room_temp_c,target_flow_c,target_return_c,source_url,source_locator,source_date,occupied_household_claimed,hungarian_stock_authority_claimed,national_p42_authority_claimed,programme_use_claimed,notes
P55-EST-01,Lounge,YES,YES,EST_EA_TECHNOLOGY_CONTROLLED_RESIDENTIAL_TEST_HOUSE,STELRAD_ELITE_P1,600,1400,1225,SOURCE_ORIGINAL_BOILER_SCHEDULE_82C_FLOW_RETURN_UNSPECIFIED,MYSON_SELECT_STANDARD_K2,700,1600,993,21,45,35,https://assets.publishing.service.gov.uk/media/5a78de7840f0b62b22cbd718/3531-effect-radiator-valves-heat-pump-perf.pdf,"Report 6507 pp. 3-4 of 21; Original and Upgraded Radiator Schedules",2011-06,NO,NO,NO,NO,"Controlled detached four-bedroom residential test house; K2 replacement."
P55-EST-02,Dining,YES,YES,EST_EA_TECHNOLOGY_CONTROLLED_RESIDENTIAL_TEST_HOUSE,STELRAD_ELITE_P1,600,900,814,SOURCE_ORIGINAL_BOILER_SCHEDULE_82C_FLOW_RETURN_UNSPECIFIED,MYSON_SELECT_STANDARD_K2,700,1200,745,21,45,35,https://assets.publishing.service.gov.uk/media/5a78de7840f0b62b22cbd718/3531-effect-radiator-valves-heat-pump-perf.pdf,"Report 6507 pp. 3-4 of 21; Original and Upgraded Radiator Schedules",2011-06,NO,NO,NO,NO,"K2 replacement."
P55-EST-03,Kitchen,YES,YES,EST_EA_TECHNOLOGY_CONTROLLED_RESIDENTIAL_TEST_HOUSE,STELRAD_ELITE_P1,600,700,920,SOURCE_ORIGINAL_BOILER_SCHEDULE_82C_FLOW_RETURN_UNSPECIFIED,STELRAD_ELITE_P1,700,400,194,18,45,35,https://assets.publishing.service.gov.uk/media/5a78de7840f0b62b22cbd718/3531-effect-radiator-valves-heat-pump-perf.pdf,"Report 6507 pp. 3-4 of 21; Original and Upgraded Radiator Schedules",2011-06,NO,NO,NO,NO,"Same P1 family but changed dimensions."
P55-EST-04,Utility,YES,YES,EST_EA_TECHNOLOGY_CONTROLLED_RESIDENTIAL_TEST_HOUSE,STELRAD_ELITE_P1,450,400,297,SOURCE_ORIGINAL_BOILER_SCHEDULE_82C_FLOW_RETURN_UNSPECIFIED,MYSON_SELECT_STANDARD_K2,700,800,496,18,45,35,https://assets.publishing.service.gov.uk/media/5a78de7840f0b62b22cbd718/3531-effect-radiator-valves-heat-pump-perf.pdf,"Report 6507 pp. 3-4 of 21; Original and Upgraded Radiator Schedules",2011-06,NO,NO,NO,NO,"K2 replacement."
P55-EST-05,Hall,YES,YES,EST_EA_TECHNOLOGY_CONTROLLED_RESIDENTIAL_TEST_HOUSE,STELRAD_ELITE_P1,450,700,499,SOURCE_ORIGINAL_BOILER_SCHEDULE_82C_FLOW_RETURN_UNSPECIFIED,MYSON_SELECT_STANDARD_K2,700,1200,745,18,45,35,https://assets.publishing.service.gov.uk/media/5a78de7840f0b62b22cbd718/3531-effect-radiator-valves-heat-pump-perf.pdf,"Report 6507 pp. 3-4 of 21; Original and Upgraded Radiator Schedules",2011-06,NO,NO,NO,NO,"K2 replacement; reference-zone radiator in test setup."
P55-EST-06,Landing,YES,YES,EST_EA_TECHNOLOGY_CONTROLLED_RESIDENTIAL_TEST_HOUSE,STELRAD_ELITE_P1,450,400,297,SOURCE_ORIGINAL_BOILER_SCHEDULE_82C_FLOW_RETURN_UNSPECIFIED,STELRAD_ELITE_P1,450,400,57,18,45,35,https://assets.publishing.service.gov.uk/media/5a78de7840f0b62b22cbd718/3531-effect-radiator-valves-heat-pump-perf.pdf,"Report 6507 pp. 3-4 of 21; Original and Upgraded Radiator Schedules",2011-06,NO,NO,NO,NO,"Source explicitly notes some P1 radiators were not changed."
P55-EST-07,Bathroom,YES,YES,EST_EA_TECHNOLOGY_CONTROLLED_RESIDENTIAL_TEST_HOUSE,STELRAD_ELITE_P1,600,500,472,SOURCE_ORIGINAL_BOILER_SCHEDULE_82C_FLOW_RETURN_UNSPECIFIED,STELRAD_ELITE_P1,600,500,57,22,45,35,https://assets.publishing.service.gov.uk/media/5a78de7840f0b62b22cbd718/3531-effect-radiator-valves-heat-pump-perf.pdf,"Report 6507 pp. 3-4 of 21; Original and Upgraded Radiator Schedules",2011-06,NO,NO,NO,NO,"Unchanged physical radiator."
P55-EST-08,Bedroom 1,YES,YES,EST_EA_TECHNOLOGY_CONTROLLED_RESIDENTIAL_TEST_HOUSE,STELRAD_ELITE_P1,600,500,472,SOURCE_ORIGINAL_BOILER_SCHEDULE_82C_FLOW_RETURN_UNSPECIFIED,MYSON_SELECT_STANDARD_K2,600,1400,765,18,45,35,https://assets.publishing.service.gov.uk/media/5a78de7840f0b62b22cbd718/3531-effect-radiator-valves-heat-pump-perf.pdf,"Report 6507 pp. 3-4 of 21; Original and Upgraded Radiator Schedules",2011-06,NO,NO,NO,NO,"K2 replacement."
P55-EST-09,En-suite,YES,YES,EST_EA_TECHNOLOGY_CONTROLLED_RESIDENTIAL_TEST_HOUSE,STELRAD_ELITE_P1,600,400,384,SOURCE_ORIGINAL_BOILER_SCHEDULE_82C_FLOW_RETURN_UNSPECIFIED,STELRAD_ELITE_P1,600,400,74,22,45,35,https://assets.publishing.service.gov.uk/media/5a78de7840f0b62b22cbd718/3531-effect-radiator-valves-heat-pump-perf.pdf,"Report 6507 pp. 3-4 of 21; Original and Upgraded Radiator Schedules",2011-06,NO,NO,NO,NO,"Unchanged physical radiator."
P55-EST-10,Bedroom 2,YES,YES,EST_EA_TECHNOLOGY_CONTROLLED_RESIDENTIAL_TEST_HOUSE,STELRAD_ELITE_P1,600,400,384,SOURCE_ORIGINAL_BOILER_SCHEDULE_82C_FLOW_RETURN_UNSPECIFIED,MYSON_SELECT_STANDARD_K2,600,1400,765,18,45,35,https://assets.publishing.service.gov.uk/media/5a78de7840f0b62b22cbd718/3531-effect-radiator-valves-heat-pump-perf.pdf,"Report 6507 pp. 3-4 of 21; Original and Upgraded Radiator Schedules",2011-06,NO,NO,NO,NO,"K2 replacement."
