item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P68-R01,P21_FAMILY_HOUSE_DWELLINGS,POINT_IDENTIFIED,2423136,2423136,dwelling,ASS,B02-P21,HUNGARIAN_REWEIGHTING_WEIGHT,OBS_PROMOTION,,Approved calibrated P21 national target; exact in model expectation, not OBS building-type census assignment.
B02-P68-R02,P21_MULTI_DWELLING_DWELLINGS,POINT_IDENTIFIED,1585405,1585405,dwelling,ASS,B02-P21,HUNGARIAN_REWEIGHTING_WEIGHT,OBS_PROMOTION,,P21 exact complementary calibrated target over occupied stock.
B02-P68-R03,P21_FAMILY_HOUSE_WEIGHT,POINT_IDENTIFIED,0.604493256,0.604493256,share,ASS,B02-P21,HUNGARIAN_REWEIGHTING_WEIGHT,OBS_PROMOTION,,2423136 / 4008541.
B02-P68-R04,P21_MULTI_DWELLING_WEIGHT,POINT_IDENTIFIED,0.395506744,0.395506744,share,ASS,B02-P21,HUNGARIAN_REWEIGHTING_WEIGHT,OBS_PROMOTION,,1585405 / 4008541.
B02-P68-R05,P21_HUNGARIAN_REWEIGHTING,RESOLVED_EXECUTABLE,,,contract,ASS,B02-P21/B02-P68,BOUND_RESPONSE_REWEIGHTING,FOREIGN_FREQUENCY_AS_HUNGARIAN_WEIGHT,,Exact Hungarian building-type weights are executable; source response frequencies remain foreign.
B02-P68-R06,HUNGARIAN_WEIGHTED_FOREIGN_EMITTER_UNIT_SENSITIVITY,SET_BOUNDED,2.582027,11.835946,unit per transitioned dwelling,ASS,B02-P21/B02-P67/B02-P68,SENSITIVITY_ONLY,HUNGARIAN_PREDICTED_QUANTILE;CENTRAL_ESTIMATE,HUNGARIAN_ACTION_ASSIGNMENT,"Family response is hull across EoH house forms; multi uses Flat small-N response. P10/P90 edges only; no UK form-frequency transfer."
B02-P68-R07,HUNGARIAN_WEIGHTED_FOREIGN_FLOW_TEMP_SENSITIVITY,SET_BOUNDED,33.046008,45.388962,degC,ASS,B02-P21/B02-P67/B02-P68,SENSITIVITY_ONLY,HUNGARIAN_DESIGN_TEMPERATURE_DISTRIBUTION;CENTRAL_ESTIMATE,HUNGARIAN_ACTION_ASSIGNMENT,"Measured EoH mean SH flow response reweighted only as foreign validation sensitivity; not B05 design-point temperature."
B02-P68-R08,HUNGARIAN_WEIGHTED_FOREIGN_SPFH4_SENSITIVITY,SET_BOUNDED,1.957034,3.484632,SPFH4,ASS,B02-P21/B02-P67/B02-P68,SENSITIVITY_ONLY,HUNGARIAN_SEASONAL_COP_DISTRIBUTION;CENTRAL_ESTIMATE,HUNGARIAN_ACTION_ASSIGNMENT,"Measured seasonal SPFH4 sensitivity; not design-point COP and not a Hungarian point distribution."
B02-P68-R09,EOH_POSITIVE_EMITTER_MEASURE_TO_P66,SUPERSEDED_BY_P69,,,action set,DER,B02-P67/B02-P68,SOURCE_COHORT_ACTION_FAMILY,POSITIVE_MEASURE_EQUALS_SPECIFIC_SUBTYPE,P66_ACTION_SUBTYPE_SPLIT,"P69: positive count proves new-emitter installation event only; room actions may coexist and are not a dwelling simplex."
B02-P68-R10,EOH_ZERO_EMITTER_MEASURE_TO_P66,SUPERSEDED_BY_P69,,,action set,Q,B02-P67/B02-P68,NONE,ZERO_MEASURE_EQUALS_KEEP,ZERO_MEASURE_KEEP_AUTHORITY,"P69: official EoH install-report semantics plus exact 742-cohort reconciliation qualify zero count as NO_NEW_EMITTER_INSTALLATION, not dwelling-level KEEP."
B02-P68-R11,P66_ACTION_CROSSWALK,SUPERSEDED_BY_P69,,,contract,Q,B02-P68,SOURCE_COHORT_NON_KEEP_BOUND,POINT_ACTION_SUBTYPE,"P66_ACTION_SUBTYPE_SPLIT;ZERO_MEASURE_KEEP_AUTHORITY;HUNGARIAN_ACTION_ASSIGNMENT","P69 retires the five-way crosswalk framing and separates distribution path from room/emitter actions."
B02-P68-R12,Q-B02-004,SUPERSEDED_BY_P69_LAYER_REPAIR,,,state,Q,B02-P68,SET_PROPAGATION_WITH_TRANSFER_SENSITIVITY,CLAIM_OF_NATIONAL_POINT_ACTION_OR_RESPONSE,"P66_ACTION_SUBTYPE_SPLIT;ZERO_MEASURE_KEEP_AUTHORITY;HUNGARIAN_ACTION_ASSIGNMENT;MARKET_REALIZED_COST_DISTRIBUTION_IF_CENTRAL_ESTIMATE_REQUIRED","P21_HUNGARIAN_REWEIGHTING is executable and no longer a blocker. The remaining programme blocker is Hungarian action assignment/subtype evidence, not population weighting mechanics."
