item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P69-L01,DISTRIBUTION_PATH_AXIS,QUALIFIED_LAYERED_CONTRACT,,,dwelling path,DER,B02-P22/B02-P41/B02-P69,PROGRAMME_TRANSITION_PATH,EMITTER_ACTION_SIMPLEX,,REUSE_EXISTING_DISTRIBUTION and NEW_OR_REPLACE_DISTRIBUTION_REQUIRED are the exclusive top-level dwelling paths; REPLACE_EXISTING_DISTRIBUTION is a proven subtype of the latter.
B02-P69-L02,NEW_OR_REPLACE_DISTRIBUTION_REQUIRED_SHARE,SUPERSEDED_BY_P70,0.233,1,share,ASS,B02-P39/B02-P41/B02-P69,NATIONAL_DISTRIBUTION_PATH_BOUND,GAS_CONVECTOR_SHARE_EQUALS_TOTAL_NONREUSE,,The calibrated primary gas-convector share proves at least a replacement subtype within the broader new-or-replace distribution-required branch; P22 no-heating semantics show why replacement cannot be the only top-level non-reuse label.
B02-P69-L03,REUSE_EXISTING_DISTRIBUTION_SHARE,SUPERSEDED_BY_P70,0,0.767,share,DER,B02-P69,NATIONAL_DISTRIBUTION_PATH_BOUND,REUSE_POINT_ESTIMATE,,Complementary bound to the current proven non-reuse floor.
B02-P69-L04,NEW_OR_REPLACE_DISTRIBUTION_REQUIRED_DWELLINGS,SUPERSEDED_BY_P70,933990.053,4008541,expected dwelling-equivalent,ASS,B02-P39/B02-P41/B02-P69,PROGRAMME_QUANTITY_BOUND,INTEGER_OBS_COUNT,,Lower bound is 4008541*0.233 from the proven gas-convector replacement subtype; calibrated expected quantity not observed household count. P22 may strengthen the bound in a later slice.
B02-P69-L05,EMITTER_ACTION_AXIS,MULTI_LABEL_ROOM_OR_UNIT,,,room/emitter event,DER,B02-P55/B02-P69,ROOM_LEVEL_TRANSITION_DESIGN,DWELLING_ACTION_SIMPLEX,ROOM_GRAIN_ACTION_DISTRIBUTION,"KEEP;UPSIZE;CHANGE;ADD may coexist within one dwelling and therefore do not sum to one at dwelling grain."
B02-P69-L06,P55_MULTI_ACTION_PRECEDENT,QUALIFIED_BOUNDED_PRECEDENT,,,single-dwelling room set,DER,B02-P55,SEMANTIC_AND_ENGINEERING_VALIDATION,NATIONAL_ACTION_FREQUENCY,,"One ASHP design dwelling contains type change, dimensional upsize, retained+additional emitters and multi-emitter room designs simultaneously."
B02-P69-L07,EOH_NEW_EMITTER_INSTALLATION_PRESENT,QUALIFIED_FOREIGN_COHORT_EVENT,0.928571,0.928571,share,DER,SRC-B02-DESNZ-EOH-INSTALL-REPORT-2022;SRC-B02-DESNZ-EOH-PDI-2024,FOREIGN_RESPONSE_VALIDATION,HUNGARIAN_PREVALENCE;ROOM_ACTION_SUBTYPE,HUNGARIAN_EMITTER_INTERVENTION_ASSIGNMENT,"689/742 installed-system records have positive source-native emitter-measure count and reconcile to the official rounded 93% homes with new heat emitters."
B02-P69-L08,EOH_NO_NEW_EMITTER_INSTALLATION,QUALIFIED_FOREIGN_COHORT_EVENT,0.071429,0.071429,share,DER,SRC-B02-DESNZ-EOH-INSTALL-REPORT-2022;SRC-B02-DESNZ-EOH-PDI-2024,FOREIGN_RESPONSE_VALIDATION,HUNGARIAN_KEEP_RATE,,HUNGARIAN_EMITTER_INTERVENTION_ASSIGNMENT,"53/742 records have zero new-emitter measures. Official report states emitter replacement was not always necessary; this supports NO_NEW_EMITTER_INSTALLATION, not a room-by-room KEEP census."
B02-P69-L09,ZERO_MEASURE_KEEP_AUTHORITY,RETIRED_AS_MISFRAMED,,,claim,Q,B02-P69,NONE,ZERO_EVENT_EQUALS_ALL_ROOM_KEEP,,The source question is whether new emitters were installed, not whether every room-level emitter action equals KEEP.
B02-P69-L10,P66_ACTION_SUBTYPE_SPLIT,RETIRED_AS_WRONG_GRAIN,,,claim,Q,B02-P69,NONE,DWELLING_FIVE_WAY_ACTION_SPLIT,ROOM_GRAIN_ACTION_DISTRIBUTION,"P55 proves emitter actions are room/unit multi-label; a dwelling-level subtype simplex is not the correct estimand."
B02-P69-L11,HUNGARIAN_ACTION_ASSIGNMENT,SUPERSEDED_BY_P70,,,programme assignment,Q,B02-P69,NONE,FOREIGN_ACTION_RATE_AS_HUNGARIAN,"HUNGARIAN_DISTRIBUTION_NONREUSE_ASSIGNMENT;HUNGARIAN_EMITTER_INTERVENTION_ASSIGNMENT;ROOM_GRAIN_ACTION_DISTRIBUTION","The remaining population problem is layered assignment, not a single five-way share vector."
B02-P69-L12,Q-B02-004,SUPERSEDED_BY_P70,,,state,Q,B02-P69,LAYERED_SET_PROPAGATION,CLAIM_OF_NATIONAL_POINT_ACTION_OR_RESPONSE,"HUNGARIAN_DISTRIBUTION_NONREUSE_ASSIGNMENT;HUNGARIAN_EMITTER_INTERVENTION_ASSIGNMENT;ROOM_GRAIN_ACTION_DISTRIBUTION;MARKET_REALIZED_COST_DISTRIBUTION_IF_CENTRAL_ESTIMATE_REQUIRED","P69 repairs the action grain and retires false simplex/crosswalk blockers. National layered action assignment remains open."
