item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P72-S01,OCCUPIED_DWELLING_UNIVERSE,POINT_IDENTIFIED,4008541,4008541,dwelling,DER,B01-P3/B02-P22,SOURCE_UNIVERSE_REFERENCE,PROGRAMME_PARTICIPANT_COUNT,,Full occupied universe; not the B02 physical-screening denominator.
B02-P72-S02,DISTRICT_HEATING_OUT_OF_PHYSICAL_SCOPE,POINT_IDENTIFIED,618724,618724,dwelling,DER,B01-P3/B02-ELIGIBILITY-LAYER,PHYSICAL_SCOPE_EXCLUSION,TECHNICAL_INELIGIBILITY_CLAIM,,District-heated dwellings are outside the canonical non-district physical screening scope; this is scope, not a claim that district heating is technically inferior or legally excluded from every possible policy.
B02-P72-S03,NON_DISTRICT_PHYSICAL_SCREENING_SCOPE,POINT_IDENTIFIED,3389817,3389817,dwelling,DER,B01-P3/B02-ELIGIBILITY-LAYER,TRANSITION_SET_DENOMINATOR,FINAL_PROGRAMME_TARGET;TECHNICAL_ELIGIBLE_COUNT,,Exact B01-P3 physical screening reference consumed by B02.
B02-P72-S04,NHEAT_IN_PHYSICAL_SCOPE,POINT_IDENTIFIED,1173639,1173639,dwelling,DER,B02-P22/B02-P70,PROGRAMME_TOPOLOGY_CONTROL,FINAL_PROGRAMME_TARGET,,Exact NHEAT count lies inside the non-district physical scope.
B02-P72-S05,CENTRAL_HEATING_IN_PHYSICAL_SCOPE,POINT_IDENTIFIED,2216178,2216178,dwelling,DER,B02-P22,RESIDUAL_DOMAIN,HYDRONIC_REUSE_READY_INFERENCE,CENTRAL_HEATING_REUSE_VS_NONREUSE_ASSIGNMENT,Exact residual after excluding district and assigning NHEAT nonreuse.
B02-P72-S06,NHEAT_NONREUSE_SHARE_WITHIN_PHYSICAL_SCOPE,LOWER_BOUNDED,0.346224885,1,share,DER,B01-P3/B02-P70/B02-P72,TRANSITION_SET_LOWER_BOUND,OCCUPIED_UNIVERSE_SHARE_SUBSTITUTION,CENTRAL_HEATING_REUSE_VS_NONREUSE_ASSIGNMENT,1173639/3389817. This is the correct B02 physical-scope denominator; P70 29.278458% remains a full-occupied-universe reference.
B02-P72-S07,REUSE_EXISTING_DISTRIBUTION_SHARE_WITHIN_PHYSICAL_SCOPE,UPPER_BOUNDED,0,0.653775115,share,DER,B02-P72,TRANSITION_SET_UPPER_BOUND,POINT_REUSE_SHARE,CENTRAL_HEATING_REUSE_VS_NONREUSE_ASSIGNMENT,Complement of the NHEAT lower bound inside physical scope; the entire central branch is not presumed reusable.
B02-P72-S08,REUSE_EXISTING_DISTRIBUTION_DWELLINGS_WITHIN_PHYSICAL_SCOPE,UPPER_BOUNDED,0,2216178,dwelling,DER,B02-P72,PROGRAMME_QUANTITY_BOUND,POINT_REUSE_COUNT,CENTRAL_HEATING_REUSE_VS_NONREUSE_ASSIGNMENT,Only the exact central-heating branch remains capable of falling on either side of the distribution reuse decision.
B02-P72-S09,CENTRAL_DISTRICT_REUSE_VS_NONREUSE_ASSIGNMENT,RETIRED_AS_SCOPE_MIXING,,,claim,Q,B02-P72,NONE,DISTRICT_BRANCH_AS_B02_PHYSICAL_SCOPE,,The old residual mixed the out-of-scope district branch with the in-scope central branch.
B02-P72-S10,DISTRIBUTION_ASSIGNMENT_RESIDUAL,NARROWED,,,contract,Q,B02-P72,LAYERED_SET_PROPAGATION,CLAIM_OF_COMPLETE_ASSIGNMENT,CENTRAL_HEATING_REUSE_VS_NONREUSE_ASSIGNMENT,Distribution uncertainty is confined to 2216178 CENTRAL_HEATING dwellings in the canonical physical screening scope.
B02-P72-S11,Q-B02-004,OPEN_NARROWED,,,state,Q,B02-P72,LAYERED_SET_PROPAGATION,CLAIM_OF_NATIONAL_POINT_ACTION_OR_RESPONSE,"CENTRAL_HEATING_REUSE_VS_NONREUSE_ASSIGNMENT;NON_GAS_CONVECTOR_EMITTER_INTERVENTION_ASSIGNMENT;ROOM_GRAIN_ACTION_DISTRIBUTION;MARKET_REALIZED_COST_DISTRIBUTION_IF_CENTRAL_ESTIMATE_REQUIRED","P72 aligns the transition denominator to B01-P3 and removes district heating from the B02 physical-scope residual."
