item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P75-K01,NON_DISTRICT_PHYSICAL_SCREENING_SCOPE,POINT_IDENTIFIED,3389817,3389817,dwelling,DER,B01-P3/B02-P72,KEHOP_CROSSWALK_DENOMINATOR,FINAL_PROGRAMME_PARTICIPANT_COUNT,,Canonical B02 physical-screening denominator.
B02-P75-K02,KEHOP_417_418_GEOGRAPHIC_COMPLEMENT,QUALIFIED_NATIONAL_GEOGRAPHIC_SCOPE,,,programme scope,POL,SRC-B02-HU-KEHOP-417-418-SCOPE-2026,STRUCTURAL_SCOPE_CROSSWALK,LIVE_FUNDING_AVAILABILITY;LEGAL_ELIGIBLE_COUNT,,MFB states 4.1.7 covers outside Budapest and 4.1.8 covers Budapest; together they remove a national geography gap for the structural scope definition.
B02-P75-K03,KEHOP_FAMILY_HOUSE_PRE2007_STRUCTURAL_SCOPE,QUALIFIED_SOURCE_SCOPE,,,property scope,POL,SRC-B02-HU-KEHOP-417-418-SCOPE-2026,AGE_AND_BUILDING_TYPE_CROSSWALK,LEGAL_ELIGIBLE_COUNT;P21_FAMILY_HOUSE_AS_LEGAL_PROPERTY_CLASS,KEHOP_LEGAL_ELIGIBILITY_CONDITIONS,"Official MFB scope: occupied one- and multi-dwelling family houses built and permitted before 2007; P21 FAMILY_HOUSE remains ASS model classification, not legal property-registry truth."
B02-P75-K04,P21_WBL_DEFINITE_PRE2007_FAMILY_NON_DISTRICT,SET_BOUNDED_MODEL,1902145.425797070,1915040.991137127,expected dwelling-equivalent,ASS,B02-P21/B02-P22/B02-P75,STRUCTURAL_SCOPE_LOWER_ENVELOPE,LEGAL_ELIGIBLE_COUNT;INTEGER_OBS_COUNT,KEHOP_LEGAL_ELIGIBILITY_CONDITIONS,"Uses only WBL construction bands wholly before 2007: through Y1981-2000. Lower/upper are coherent FLAT/CENTRAL P21 scenarios."
B02-P75-K05,P21_WBL_POSSIBLE_PRE2007_FAMILY_NON_DISTRICT,SET_BOUNDED_MODEL,2098377.659467749,2108846.960997694,expected dwelling-equivalent,ASS,B02-P21/B02-P22/B02-P75,STRUCTURAL_SCOPE_UPPER_ENVELOPE,LEGAL_ELIGIBLE_COUNT;INTEGER_OBS_COUNT,Y2001_2010_PRE2007_SUBBAND_IF_TIGHTENING_REQUIRED;KEHOP_LEGAL_ELIGIBILITY_CONDITIONS,"Includes the entire Y2001-2010 band only as a possible pre-2007 upper envelope because WBL does not isolate 2007."
B02-P75-K06,KEHOP_STRUCTURAL_CANDIDATE_ENVELOPE,PARTIAL_RESOLVED_STRUCTURAL_BOUNDS,1902145.425797070,2108846.960997694,expected dwelling-equivalent,ASS,B02-P21/B02-P22/B02-P75,STRUCTURAL_SCOPE_SENSITIVITY,LEGAL_ELIGIBLE_COUNT;PROGRAMME_PARTICIPANT_COUNT,KEHOP_LEGAL_ELIGIBILITY_CONDITIONS,"Conservative envelope combines P21 scenario uncertainty and the 2001-2010 cutoff censoring. Equivalent to 56.113514%-62.211233% of the 3,389,817 physical scope."
B02-P75-K07,KEHOP_STRUCTURAL_CANDIDATE_SHARE_OF_PHYSICAL_SCOPE,SET_BOUNDED,0.561135137,0.622112333,share,ASS,B02-P75,STRUCTURAL_SCOPE_SENSITIVITY,LEGAL_ELIGIBLE_SHARE;FINAL_PROGRAMME_SHARE,KEHOP_LEGAL_ELIGIBILITY_CONDITIONS,"Derived from K06 divided by the exact non-district physical-screening denominator."
B02-P75-K08,PROVEN_NONREUSE_KEHOP_STRUCTURAL_OVERLAP_LOWER,LOWER_BOUNDED,784618.148162778,2108846.960997694,expected dwelling-equivalent,ASS,B02-P70/B02-P73/B02-P75,NONREUSE_SCOPE_OVERLAP_BOUND,LEGAL_ELIGIBLE_COUNT;NATIONAL_NONREUSE_POINT_COUNT,NONREUSE_CENTRAL_LATENT_SPLIT;KEHOP_LEGAL_ELIGIBILITY_CONDITIONS,"Lower endpoint is the minimum P21 scenario for definite-pre2007 FAMILY_HOUSE within exact NHEAT, which is already qualified nonreuse. Upper allows the cutoff-straddling age band and all structurally compatible CENTRAL_HEATING candidates to lie on nonreuse."
B02-P75-K09,PROVEN_NONREUSE_KEHOP_STRUCTURAL_OVERLAP_SHARE_LOWER,LOWER_BOUNDED,0.231463276,0.622112333,share,ASS,B02-P75,NONREUSE_SCOPE_OVERLAP_BOUND,LEGAL_ELIGIBLE_SHARE;NATIONAL_NONREUSE_POINT_SHARE,NONREUSE_CENTRAL_LATENT_SPLIT;KEHOP_LEGAL_ELIGIBILITY_CONDITIONS,"Bounds are relative to the 3,389,817 physical-screening scope."
B02-P75-K10,NONREUSE_KEHOP_SCOPE_CROSSWALK_REQUIRED,PARTIAL_RESOLVED_STRUCTURAL_BOUNDS,,,contract,Q,B02-P75,BOUND_COST_SCOPE_PROPAGATION,NATIONAL_MULTIPLICATION_AS_COMPLETE_KEHOP_SCOPE,"KEHOP_LEGAL_ELIGIBILITY_CONDITIONS;NONREUSE_OUTSIDE_KEHOP_STRUCTURAL_SCOPE_CAPEX_BOUND_REQUIRED","The broad scope gap now has an exact P21/WBL structural envelope. Remaining gaps are legal/project eligibility and a cost authority for nonreuse dwellings outside the KEHOP structural family-house/pre-2007 scope."
