item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P91-T01,CURRENT_HUNGARIAN_SIMPLIFIED_THERMAL_BRIDGE_METHOD,QUALIFIED_METHOD_AUTHORITY,,,formula,POL,SRC-B06-HU-ENERGY-METHOD-2023,REFERENCE_PROGRAMME_SIMPLIFIED_CORRECTION,INTERNAL_INSULATION_WITHOUT_DETAILED_MODEL;OBSERVED_POPULATION_DISTRIBUTION,,"Section 6.1.2 permits H_tr=sum(A_i*U_R,i) with U_R=U*(1+zeta). Explicit line/point bridge sums remain the detailed alternative."
B02-P91-T02,EXTERNAL_WALL_ZETA_METHOD_ENVELOPE,QUALIFIED_SET_VALUED_METHOD,0.15,0.40,zeta,POL/SCN,SRC-B06-HU-ENERGY-METHOD-2023,NON_INTERNAL_INSULATION_REFERENCE_PROGRAMME,POPULATION_PREVALENCE;INTERNAL_INSULATION,,"Table 6.1 spans 0.15..0.30 for uninterrupted external/within-structure insulation and 0.25..0.40 for other external walls. P91 preserves the full non-internal envelope because retrofit insulation position/thermal-bridge class is not point-identified nationally."
B02-P91-T03,FLAT_ROOF_ZETA_METHOD_ENVELOPE,QUALIFIED_SET_VALUED_METHOD,0.10,0.20,zeta,POL/SCN,SRC-B06-HU-ENERGY-METHOD-2023,REFERENCE_PROGRAMME_FLAT_ROOF_CORRECTION,POPULATION_PREVALENCE,,"Table 6.1 weak/medium/strong flat-roof classes are 0.10/0.15/0.20."
B02-P91-T04,ATTIC_FLOOR_ZETA_METHOD,QUALIFIED_METHOD_VALUE,0.10,0.10,zeta,POL/SCN,SRC-B06-HU-ENERGY-METHOD-2023,REFERENCE_PROGRAMME_ATTIC_FLOOR_CORRECTION,OBSERVED_PROJECT_PERFORMANCE,,"Table 6.1 gives 0.10 for attic floors."
B02-P91-T05,BASEMENT_CEILING_ZETA_METHOD_ENVELOPE,QUALIFIED_SET_VALUED_METHOD,0.10,0.20,zeta,POL/SCN,SRC-B06-HU-ENERGY-METHOD-2023,REFERENCE_PROGRAMME_BASEMENT_CEILING_CORRECTION,INSULATION_POSITION_PREVALENCE,,"Table 6.1 gives 0.20 for within-structure insulation and 0.10 for lower-side insulation; P91 preserves both when position is unresolved."
B02-P91-T06,PITCHED_ROOF_ZETA_METHOD_ENVELOPE,QUALIFIED_METHOD_BUT_U_Q,0.10,0.20,zeta,POL/Q,SRC-B06-HU-ENERGY-METHOD-2023;B02-P80,REFERENCE_PROGRAMME_PITCHED_ROOF_CORRECTION_FACTOR,CLAIM_OF_COMPLETE_PITCHED_ROOF_HEAT_LOSS,PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED,"Built-in attic enclosing structures use 0.10/0.15/0.20 classes, but P80/P85 still lacks an explicit pitched-roof reference-retrofit U bound. The bridge factor is known; complete pitched-roof H remains Q."
B02-P91-T07,EXTERNAL_WALL_CORRECTED_U_UPPER,QUALIFIED_DERIVED_UPPER,,0.336,W/m2K,POL/DER/SCN,SRC-B06-HU-ENERGY-METHOD-2023;B02-P80;B02-P91,REFERENCE_PROGRAMME_CONSERVATIVE_TRANSMISSION_INPUT,REALIZED_U_POINT;OBSERVED_DISTRIBUTION,,"0.24*(1+0.40)=0.336 W/m2K. This is a method-consistent upper sensitivity, not an achieved point value."
B02-P91-T08,FLAT_ROOF_CORRECTED_U_UPPER,QUALIFIED_DERIVED_UPPER,,0.204,W/m2K,POL/DER/SCN,SRC-B06-HU-ENERGY-METHOD-2023;B02-P80;B02-P91,REFERENCE_PROGRAMME_CONSERVATIVE_TRANSMISSION_INPUT,REALIZED_U_POINT,,"0.17*(1+0.20)=0.204 W/m2K."
B02-P91-T09,ATTIC_FLOOR_CORRECTED_U_UPPER,QUALIFIED_DERIVED_UPPER,,0.187,W/m2K,POL/DER/SCN,SRC-B06-HU-ENERGY-METHOD-2023;B02-P80;B02-P91,REFERENCE_PROGRAMME_CONSERVATIVE_TRANSMISSION_INPUT,REALIZED_U_POINT,,"0.17*(1+0.10)=0.187 W/m2K."
B02-P91-T10,BASEMENT_CEILING_CORRECTED_U_UPPER,QUALIFIED_DERIVED_UPPER,,0.312,W/m2K,POL/DER/SCN,SRC-B06-HU-ENERGY-METHOD-2023;B02-P80;B02-P91,REFERENCE_PROGRAMME_CONSERVATIVE_TRANSMISSION_INPUT,REALIZED_U_POINT,,"0.26*(1+0.20)=0.312 W/m2K."
