item_id,claim,status,lower_bound,upper_bound,unit,evidence_status,authority,allowed_use,forbidden_use,residual_gap,notes
B02-P92-F01,HU_TABULA_SFH_CLASS_AVERAGE_OPENING_SHARE,QUALIFIED_CLASS_AVERAGE_PROXY,0.111111111111,0.111111111111,share,DER,SRC-B02-EU-TABULA-DATABASE-EVALUATION-2015,REFERENCE_PROGRAMME_FACADE_SPLIT,HOUSEHOLD_SHARE;AGE_SPECIFIC_SHARE;ZERO_VARIANCE_POPULATION,,"Hungarian SFH class average: A_Wall=128 m2 and aggregate A_Window=16 m2, where TABULA A_Window includes window elements plus A_Door_1. Share=16/(128+16)=11.1111%. Equal lower/upper means one available HU class-average calibration point, not zero population variance."
B02-P92-F02,HU_TABULA_MFH_CLASS_AVERAGE_OPENING_SHARE,QUALIFIED_CLASS_AVERAGE_PROXY,0.126797385621,0.126797385621,share,DER,SRC-B02-EU-TABULA-DATABASE-EVALUATION-2015,REFERENCE_PROGRAMME_MULTI_DWELLING_CALIBRATION,HOUSEHOLD_SHARE;AGE_SPECIFIC_SHARE,,"Hungarian MFH class average: A_Wall=668 m2, aggregate openings=97 m2; share=97/765=12.6797%."
B02-P92-F03,HU_TABULA_AB_CLASS_AVERAGE_OPENING_SHARE,QUALIFIED_CLASS_AVERAGE_PROXY,0.230719794344,0.230719794344,share,DER,SRC-B02-EU-TABULA-DATABASE-EVALUATION-2015,REFERENCE_PROGRAMME_MULTI_DWELLING_CALIBRATION,HOUSEHOLD_SHARE;AGE_SPECIFIC_SHARE,,"Hungarian apartment-block class average: A_Wall=1197 m2, aggregate openings=359 m2; share=359/1556=23.0720%."
B02-P92-F04,HU_MULTI_DWELLING_OPENING_SHARE_SET,QUALIFIED_SET_VALUED_CLASS_PROXY,0.126797385621,0.230719794344,share,DER/SCN_PROXY,SRC-B02-EU-TABULA-DATABASE-EVALUATION-2015;B02-P92,REFERENCE_PROGRAMME_MULTI_DWELLING_SET,INVENTED_MFH_AB_MIX;POINT_POPULATION_SHARE,,"P21 MULTI_DWELLING does not point-identify MFH versus AB. P92 therefore preserves the two available Hungarian class averages as a set and does not invent a class mixture. HU terraced-house values are absent from Table 4."
B02-P92-F05,TABULA_AGGREGATE_OPENING_SEMANTICS,QUALIFIED_SOURCE_NATIVE_DEFINITION,,,definition,DER,SRC-B02-EU-TABULA-DATABASE-EVALUATION-2015,OPENING_AREA_GEOMETRY,WINDOW_ONLY_AREA,,"Source-native A_Window=A_Window_1+A_Window_2+A_Door_1. P92 renames this derived quantity OPENING_AREA in model semantics to prevent door area being silently treated as glazing/window-only area."
B02-P92-F06,REFERENCE_AGGREGATE_OPENING_U_UPPER,QUALIFIED_CONSERVATIVE_UPPER,,1.4,W/m2K,POL/SCN,SRC-B06-HU-ENERGY-RULES-2023,REFERENCE_PROGRAMME_TRANSMISSION_UPPER,WINDOW_POINT_U;REALIZED_OPENING_U,,"Current ordinary external-door limit is 1.4 W/m2K while wood/PVC glazed facade openings are 1.1 W/m2K. Applying 1.4 to the full TABULA aggregate opening area is a conservative upper sensitivity and avoids requiring an invented window/door area split for upper-bound transmission."
B02-P92-F07,FOURTEEN_STRATUM_FACADE_OPENING_SPLIT_PROXY,MATERIALIZED_BOUNDED,14,14,strata,DER/SCN_PROXY,SRC-B02-EU-TABULA-DATABASE-EVALUATION-2015;B02-P85;B02-P91;B02-P92,REFERENCE_PROGRAMME_FACADE_TRANSMISSION_PROXY,HOUSEHOLD_GEOMETRY;OBSERVED_NATIONAL_AREA_DISTRIBUTION,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED,"All 14 WBL-period x P21-building-group strata receive opening/net-wall proxy intervals by applying the Hungarian class-average share calibration to the P85 gross rectangular-facade proxy. Global opening proxy extrema are 4.414150670801..36.48 m2/dwelling and net-wall proxy extrema 26.780668380503..291.84 m2/dwelling. These remain conditional on the P85 bbox facade proxy."
B02-P92-F08,REFERENCE_FACADE_TRANSMISSION_H_UPPER_PROXY,MATERIALIZED_CONSERVATIVE_UPPER,55.194637943445,149.13024,W/K/dwelling,POL/DER/SCN_PROXY,SRC-B06-HU-ENERGY-RULES-2023;B02-P91;B02-P92,REFERENCE_PROGRAMME_FACADE_UPPER_SENSITIVITY,COMPLETE_BUILDING_H_TRANS;REALIZED_PROJECT_H,,"Correlated upper uses gross_facade_upper*((1-opening_share_upper)*0.336 + opening_share_upper*1.4). The 0.336 wall value is the P91 conservative corrected-U upper. This is facade-only and remains geometry-proxy dependent."
B02-P92-F09,NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED,RESOLVED_FOR_REFERENCE_PROGRAMME_OPENING_SPLIT,,,state,DER/SCN_PROXY,B02-P92,REFERENCE_PROGRAMME_FACADE_SPLIT,WINDOW_ONLY_OR_DOOR_ONLY_POINT_AREA;REALIZED_GEOMETRY,BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED,"The original split blocker is retired for the reference-programme transmission route by using wall versus aggregate openings, preserving source-native door inclusion. Actual facade magnitude remains conditional on P85 bbox rectangularization validation."
B02-P92-F10,Q-B02-004,OPEN_NARROWED,,,state,Q,B02-P92,BOUNDED_PHYSICAL_RESPONSE_COMPLETION,CLAIM_OF_COMPLETE_NATIONAL_DESIGN_LOAD,"ACTUAL_TOP_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;ACTUAL_BOTTOM_HEAT_LOSS_PLANE_AREA_INFERENCE_REQUIRED;BBOX_RECTANGULARIZATION_VALIDATION_REQUIRED;PITCHED_ROOF_POSTSTATE_U_BOUND_REQUIRED;COMPLETE_LOCATION_TO_CURRENT_STANDARD_ZONE_MAPPING_REQUIRED;DEFENSIBLE_NATIONAL_SUPPLY_TEMPERATURE_INFERENCE_REQUIRED;FRESH_MULTI_SOURCE_ENVELOPE_ACTION_EVIDENCE_REQUIRED","P92 removes NET_EXTERNAL_WALL_AND_WINDOW_AREA_SPLIT_INFERENCE_REQUIRED from the current reference-programme residual set. Split calibration is not bbox validation; top/bottom planes and other independent residuals remain."
