control_id,dimension,category,weighted_share_pct,sample_scope,evidence_status,canonical_use,notes
P28-SAMPLE-N,SAMPLE,FULL,1013,FULL_SAMPLE,OBS,REPRESENTATIVENESS_DIAGNOSTIC,"TÁRKI-REKK 2022 household survey; weighted to KSH population by region and building type."
P28-PRIMARY-GAS,HEATING_GAS_STATUS,PRIMARY_GAS,54.89,FULL_SAMPLE,OBS,GAS_UNIVERSE_CONTROL,"Weighted share in the full N=1013 sample."
P28-SECONDARY-GAS,HEATING_GAS_STATUS,SECONDARY_GAS,6.98,FULL_SAMPLE,OBS,GAS_UNIVERSE_CONTROL,"Weighted share in the full N=1013 sample."
P28-NO-GAS,HEATING_GAS_STATUS,NO_GAS,38.13,FULL_SAMPLE,OBS,GAS_UNIVERSE_CONTROL,"Weighted share in the full N=1013 sample."
P28-PRIMARY-AGE-1,CONSTRUCTION_PERIOD,BEFORE_1945,21.21,PRIMARY_GAS_HEATING,OBS,REPRESENTATIVENESS_DIAGNOSTIC,"Source-native published gas-heating characteristic; not an emitter conditional."
P28-PRIMARY-AGE-2,CONSTRUCTION_PERIOD,1946_1960,17.79,PRIMARY_GAS_HEATING,OBS,REPRESENTATIVENESS_DIAGNOSTIC,"Source-native published gas-heating characteristic; not an emitter conditional."
P28-PRIMARY-AGE-3,CONSTRUCTION_PERIOD,1961_1980,15.31,PRIMARY_GAS_HEATING,OBS,REPRESENTATIVENESS_DIAGNOSTIC,"Source-native published gas-heating characteristic; not an emitter conditional."
P28-PRIMARY-AGE-4,CONSTRUCTION_PERIOD,1981_1990,29.64,PRIMARY_GAS_HEATING,OBS,REPRESENTATIVENESS_DIAGNOSTIC,"Source-native published gas-heating characteristic; not an emitter conditional."
P28-PRIMARY-AGE-5,CONSTRUCTION_PERIOD,1991_2005,9.07,PRIMARY_GAS_HEATING,OBS,REPRESENTATIVENESS_DIAGNOSTIC,"Source-native published gas-heating characteristic; not an emitter conditional."
P28-PRIMARY-AGE-6,CONSTRUCTION_PERIOD,AFTER_2005,6.98,PRIMARY_GAS_HEATING,OBS,REPRESENTATIVENESS_DIAGNOSTIC,"Source-native published gas-heating characteristic; not an emitter conditional."
P28-PRIMARY-SETTLEMENT-1,SETTLEMENT_TYPE,BUDAPEST,24.81,PRIMARY_GAS_HEATING,OBS,REPRESENTATIVENESS_DIAGNOSTIC,"Source-native category."
P28-PRIMARY-SETTLEMENT-2,SETTLEMENT_TYPE,BUDAPEST_OR_LARGE_CITY_AGGLOMERATION,3.08,PRIMARY_GAS_HEATING,OBS,REPRESENTATIVENESS_DIAGNOSTIC,"No exact WBL settlement-type crosswalk is asserted."
P28-PRIMARY-SETTLEMENT-3,SETTLEMENT_TYPE,CITY,47.67,PRIMARY_GAS_HEATING,OBS,REPRESENTATIVENESS_DIAGNOSTIC,"Source-native category."
P28-PRIMARY-SETTLEMENT-4,SETTLEMENT_TYPE,VILLAGE,24.45,PRIMARY_GAS_HEATING,OBS,REPRESENTATIVENESS_DIAGNOSTIC,"Source-native category."
