scope_id,county_code,source_dataset_id,source_flow,source_version,source_grain,joint_record_count,joint_dwelling_count,independent_total_dwelling_count,delta,joint_response_bytes,joint_response_sha256,total_response_bytes,total_response_sha256,evidence_status,materialization_status,retrieved_at_utc,notes
COUNTY-HU110,HU110,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,3437,800338,800338,0,808998,e6f178f4de882dadaf538b8d9541392faf37f913b6d0fd2061876d7b955745e2,231,162834fcf1c7d3beca9182e2a462dd0123182cf9a65faac19a629bc6e8aa8845,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU120,HU120,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,8628,491227,491227,0,2027262,e39fa6e1e6fb21eaef110bfc51e4d472d79b55cbce9b3257953b84f781d85641,231,6e8ed1b4645abd164bde9afb843c47ac30239278aff143f7cb3157edd4d7be62,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU211,HU211,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,6640,169752,169752,0,1560296,04efbfefcdde430cbf83e2d92781ec309d65d3d862adde62aa392a0bb9ac21c4,231,67ea91fd1d687e899e827925f042d206ee0cea8c0e8a0e3467f13bd0af4e12f7,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU212,HU212,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,5776,123133,123133,0,1357872,289dd36621ec834fdc69b1ee0ff22a1fcf8adceb000f32a389247ab9ad5b2626,231,186967ee2c24dba288a8651bdeee480dfa7356ef69e282705ae849d0c0978526,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU213,HU213,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,4888,137450,137450,0,1148686,9d571c9406c5481ec5f8aab21edb76739f71f3fad9fdce30d6ab2e279ee545bf,231,215ebfd1f8ecb323072d7ee15a925db38fddeefade0f5b3e2aba3a4a0f5c6154,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU221,HU221,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,5474,187968,187968,0,1287561,dcb834b01d6f5b4f50a81fa73acdff8823c875cd5715d8a4b321dab9046e4d3d,231,5c5bbfc22893e8bf87c8905f76dbe2fc8b93acf6145d9d3b1f9e326ec358a9df,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU222,HU222,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,4153,100985,100985,0,976094,5b88c75fc0f0e53fa54dc67e1c30efbbb332906ec2a1cf89b65ba2f63574e964,231,1ed935af08cb18f5e455cb73cbdceb8922bb598e3fe00396c546b326c3139670,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU223,HU223,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,4455,109891,109891,0,1047314,bcd8a09a6acccd3d34e5354307087026d8f3d9bf9d42560f50342148a04c5e5d,231,c8c9c6a188ae718130957426d7440ea2f6b37f792a6244fa9cf18c8d02b1b2aa,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU231,HU231,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,5925,152683,152683,0,1393320,3b3bd39d20cd20f74a190e2a1aabd31be65f6bc82caada6130c2a9067c93cb10,231,c31d923b6ca9380f55f3f3b5591f00167db0bf268e784dbe6e19dc346fcbfa27,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
COUNTY-HU232,HU232,DATA-B02-KSH-WBL011,WBL011,V67,county_x_settlement_type_x_construction_period_x_wall_material_x_floor_area_x_comfort_x_heating_mode_x_heating_fuel,5083,121932,121932,0,1194247,c64dd58a7f7a641d4b168a0f137b6f01f234e07cfce841e473822be5eca36a05,231,9621f2d80f7152ba86277079a7a1de5dce1bdb5a2af08a224156582badd651f5,QUALIFIED,SOURCE_VERIFIED_NOT_MATERIALIZED,2026-09-05T16:41:14Z,Exact source-native full-joint response reconciles to independent county TOTAL.
