county_code,county_name,household_consumers,heating_consumers,household_gas_sold_thousand_m3,monthly_m3_per_household,evidence_status,source_id
HU110,Budapest,710885,710885,498873,58.4,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU120,Pest,402573,387749,423346,89.3,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU211,Fejér,140911,114718,110765,72.1,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU212,Komárom-Esztergom,57499,57499,60484,87.8,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU213,Veszprém,98798,89446,76680,67.9,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU221,Győr-Moson-Sopron,150729,129109,117894,70.5,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU222,Vas,74054,68553,58330,68.3,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU223,Zala,97649,87867,68554,61.6,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU231,Baranya,89826,76177,64887,65.2,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU232,Somogy,101404,94188,69689,59.4,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU233,Tolna,53856,53856,48020,74.4,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU311,Borsod-Abaúj-Zemplén,195118,156739,154650,73.2,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU312,Heves,106753,101926,95659,76.4,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU313,Nógrád,52203,51897,48968,78.5,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU321,Hajdú-Bihar,161611,149694,140139,75.2,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU322,Jász-Nagykun-Szolnok,129551,125383,115675,75.7,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU323,Szabolcs-Szatmár-Bereg,155152,147509,137466,75.8,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU331,Bács-Kiskun,176028,163930,143661,70.5,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU332,Békés,128837,124607,109549,72.0,OBS,SRC-B11-KSH-TERSTAT-610-2024
HU333,Csongrád-Csanád,158374,130383,111021,64.1,OBS,SRC-B11-KSH-TERSTAT-610-2024
