source_id,authority_owner,source_url,source_kind,reference_period,currentness_status,authorizes,notes
SRC-B10-KSH-HNK-2019-SETTLEMENT-IDS,Központi Statisztikai Hivatal,https://www.ksh.hu/docs/hun/hnk/hnk_2019.pdf,OFFICIAL_KSH_GAZETTEER_SETTLEMENT_ID_REGISTRY,2019,IDENTIFIER_IMMUTABLE_BY_CURRENT_TSZJ_METHOD,SETTLEMENT_NAME_TO_FIVE_DIGIT_KSH_SETTLEMENT_ID,"Official KSH gazetteer section IV publishes the five-digit településazonosító törzsszám. Current KSH TSZJ methodology states the identifier is unchanged from settlement creation until dissolution and is never reassigned."
SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026,MVM Démász Áramhálózati Kft.,https://mvmhalozat.hu/aram/oldalak/6454,OFFICIAL_SERVICE_AREA_HTML,2026,CURRENT_2026,WHOLE_AND_PARTIAL_SETTLEMENT_DSO_MEMBERSHIP,"Current official service-area page lists whole-settlement coverage by county and separately enumerates partial settlements."
SRC-B10-OPUS-TITASZ-M1-2026,OPUS TITÁSZ Áramhálózati Zrt.,https://www.opustitasz.hu/storage/documents/tarsasagunk/szabalyzatok/uzletszabalyzat/hatalyban-levo/OPUS%20TITASZ_%C3%9Czletszab%C3%A1lyzat%20mell%C3%A9klet.pdf,OFFICIAL_CURRENT_M1_ATTACHMENT,2026,CURRENT_EFFECTIVE_2026-06-03,WHOLE_SETTLEMENT_DSO_MEMBERSHIP,"Current M1 territorial-jurisdiction attachment; settlement membership facts are used with attribution, not as document republication."
SRC-B10-MVM-EMASZ-M1-2026,MVM Émász Áramhálózati Kft.,https://mvmemaszhalozat.hu/-/media/emaszhalozat/emasz-halozat-uzletszabalyzat-szabalyzatok/uzletszabalyzat-20260220/msz_zletszablyzat_mellklet_2025_i_md_2025_1022.ashx?hash=8908E1F6D96ACE3991286060E847FCD0CBE72A5B&la=hu-hu,OFFICIAL_CURRENT_M1_ATTACHMENT,2026,CURRENT_ON_2026_BUSINESS_RULE_PACKAGE,WHOLE_AND_NAMED_SUBSETTLEMENT_DSO_MEMBERSHIP,"Official MVM Émász M1 territorial-jurisdiction attachment exposed from the 2026 business-rule package. P21 materializes only administrative settlements with exact KSH IDs; named settlement-parts in parentheses remain outside whole-settlement promotion."
SRC-B10-ELMU-M1-CANDIDATE-2025,ELMŰ Hálózati Kft.,https://www.eon.hu/content/dam/eon/eon-hungary/documents/pest-megyei-halozat/tarsasagunkrol/%C3%BCzletszab%C3%A1lyzatok/2025/0617/ELMu_elo_usz_melleklet_20250410.pdf,OFFICIAL_BUSINESS_RULE_ATTACHMENT,2025,Q_CURRENT_VERSION_PIN_REQUIRED,NO_CURRENT_MEMBERSHIP_AUTHORIZATION,"Official E.ON-hosted M1 candidate is usable as a source fact, but P21 did not establish that this exact attachment is the current 2026 authority."
SRC-B10-EON-DDASZ-M1-CANDIDATE-2025,E.ON Dél-dunántúli Áramhálózati Zrt.,https://www.eon.hu/content/dam/eon/eon-hungary/documents/hatarozatok-szabalyzatok-aram/EDE/2025/EDE_elo_usz_melleklet_20241209%20%28v1%29.pdf,OFFICIAL_BUSINESS_RULE_ATTACHMENT,2025,Q_CURRENT_VERSION_PIN_REQUIRED,NO_CURRENT_MEMBERSHIP_AUTHORIZATION,"Official E.ON-hosted M1 candidate is usable as a source fact, but P21 did not establish that this exact attachment is the current 2026 authority."
SRC-B10-EON-EDASZ-M1-CANDIDATE-2025,E.ON Észak-dunántúli Áramhálózati Zrt.,https://www.eon.hu/content/dam/eon/eon-hungary/documents/hatarozatok-szabalyzatok-aram/EED/2025/EED_elo_usz_melleklet_20241209%20%28v1%29.pdf,OFFICIAL_BUSINESS_RULE_ATTACHMENT,2025,Q_CURRENT_VERSION_PIN_REQUIRED,NO_CURRENT_MEMBERSHIP_AUTHORIZATION,"Official E.ON-hosted M1 candidate is usable as a source fact, but P21 did not establish that this exact attachment is the current 2026 authority."
SRC-B10-ELMU-USZ-APPROVAL-H1728-2025,Magyar Energetikai és Közmű-szabályozási Hivatal,https://www.eon.hu/content/dam/eon/eon-hungary/documents/pest-megyei-halozat/tarsasagunkrol/%C3%BCzletszab%C3%A1lyzatok/2025/0617/H1728_VFEO_697_2025_ELMu_uzletszabalyzat%281%29.pdf,OFFICIAL_MEKH_BUSINESS_RULE_APPROVAL_DECISION,2025,APPROVED_2025-06-13_INDEFINITE,BUSINESS_RULE_PACKAGE_APPROVAL_ONLY_NOT_CURRENT_2026_MEMBERSHIP,"H1728/2025 approves the ELMŰ consolidated distribution business rule package with appendices and attachments for an indefinite duration. This supersedes the weaker P21 candidate-only characterization but does not itself prove that the exact M1 attachment is still the live September 2026 landing target."
SRC-B10-EON-DDASZ-USZ-APPROVAL-H442-2025,Magyar Energetikai és Közmű-szabályozási Hivatal,https://www.eon.hu/content/dam/eon/eon-hungary/documents/hatarozatok-szabalyzatok-aram/EDE/2025/H442_VFEO_8-2_2025_EDE_USZ_hat.pdf,OFFICIAL_MEKH_BUSINESS_RULE_APPROVAL_DECISION,2025,APPROVED_2025-02-13_INDEFINITE,BUSINESS_RULE_PACKAGE_APPROVAL_ONLY_NOT_CURRENT_2026_MEMBERSHIP,"H442/2025 approves the E.ON Dél-dunántúli consolidated distribution business rule package with appendices and attachments for an indefinite duration. Current September 2026 landing-to-exact-M1 binding remains a separate gate."
SRC-B10-EON-EDASZ-USZ-APPROVAL-H440-2025,Magyar Energetikai és Közmű-szabályozási Hivatal,https://www.eon.hu/content/dam/eon/eon-hungary/documents/hatarozatok-szabalyzatok-aram/EED/2025/H440_VFEO_119-2_2025_EED_USZ_hat.pdf,OFFICIAL_MEKH_BUSINESS_RULE_APPROVAL_DECISION,2025,APPROVED_2025-02-13_INDEFINITE,BUSINESS_RULE_PACKAGE_APPROVAL_ONLY_NOT_CURRENT_2026_MEMBERSHIP,"H440/2025 approves the E.ON Észak-dunántúli consolidated distribution business rule package with appendices and attachments for an indefinite duration. Current September 2026 landing-to-exact-M1 binding remains a separate gate."
