ksh_settlement_code,settlement_name,operator_id,network_operator,service_area_id,coverage_scope,usage_location_requirement,source_ids,evidence_status,status,notes
31653,Albertirsa,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P45 exact-name KSH join via reproducible locator; DER because primary XLSX row is not directly materialized.
34245,Algyő,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P45 exact-name KSH join via reproducible locator; DER because primary XLSX row is not directly materialized.
29595,Almáskamarás,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P45 exact-name KSH join via reproducible locator; DER because primary XLSX row is not directly materialized.
16197,Ambrózfalva,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P45 exact-name KSH join via reproducible locator; DER because primary XLSX row is not directly materialized.
14252,Apátfalva,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P45 exact-name KSH join via reproducible locator; DER because primary XLSX row is not directly materialized.
19062,Árpádhalom,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P45 exact-name KSH join via reproducible locator; DER because primary XLSX row is not directly materialized.
10339,Ásotthalom,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P45 exact-name KSH join via reproducible locator; DER because primary XLSX row is not directly materialized.
29106,Baks,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P45 exact-name KSH join via reproducible locator; DER because primary XLSX row is not directly materialized.
23676,Balástya,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P45 exact-name KSH join via reproducible locator; DER because primary XLSX row is not directly materialized.
18102,Battonya,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P45 exact-name KSH join via reproducible locator; DER because primary XLSX row is not directly materialized.
09760,Békés,MVM_DEMASZ,MVM Démász Áramhálózati Kft.,MVM_DEMASZ:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-MVM-DEMASZ-SERVICE-AREA-2026;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P45 exact-name KSH join via reproducible locator; DER because primary XLSX row is not directly materialized.
