ksh_settlement_code,settlement_name
02033,Kakasd
02051,Sávoly
02097,Gutorfölde
02103,Maróc
02228,Martonfa
02264,Vásárosdombó
02404,Surd
02459,Vajta
02477,Csombárd
02529,Várfölde
02547,Sumony
02565,Döbrököz
02653,Nagyharsány
02723,Sáregres
02796,Nak
02802,Enying
02811,Miszla
02857,Geresdlak
02909,Magyarszentmiklós
02972,Zalasárszeg
03018,Szebény
03115,Dunaújváros
03124,Szentkozmadombja
03151,Kistapolca
03203,Nyim
03285,Hirics
03337,Ivánbattyán
03346,Ivándárda
03416,Somogyszil
03425,Bogyiszló
03434,Lasztonya
03470,Meződ
03489,Edde
03540,Kökény
03559,Balatonvilágos
03735,Bárdudvarnok
03780,Ócsárd
03799,Csákány
03814,Hévíz
03832,Keszü
03869,Kistormás
03896,Cserkút
03984,Nagybudmér
04002,Zalacsány
04048,Tófű
04109,Dusnok
04127,Som
04136,Töttös
04297,Kacsóta
04321,Bodorfa
04385,Magyartelek
04437,Udvar
04464,Szakály
04473,Kányavár
04482,Oroszló
04516,Rózsafa
04543,Feked
04598,Kereki
04701,Iregszemcse
04747,Sárpilis
04756,Misefa
04826,Kisgyalán
04835,Somogyzsitfa
04853,Somogyudvarhely
04862,Paks
04899,Bikal
04932,Taszár
04950,Ortaháza
04969,Tormafölde
05078,Rinyabesenyő
05139,Birján
05193,Szorosad
05209,Villánykövesd
05263,Karád
05272,Kánya
05342,Tófej
05351,Kára
05412,Magyarmecske
05430,Magyarhertelend
05485,Baranyaszentgyörgy
05500,Somogyaracs
05519,Siklós
05528,Szörény
05607,Szederkény
05661,Ozora
05689,Mezőkomárom
05722,Kisbeszterce
05731,Gerjen
05810,Szőkedencs
05971,Csokonyavisonta
05999,Kárász
06008,Zamárdi
06017,Magyarkeszi
06062,Újpetre
06099,Ellend
06105,Kálmáncsa
06132,Csapi
06141,Patalom
06178,Eszteregnye
06211,Hollád
06336,Kozármisleny
06415,Kákics
06424,Kaposszerdahely
06451,Gamás
06479,Lapáncsa
06497,Bonyhád
06512,Kismányok
06530,Pusztamagyaród
06549,Vindornyalak
06558,Bölcske
06567,Sormás
06585,Gálosfa
06600,Somogyszentpál
06637,Varsád
06725,Borjád
06761,Nagyszékely
06789,Kemse
06798,Hidas
06813,Mágocs
06831,Kishajmás
06877,Visz
06901,Tengelic
06910,Bélavár
06965,Katádfa
07001,Nagykarácsony
07010,Páprád
07029,Mucsi
07047,Baracs
07056,Öreglak
07074,Vázsnok
07126,Hetvehely
07135,Cserszegtomaj
07153,Palkonya
07205,Újvárfalva
07232,Zalaszentlászló
07366,Szárász
07506,Lajoskomárom
07533,Bürüs
07560,Garé
07603,Bánfa
07658,Nemeshetés
07685,Dombóvár
07694,Szőkéd
07700,Szepetnek
07737,Merenye
07773,Dencsháza
07913,Nemesdéd
07922,Szentgál
07968,Murarátka
07986,Bucsuta
08040,Csoma
08059,Nemesszentandrás
08101,Sárhida
08110,Kórós
08138,Várad
08183,Vése
08341,Okorvölgy
08439,Bánokszentgyörgy
08448,Értény
08466,Beloiannisz
08475,Szajk
08572,Kétújfalu
08590,Tab
08615,Szentliszló
08651,Kisszentmárton
08703,Büssü
08800,Siklósnagyfalu
08819,Felsőszentmárton
08837,Háromfa
08864,Bátaszék
09007,Szalatnak
09089,Gelsesziget
09098,Kaposfő
09159,Drávakeresztúr
09168,Belezna
09177,Gige
09186,Dunaszekcső
09274,Varászló
09308,Szemely
09326,Jágónak
09371,Pálfa
09380,Zalaújlak
09414,Várdomb
09450,Márfa
09539,Dunaszentgyörgy
09548,Kisvaszar
09575,Kerkaszentkirály
09618,Pári
09636,Görcsönydoboka
09645,Vörs
09803,Szentkatalin
09858,Komlósd
09867,Pölöske
09900,Rácalmás
09928,Hetes
09946,Hencse
10010,Lulla
10038,Liptód
10056,Borsfa
10083,Szakcs
10135,Palotabozsok
10153,Torvaj
