source_token,diagnostic_ksh_code,diagnostic_ksh_name,historical_eon_form,historical_comparison_status,admission_status,notes
Balatonöszöd,11916,Balatonőszöd,Balatonöszöd,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"The 2022 E.ON network-licensee table repeats the current DDÁSZ M1 source form; repetition does not authorize identity equivalence."
Baranyahidvég,20464,Baranyahídvég,Baranyahidvég,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"The 2022 E.ON network-licensee table repeats the current DDÁSZ M1 source form; repetition does not authorize identity equivalence."
Csikóstöttös,30094,Csikóstőttős,Csikóstöttös,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"The 2022 E.ON network-licensee table repeats the current DDÁSZ M1 source form; repetition does not authorize identity equivalence."
Cun,11086,Cún,Cun,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"The 2022 E.ON network-licensee table repeats the current DDÁSZ M1 source form; repetition does not authorize identity equivalence."
Füzvölgy,16531,Fűzvölgy,Füzvölgy,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"The 2022 E.ON network-licensee table repeats the current DDÁSZ M1 source form; repetition does not authorize identity equivalence."
Kallosd,05537,Kallósd,Kallosd,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"The 2022 E.ON network-licensee table repeats the current DDÁSZ M1 source form; repetition does not authorize identity equivalence."
Kálóz,16683,Káloz,Káloz,HISTORICAL_CANONICAL_FORM_DSO_CORROBORATION,UNRESOLVED_NO_CURRENT_EQUIVALENCE_AUTHORITY,"The 2022 E.ON table uses the current KSH spelling and identifies DDÁSZ as network licensee, but it does not explicitly bind the current M1 source form Kálóz to KSH code 16683 and is not the current M1 authority."
Kazsók,26888,Kazsok,Kazsok,HISTORICAL_CANONICAL_FORM_DSO_CORROBORATION,UNRESOLVED_NO_CURRENT_EQUIVALENCE_AUTHORITY,"The 2022 E.ON table uses the current KSH spelling and identifies DDÁSZ as network licensee, but it does not explicitly bind the current M1 source form Kazsók to KSH code 26888 and is not the current M1 authority."
Köröshegy,15510,Kőröshegy,Kőröshegy,HISTORICAL_CANONICAL_FORM_DSO_CORROBORATION,UNRESOLVED_NO_CURRENT_EQUIVALENCE_AUTHORITY,"The 2022 E.ON table uses the current KSH spelling and identifies DDÁSZ as network licensee, but it does not explicitly bind the current M1 source form Köröshegy to KSH code 15510 and is not the current M1 authority."
Kövágótöttös,06992,Kővágótöttös,Kővágótöttös,HISTORICAL_CANONICAL_FORM_DSO_CORROBORATION,UNRESOLVED_NO_CURRENT_EQUIVALENCE_AUTHORITY,"The 2022 E.ON table uses the current KSH spelling and identifies DDÁSZ as network licensee, but it does not explicitly bind the current M1 source form Kövágótöttös to KSH code 06992 and is not the current M1 authority."
Öcsény,08961,Őcsény,Öcsény,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"The 2022 E.ON network-licensee table repeats the current DDÁSZ M1 source form; repetition does not authorize identity equivalence."
Szabadhidvég,18740,Szabadhídvég,Szabadhidvég,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"The 2022 E.ON network-licensee table repeats the current DDÁSZ M1 source form; repetition does not authorize identity equivalence."
Turony,18582,Túrony,Turony,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"The 2022 E.ON network-licensee table repeats the current DDÁSZ M1 source form; repetition does not authorize identity equivalence."
Vókány,05892,Vokány,Vókány,HISTORICAL_REPEATS_CURRENT_VARIANT,UNRESOLVED_NO_EQUIVALENCE_AUTHORITY,"The 2022 E.ON network-licensee table repeats the current DDÁSZ M1 source form; repetition does not authorize identity equivalence."
