source_token,source_occurrence_count,residual_class
Ágostonpuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Alsóbélatelep,1,STANDALONE_NONEXACT_SOURCE_FORM
Alsófakos,1,STANDALONE_NONEXACT_SOURCE_FORM
Alsóhetény,1,STANDALONE_NONEXACT_SOURCE_FORM
Alsóhídvég,1,STANDALONE_NONEXACT_SOURCE_FORM
Alsókölked,1,STANDALONE_NONEXACT_SOURCE_FORM
Alsókövesd,1,STANDALONE_NONEXACT_SOURCE_FORM
Alsópél,1,STANDALONE_NONEXACT_SOURCE_FORM
Alsótekeres,1,STANDALONE_NONEXACT_SOURCE_FORM
Alsótengelic,1,STANDALONE_NONEXACT_SOURCE_FORM
Andormajor,1,STANDALONE_NONEXACT_SOURCE_FORM
Antalfalu,1,STANDALONE_NONEXACT_SOURCE_FORM
Antalszállás,1,STANDALONE_NONEXACT_SOURCE_FORM
Bagola,1,STANDALONE_NONEXACT_SOURCE_FORM
Bajcsa,1,STANDALONE_NONEXACT_SOURCE_FORM
Bakóca - Felsőkövesd,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Balatonaliga,1,STANDALONE_NONEXACT_SOURCE_FORM
Balatonbozsok,1,STANDALONE_NONEXACT_SOURCE_FORM
Balatonkiliti,1,STANDALONE_NONEXACT_SOURCE_FORM
Balatonmária,1,STANDALONE_NONEXACT_SOURCE_FORM
Balatonszabadi - Sóstó,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Balatonszabadi fürdő,1,STANDALONE_NONEXACT_SOURCE_FORM
Balatonszéplak,1,STANDALONE_NONEXACT_SOURCE_FORM
Bános,1,STANDALONE_NONEXACT_SOURCE_FORM
Barátsziget,1,STANDALONE_NONEXACT_SOURCE_FORM
Barátúr,1,STANDALONE_NONEXACT_SOURCE_FORM
Bárdudvarnok - Bánya,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Bárdudvarnok - Lipótfa,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Bárdudvarnok - Nagypuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Báta- Furkótelep,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Battyánpuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Bázakerettye - Báza,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Becefa - Becefa szőlő,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Becsehely - Újmajor,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Bikács - Kistápé,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Bize,1,STANDALONE_NONEXACT_SOURCE_FORM
Bonyhádszerdahely,1,STANDALONE_NONEXACT_SOURCE_FORM
Boronka,1,STANDALONE_NONEXACT_SOURCE_FORM
Botykapeterd - Kispeterd,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Börzsöny,1,STANDALONE_NONEXACT_SOURCE_FORM
Budafapuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Csámpa,1,STANDALONE_NONEXACT_SOURCE_FORM
Csatahely,1,STANDALONE_NONEXACT_SOURCE_FORM
Csebény - Szabás,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Csehi pta,1,STANDALONE_NONEXACT_SOURCE_FORM
Cseresznyéspuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Cserfekvés,1,STANDALONE_NONEXACT_SOURCE_FORM
Cserkút-szőlőhegy,1,COMPACT_HYPHENATED_SOURCE_FORM
Csernyéd,1,STANDALONE_NONEXACT_SOURCE_FORM
Csisztafürdő,1,STANDALONE_NONEXACT_SOURCE_FORM
Csoboka puszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Csörnyefölde,1,STANDALONE_NONEXACT_SOURCE_FORM
Csörnyefölde - Pusztavörcsök,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Daruhegy,1,STANDALONE_NONEXACT_SOURCE_FORM
Darvaspuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Decs - Szőlőhegy,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Dióspuszta-Hitmes-Zalasor,1,COMPACT_HYPHENATED_SOURCE_FORM
Dombori,1,STANDALONE_NONEXACT_SOURCE_FORM
Dombovár - Gunarasfürdő,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Dombóvár - Mászlony,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Dombóvár - Szőlőhegy,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Dömefölde,1,STANDALONE_NONEXACT_SOURCE_FORM
Drávairányi,1,STANDALONE_NONEXACT_SOURCE_FORM
Drávaszentes,1,STANDALONE_NONEXACT_SOURCE_FORM
Dunakömlőd,1,STANDALONE_NONEXACT_SOURCE_FORM
Elekmajor,1,STANDALONE_NONEXACT_SOURCE_FORM
Enying - Kabókapuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Felsőfakos,1,STANDALONE_NONEXACT_SOURCE_FORM
Felsőkölked,1,STANDALONE_NONEXACT_SOURCE_FORM
Felsőmindszent,1,STANDALONE_NONEXACT_SOURCE_FORM
Felsőrácegrespuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Felsőtekeres,1,STANDALONE_NONEXACT_SOURCE_FORM
Felsőtengelic,1,STANDALONE_NONEXACT_SOURCE_FORM
Fenékpuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Fityeháza,1,STANDALONE_NONEXACT_SOURCE_FORM
Fonyódliget,1,STANDALONE_NONEXACT_SOURCE_FORM
Földespuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Földvárhegy,1,STANDALONE_NONEXACT_SOURCE_FORM
Galambos puszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Gamás - Vadépuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Garabonc - Kisrada,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Geresdlak - Kisgeresd,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Gilvánfa - Vargatelep,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Gorica,1,STANDALONE_NONEXACT_SOURCE_FORM
Gödre Szénáspuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Gödrekeresztúr,1,STANDALONE_NONEXACT_SOURCE_FORM
Gödreszentmárton,1,STANDALONE_NONEXACT_SOURCE_FORM
Gölle - Inámpuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Görösgal,1,STANDALONE_NONEXACT_SOURCE_FORM
Gyapa-puszta,1,COMPACT_HYPHENATED_SOURCE_FORM
Gyótapuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Györgymajor,1,STANDALONE_NONEXACT_SOURCE_FORM
Gyugy - Sandipuszta,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Gyümölcsény,1,STANDALONE_NONEXACT_SOURCE_FORM
Hamuháza,1,STANDALONE_NONEXACT_SOURCE_FORM
Hangos,1,STANDALONE_NONEXACT_SOURCE_FORM
Háromháza,1,STANDALONE_NONEXACT_SOURCE_FORM
Hegyszentmárton - Alsóegerszeg,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Hegyszentmárton - Monyorósd,1,EXPLICIT_DELIMITED_MULTI_COMPONENT_SOURCE_FORM
Hékut pta,1,STANDALONE_NONEXACT_SOURCE_FORM
Hencsepuszta,1,STANDALONE_NONEXACT_SOURCE_FORM
Hodoshát,1,STANDALONE_NONEXACT_SOURCE_FORM
Horvátkut,1,STANDALONE_NONEXACT_SOURCE_FORM
