source_token,source_occurrence_count,residual_class,admission_status,authority_basis,cross_operator_context,notes
Baja,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Csongrád,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Csabacsűd,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Dabas,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Dévaványa,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Érsekcsanád,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Gyomaendrőd,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Kunszentmárton,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Mohács,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Péteri,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Solt,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Szeghalom,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Szentes,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Tápiószőlős,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Tass,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,P55_ELMU_EXPLICIT_SUBSETTLEMENT_AREA_PRESENT,"Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required. P55 separately preserves the ELMŰ token `Tass üdülőterület` as an explicit subsettlement area; that cross-operator context does not prove a complete boundary, complement, or address-level assignment."
Tiszakécske,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Tiszasas,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Tiszaug,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Újhartyán,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
Zsadány,1,PARTIAL_SETTLEMENT_ADMINISTRATIVE_SCOPE,UNRESOLVED_USAGE_LOCATION_AUTHORITY_REQUIRED,P45_CURRENT_MVM_DEMASZ_PARTIAL_SETTLEMENT_GRAIN,,Current MVM Démász source classifies the settlement only partly inside its service area. Whole-settlement membership is not authorized; exact usage-location authority is required.
