settlement_name,mvm_partial_source_id,counterpart_operator_id,counterpart_source_id,counterpart_source_token,counterpart_grain,p61_authority_status,notes
Baja,SRC-B10-MVM-DEMASZ-M1-2026,,,,,NO_CURRENT_COUNTERPART_TOKEN_DISCOVERED_IN_TARGETED_P61_SCAN,"No exact current counterpart source token was found in the P61 targeted ELMŰ/OPUS TITÁSZ/DDÁSZ current-M1 scan; this is not a national negative boundary claim."
Csongrád,SRC-B10-MVM-DEMASZ-M1-2026,,,,,NO_CURRENT_COUNTERPART_TOKEN_DISCOVERED_IN_TARGETED_P61_SCAN,"No exact current counterpart source token was found in the P61 targeted ELMŰ/OPUS TITÁSZ/DDÁSZ current-M1 scan; this is not a national negative boundary claim."
Csabacsűd,SRC-B10-MVM-DEMASZ-M1-2026,OPUS_TITASZ,SRC-B10-OPUS-TITASZ-M1-2026,Csabacsűd,ADMINISTRATIVE_UNIT_TOKEN,CROSS_OPERATOR_ADMIN_UNIT_OVERLAP_BOUNDARY_UNRESOLVED,"Current OPUS TITÁSZ M1 administrative-unit presence does not identify the internal usage-location boundary with MVM Démász."
Dabas,SRC-B10-MVM-DEMASZ-M1-2026,ELMU,SRC-B10-ELMU-M1-CANDIDATE-2025,Dabas,ADMINISTRATIVE_UNIT_TOKEN,CROSS_OPERATOR_ADMIN_UNIT_OVERLAP_BOUNDARY_UNRESOLVED,"Current ELMŰ M1 administrative-unit presence does not identify the internal usage-location boundary with MVM Démász."
Dévaványa,SRC-B10-MVM-DEMASZ-M1-2026,OPUS_TITASZ,SRC-B10-OPUS-TITASZ-M1-2026,Dévaványa,ADMINISTRATIVE_UNIT_TOKEN,CROSS_OPERATOR_ADMIN_UNIT_OVERLAP_BOUNDARY_UNRESOLVED,"Current OPUS TITÁSZ M1 administrative-unit presence does not identify the internal usage-location boundary with MVM Démász."
Érsekcsanád,SRC-B10-MVM-DEMASZ-M1-2026,,,,,NO_CURRENT_COUNTERPART_TOKEN_DISCOVERED_IN_TARGETED_P61_SCAN,"No exact current counterpart source token was found in the P61 targeted ELMŰ/OPUS TITÁSZ/DDÁSZ current-M1 scan; this is not a national negative boundary claim."
Gyomaendrőd,SRC-B10-MVM-DEMASZ-M1-2026,OPUS_TITASZ,SRC-B10-OPUS-TITASZ-M1-2026,Gyomaendrőd,ADMINISTRATIVE_UNIT_TOKEN,CROSS_OPERATOR_ADMIN_UNIT_OVERLAP_BOUNDARY_UNRESOLVED,"Current OPUS TITÁSZ M1 administrative-unit presence does not identify the internal usage-location boundary with MVM Démász."
Kunszentmárton,SRC-B10-MVM-DEMASZ-M1-2026,OPUS_TITASZ,SRC-B10-OPUS-TITASZ-M1-2026,Kunszentmárton,ADMINISTRATIVE_UNIT_TOKEN,CROSS_OPERATOR_ADMIN_UNIT_OVERLAP_BOUNDARY_UNRESOLVED,"Current OPUS TITÁSZ M1 administrative-unit presence does not identify the internal usage-location boundary with MVM Démász."
Mohács,SRC-B10-MVM-DEMASZ-M1-2026,EON_DDASZ,SRC-B10-EON-DDASZ-M1-CANDIDATE-2025,Mohács,ADMINISTRATIVE_UNIT_TOKEN,CROSS_OPERATOR_ADMIN_UNIT_OVERLAP_BOUNDARY_UNRESOLVED,"Current DDÁSZ M1 administrative-unit presence does not identify the internal usage-location boundary with MVM Démász."
Péteri,SRC-B10-MVM-DEMASZ-M1-2026,ELMU,SRC-B10-ELMU-M1-CANDIDATE-2025,Péteri,ADMINISTRATIVE_UNIT_TOKEN,CROSS_OPERATOR_ADMIN_UNIT_OVERLAP_BOUNDARY_UNRESOLVED,"Current ELMŰ M1 administrative-unit presence does not identify the internal usage-location boundary with MVM Démász."
