ksh_settlement_code,settlement_name
02015,Ráckeresztúr
02042,Narda
02079,Dunaremete
02130,Mihályfa
02185,Csopak
02194,Nemesvámos
02200,Isztimér
02219,Balatonfűzfő
02237,Vág
02246,Vát
02316,Etyek
02343,Kincsesbánya
02361,Nagybajcs
02422,Hegyesd
02431,Bük
02440,Szatta
02486,Zalacséb
02495,Nagycenk
02501,Kisunyom
02510,Kocs
02556,Mórichida
02574,Kenéz
02583,Csesztreg
02608,Zalaszentiván
02617,Sopronnémeti
02635,Öttevény
02662,Milejszeg
02699,Sárkeszi
02714,Tótvázsony
02750,Vértesacsa
02787,Nemesgulács
02839,Nemeskocs
02884,Vasalja
02893,Söréd
02927,Duka
02936,Dudar
03009,Szombathely
03036,Döröske
03054,Lickóvadamos
03072,Balatoncsicsó
03090,Borgáta
03142,Vönöck
03188,Iborfia
03197,Rábahídvég
03221,Magyarlak
03294,Molnaszecsőd
03355,Nova
03364,Szilsárkány
03498,Vereb
03568,Szentantalfa
03601,Sóly
03610,Malomsok
03638,Balatonhenye
03674,Nemeskeresztúr
03726,Zebecke
03753,Rábcakapi
03887,Szerecseny
03911,Csákánydoroszló
03948,Raposka
04020,Himod
04039,Csorna
04066,Küngös
04163,Bödeháza
04172,Tárnokréti
04190,Köcsk
04224,Csörötnek
04288,Kispirit
04367,Bogyoszló
04376,Lázi
04455,Nagylengyel
04534,Mindszentkálla
04552,Litér
04589,Veszkény
04622,Zsira
04631,Tüskevár
04640,Kám
04659,Martonvásár
04668,Mihályháza
04695,Vasvár
04765,Borszörcsök
04783,Mosonmagyaróvár
04792,Rábacsanak
04987,Megyer
05014,Vének
05023,Bozsok
05087,Lovászpatona
05102,Balogunyom
05148,Balatonkenese
05157,Somlójenő
05166,Tömörd
05218,Nagygörbő
05360,Csákberény
05388,Sümegprága
05421,Királyszentistván
05449,Komárom
05476,Bő
05555,Nemeshany
05564,Lovas
05625,Révfülöp
05634,Káptalantóti
05652,Nemesgörzsöny
05704,Pethőhenye
05713,Harasztifalu
05740,Kőszegdoroszló
05829,Vál
05838,Balatonalmádi
05944,Bakonyszentlászló
05953,Kissomlyó
06071,Keménfa
06114,Füle
06169,Nemesapáti
06196,Barbacs
06220,Bodonhely
06239,Vadosfa
06248,Pinkamindszent
06327,Bakonypölöske
06363,Dörgicse
06390,Bozzai
06406,Jákfa
06521,Gyermely
06576,Mezőszentgyörgy
06594,Dömös
06619,Börcs
06664,Ete
06716,Nádasd
06734,Csősz
06770,Markotabödöge
06895,Kópháza
06956,Fehértó
07065,Városlőd
07092,Szentbékkálla
07162,Pácsony
07171,Sorkifalud
07250,Hosztót
07269,Lepsény
07278,Püspökmolnári
07287,Bakonykoppány
07296,Bögöte
07311,Bokod
07348,Papkeszi
07427,Bazsi
07481,Győrújbarát
07579,Zalabaksa
07630,Kömlőd
07649,Harka
07667,Oszkó
07746,Répcevis
07782,Döbröce
07816,Kisbodak
07898,Halimba
07931,Kisapáti
07940,Viszák
07977,Ispánk
08013,Felsőjánosfa
08068,Gellénháza
08226,Hegyhátszentpéter
08262,Nagygyimót
08271,Cák
08369,Vöckönd
08518,Sopron
08536,Szany
08563,Csapod
08581,Baracska
08606,Sikátor
08624,Bársonyos
08688,Süttő
08721,Győrasszonyfa
08758,Tát
08828,Teskánd
08882,Peresznye
08916,Magyarföld
09070,Csénye
09195,Vásárosmiske
09229,Tokorcs
09283,Nagygeresd
09292,Gecse
09487,Fertőendréd
09502,Vid
09520,Gyulakeszi
09672,Nemesrempehollós
09724,Győrvár
09733,Vigántpetend
09779,Csór
09788,Sárfimizdó
09812,Kisgörbő
09876,Chernelházadamonya
09885,Fertőd
09937,Kenyeri
10001,Nagydém
10029,Hövej
10047,Csáfordjánosfa
10065,Szentimrefalva
10092,Örvényes
10223,Szalafő
